,eccentricity,area,N,E_of_pi,S,d
0,0.0,3500.0,50.0,1633.7399461,8914.02777778,49.3278921612
1,0.0,7000.0,100.0,1644.73087819,11582.4222222,67.9771983555
2,0.0,14000.0,200.0,1669.09313743,14630.4,87.9134794654
3,0.0,21000.0,300.0,1683.02607563,16765.2,101.53994987
4,0.0,28000.0,400.0,1692.89322898,18158.8333333,111.276279575
5,0.0,35000.0,500.0,1706.77328843,19517.0333333,119.902095395
6,0.0,42000.0,600.0,1715.90330288,20512.2666667,126.513623359
7,0.0,52500.0,750.0,1724.82412622,21943.3277778,135.558917316
8,0.0,70000.0,1000.0,1737.41360804,23927.5277778,148.768672639
9,0.0,87500.0,1250.0,1748.32610576,25314.7888889,157.954862113
10,0.0,105000.0,1500.0,1756.66021746,26484.1944444,165.888755427
11,0.0,140000.0,2000.0,1767.51765232,28454.1333333,178.34790434
12,0.1,3500.0,50.0,1633.48563399,8921.33888889,49.3071646173
13,0.1,7000.0,100.0,1644.59903704,11560.3555556,68.1863896991
14,0.1,14000.0,200.0,1669.51768947,14666.7666667,88.1373765023
15,0.1,21000.0,300.0,1683.70179879,16780.4888889,101.749269611
16,0.1,28000.0,400.0,1692.82572948,18169.3111111,111.699037613
17,0.1,35000.0,500.0,1706.84820541,19517.5333333,119.822003628
18,0.1,42000.0,600.0,1715.99933762,20522.6833333,126.254006015
19,0.1,52500.0,750.0,1724.82663198,21941.3944444,135.416347731
20,0.1,70000.0,1000.0,1737.40330764,23930.1888889,148.950664881
21,0.1,87500.0,1250.0,1748.29418094,25302.1,158.242465639
22,0.1,105000.0,1500.0,1756.7393632,26509.4111111,166.255337094
23,0.1,140000.0,2000.0,1767.62967869,28483.3333333,179.039100461
24,0.2,3500.0,50.0,1633.14199393,8918.59444444,49.55774581
25,0.2,7000.0,100.0,1644.31671364,11534.2055556,68.2610368256
26,0.2,14000.0,200.0,1669.48774534,14708.8111111,88.1188152829
27,0.2,21000.0,300.0,1683.73786446,16803.3111111,101.870951696
28,0.2,28000.0,400.0,1694.29670498,18226.3944444,111.759900091
29,0.2,35000.0,500.0,1706.88263967,19522.6888889,120.422122974
30,0.2,42000.0,600.0,1715.80345514,20548.1222222,126.552826969
31,0.2,52500.0,750.0,1725.10711153,21955.4888889,135.655457706
32,0.2,70000.0,1000.0,1737.87091307,23979.0222222,149.211957534
33,0.2,87500.0,1250.0,1748.78230797,25343.0555556,158.61717221
34,0.2,105000.0,1500.0,1756.4888342,26498.6388889,166.665570587
35,0.2,140000.0,2000.0,1767.59542302,28457.9833333,178.754367062
36,0.3,3500.0,50.0,1634.44166769,8997.85555556,50.2196004084
37,0.3,7000.0,100.0,1646.62487618,11604.9,68.7052256959
38,0.3,14000.0,200.0,1669.82438897,14814.7222222,88.8267866268
39,0.3,21000.0,300.0,1684.17118,16833.45,102.191016949
40,0.3,28000.0,400.0,1694.17809418,18225.8777778,112.110347624
41,0.3,35000.0,500.0,1707.33380046,19565.6222222,120.756353732
42,0.3,42000.0,600.0,1715.53710921,20604.6166667,126.939953337
43,0.3,52500.0,750.0,1725.16297446,22003.3333333,135.559301664
44,0.3,70000.0,1000.0,1737.51475212,23953.0777778,148.607969078
45,0.3,87500.0,1250.0,1748.71492781,25341.3,158.421861798
46,0.3,105000.0,1500.0,1756.31005861,26489.6888889,166.556759878
47,0.3,140000.0,2000.0,1767.8848998,28524.9,179.156168581
48,0.4,3500.0,50.0,1635.37711041,9043.62222222,50.2800881092
49,0.4,7000.0,100.0,1646.4458761,11659.5833333,69.0197817443
50,0.4,14000.0,200.0,1671.85523286,14855.8388889,88.8241064808
51,0.4,21000.0,300.0,1683.60676854,16810.5944444,101.956237967
52,0.4,28000.0,400.0,1695.04230625,18278.2666667,112.299760569
53,0.4,35000.0,500.0,1706.41940852,19577.3277778,120.871545525
54,0.4,42000.0,600.0,1717.11869986,20733.3555556,128.157761431
55,0.4,52500.0,750.0,1725.63091654,22036.0222222,136.090431006
56,0.4,70000.0,1000.0,1737.68369952,23965.4222222,149.071835861
57,0.4,87500.0,1250.0,1748.59476122,25323.0777778,158.59436478
58,0.4,105000.0,1500.0,1756.13940343,26539.2944444,166.516317775
59,0.4,140000.0,2000.0,1768.3112247,28564.1666667,179.244289665
60,0.5,3500.0,50.0,1637.68747346,9130.65,51.2648087594
61,0.5,7000.0,100.0,1646.8034809,11633.0944444,69.150312732
62,0.5,14000.0,200.0,1673.84112707,15044.2333333,90.1459339671
63,0.5,21000.0,300.0,1685.22886951,16956.8555556,103.43150338
64,0.5,28000.0,400.0,1695.08565646,18394.8111111,113.546800253
65,0.5,35000.0,500.0,1705.80152088,19631.8666667,121.551716485
66,0.5,42000.0,600.0,1716.88440299,20758.2666667,128.46683822
67,0.5,52500.0,750.0,1727.27087298,22181.0611111,137.795117917
68,0.5,70000.0,1000.0,1737.79732246,23957.9444444,149.793593401
69,0.5,87500.0,1250.0,1749.38456131,25361.8166667,158.741072792
70,0.5,105000.0,1500.0,1756.51800879,26571.7222222,165.909322259
71,0.5,140000.0,2000.0,1768.85269656,28628.1944444,179.177114253
72,0.6,3500.0,50.0,1637.77772018,9222.43333333,51.9090734476
73,0.6,7000.0,100.0,1647.34719863,11804.7555556,69.6164889793
74,0.6,14000.0,200.0,1674.16017109,15227.0444444,91.7788426935
75,0.6,21000.0,300.0,1685.62887343,17110.2777778,104.154695479
76,0.6,28000.0,400.0,1696.24322108,18539.7444444,114.377668964
77,0.6,35000.0,500.0,1706.48680016,19834.1611111,122.401307592
78,0.6,42000.0,600.0,1715.06299956,20746.5888889,129.049459203
79,0.6,52500.0,750.0,1726.92243286,22159.3111111,137.122126292
80,0.6,70000.0,1000.0,1737.14395071,23845.3722222,149.105487065
81,0.6,87500.0,1250.0,1748.83607339,25411.6333333,159.628979424
82,0.6,105000.0,1500.0,1756.33646191,26644.6111111,167.224722942
83,0.6,140000.0,2000.0,1768.393873,28569.6666667,178.350741768
84,0.7,3500.0,50.0,1645.06423267,9598.83333333,54.0481179809
85,0.7,7000.0,100.0,1653.98260609,12322.9277778,73.452919828
86,0.7,14000.0,200.0,1673.69566624,15359.3166667,93.0744913402
87,0.7,21000.0,300.0,1686.60782687,17271.4944444,105.370764869
88,0.7,28000.0,400.0,1695.69522399,18636.9888889,114.105843871
89,0.7,35000.0,500.0,1704.66872886,19833.4166667,122.09239709
90,0.7,42000.0,600.0,1715.13317715,20826.7055556,129.383056645
91,0.7,52500.0,750.0,1724.20378821,22106.6222222,137.2439592
92,0.7,70000.0,1000.0,1737.51463883,23810.6555556,149.208602817
93,0.7,87500.0,1250.0,1747.33791599,25405.3,159.222140201
94,0.7,105000.0,1500.0,1755.11220737,26602.3722222,166.357909279
95,0.7,140000.0,2000.0,1766.90268407,28497.3111111,178.128743338
96,0.8,3500.0,50.0,1644.01580889,9740.40555556,55.2732624279
97,0.8,7000.0,100.0,1656.89642552,12732.6833333,75.377470077
98,0.8,14000.0,200.0,1672.38003075,15476.8944444,93.3295392741
99,0.8,21000.0,300.0,1687.78735394,17423.9888889,105.355064706
100,0.8,28000.0,400.0,1696.3562502,18689.4111111,114.45152986
101,0.8,35000.0,500.0,1705.14885124,19813.8277778,122.056128412
102,0.8,42000.0,600.0,1712.1597438,20827.5777778,128.412060833
103,0.8,52500.0,750.0,1722.1166835,22011.2277778,137.417623009
104,0.8,70000.0,1000.0,1735.83752916,23770.1777778,148.77639789
105,0.8,87500.0,1250.0,1744.31017136,25163.15,157.295022298
106,0.8,105000.0,1500.0,1753.59073342,26535.4944444,166.208708046
107,0.8,140000.0,2000.0,1766.03196584,28340.6,177.779006071
108,0.9,3500.0,50.0,1652.6773602,9442.72222222,52.3736221976
109,0.9,7000.0,100.0,1664.78649477,12191.1611111,70.9694497693
110,0.9,14000.0,200.0,1671.18002397,15177.2,91.4224846488
111,0.9,21000.0,300.0,1684.10880682,17203.8333333,104.913443507
112,0.9,28000.0,400.0,1695.49528449,18662.4277778,114.333523338
113,0.9,35000.0,500.0,1701.36043953,19773.2444444,121.566374641
114,0.9,42000.0,600.0,1706.08663308,20654.4166667,127.618109706
115,0.9,52500.0,750.0,1714.67194009,21928.8777778,135.569753806
116,0.9,70000.0,1000.0,1729.02161486,23586.2722222,147.113891453
117,0.9,87500.0,1250.0,1741.2864465,24941.5722222,156.211288718
118,0.9,105000.0,1500.0,1749.74586915,26020.0722222,162.601404913
119,0.9,140000.0,2000.0,1761.15367025,27812.6777778,173.607090905
