,eccentricity,area,N,E_of_pi,S,d
0,0.0,3500.0,50.0,1702.86069058,6854.42222222,35.0029085794
1,0.0,7000.0,100.0,1694.67953218,8303.26666667,45.8522997021
2,0.0,14000.0,200.0,1695.33798377,10495.6888889,60.8291874752
3,0.0,21000.0,300.0,1699.64880941,12307.4555556,73.6242023459
4,0.0,28000.0,400.0,1705.51502731,13643.0166667,82.309002146
5,0.0,35000.0,500.0,1715.45700647,14937.6111111,90.8769732906
6,0.0,42000.0,600.0,1721.38471805,15706.2388889,96.8169654735
7,0.0,52500.0,750.0,1721.01463885,16904.9555556,103.742876199
8,0.0,70000.0,1000.0,1729.22732312,18735.3611111,115.999880778
9,0.0,87500.0,1250.0,1734.96092576,20078.8032164,124.915956985
10,0.0,105000.0,1500.0,1747.07316581,21673.5870289,134.236427563
11,0.0,140000.0,2000.0,1757.44391344,23782.0370915,147.50720546
12,0.1,3500.0,50.0,1663.23687862,6577.37222222,34.0342263675
13,0.1,7000.0,100.0,1661.28800692,8307.23888889,45.7737640823
14,0.1,14000.0,200.0,1670.2535281,10525.25,60.2040990305
15,0.1,21000.0,300.0,1683.09757539,12325.6,72.3755229888
16,0.1,28000.0,400.0,1689.63885337,13646.3666667,81.1614201253
17,0.1,35000.0,500.0,1698.88622912,14858.0111111,89.2783326739
18,0.1,42000.0,600.0,1701.67665393,16002.5722222,97.4900472158
19,0.1,52500.0,750.0,1710.48906502,17243.6833333,106.213035583
20,0.1,70000.0,1000.0,1721.37189309,18737.7166667,116.294245554
21,0.1,87500.0,1250.0,1730.84224943,20304.1777778,127.217777463
22,0.1,105000.0,1500.0,1739.36154871,21739.45,136.358969247
23,0.1,140000.0,2000.0,1754.08733051,23809.2277778,148.68972859
24,0.2,3500.0,50.0,1659.21997413,6345.63333333,33.3329000283
25,0.2,7000.0,100.0,1660.58509221,8283.26666667,46.8156726878
26,0.2,14000.0,200.0,1668.18463156,10382.0444444,60.50845771
27,0.2,21000.0,300.0,1674.84354905,11672.25,68.6739257268
28,0.2,28000.0,400.0,1687.22013697,13463.8833333,80.8578724161
29,0.2,35000.0,500.0,1694.23383924,14440.0722222,87.308987872
