,eccentricity,area,N,E_of_pi,S,d
0,0.0,3500.0,50.0,1557.33051936,6247.64444444,33.9189375757
1,0.0,7000.0,100.0,1606.84269241,7852.51111111,43.8657695414
2,0.0,14000.0,200.0,1639.64695584,9833.82777778,56.851856718
3,0.0,21000.0,300.0,1671.11278062,11080.6277778,65.8812722974
4,0.0,28000.0,400.0,1674.27523396,12088.5277778,73.2541163053
5,0.0,35000.0,500.0,1678.07454692,12689.0611111,78.3469770788
6,0.0,42000.0,600.0,1684.05637456,13545.3333333,84.0105534446
7,0.0,52500.0,750.0,1701.65057111,14510.9611111,89.8991329247
8,0.0,70000.0,1000.0,1719.16637924,15837.9944444,98.9364301837
9,0.0,87500.0,1250.0,1719.36735688,16737.2611111,104.619257266
10,0.0,105000.0,1500.0,1739.03324362,17522.5333333,110.126988486
11,0.0,140000.0,2000.0,1742.90072318,18695.3555556,117.978778722
12,0.1,3500.0,50.0,1560.06523555,6242.01111111,33.6494040312
13,0.1,7000.0,100.0,1607.2371398,7865.17777778,43.9096135388
14,0.1,14000.0,200.0,1644.78841424,9830.29444444,56.8529425927
15,0.1,21000.0,300.0,1671.74011315,11087.9944444,65.8825081209
16,0.1,28000.0,400.0,1674.44523472,12090.8777778,73.2438456264
17,0.1,35000.0,500.0,1678.38205284,12712.4333333,78.444226583
18,0.1,42000.0,600.0,1684.03353038,13545.4722222,84.0628180729
19,0.1,52500.0,750.0,1701.5410077,14515.4055556,89.830985728
20,0.1,70000.0,1000.0,1719.2027411,15850.8777778,99.0754778553
21,0.1,87500.0,1250.0,1719.1844977,16723.7388889,104.557556429
22,0.1,105000.0,1500.0,1738.90118547,17539.0555556,110.188456245
23,0.1,140000.0,2000.0,1742.93245495,18695.8166667,118.048180156
24,0.2,3500.0,50.0,1543.13249606,6252.02222222,33.7593724292
25,0.2,7000.0,100.0,1607.50707159,7900.03888889,44.0105963706
26,0.2,14000.0,200.0,1644.12176065,9838.35,56.9657006685
27,0.2,21000.0,300.0,1671.48354179,11114.6944444,66.0983499774
28,0.2,28000.0,400.0,1674.87980099,12127.3611111,73.4016379783
29,0.2,35000.0,500.0,1677.50928646,12711.8166667,78.3520428924
30,0.2,42000.0,600.0,1683.96935395,13557.8,84.0448948491
31,0.2,52500.0,750.0,1702.04882977,14533.8722222,90.0300933847
32,0.2,70000.0,1000.0,1721.46735745,15819.8666667,98.5517567213
33,0.2,87500.0,1250.0,1719.24232044,16739.5277778,104.56899205
34,0.2,105000.0,1500.0,1738.68593218,17536.8444444,110.267792579
35,0.2,140000.0,2000.0,1742.72051674,18713.4722222,118.144639735
36,0.3,3500.0,50.0,1545.96705323,6283.46666667,33.6519295512
37,0.3,7000.0,100.0,1621.63430674,7992.76111111,44.5747261783
38,0.3,14000.0,200.0,1630.0297422,9891.36111111,57.430784325
39,0.3,21000.0,300.0,1671.88026357,11153.2333333,66.2823118664
40,0.3,28000.0,400.0,1674.98185282,12059.6166667,73.1678808086
41,0.3,35000.0,500.0,1677.1862513,12675.7444444,78.055223079
42,0.3,42000.0,600.0,1684.65595845,13554.7611111,84.066256166
43,0.3,52500.0,750.0,1701.5121204,14484.8166667,89.7887310057
44,0.3,70000.0,1000.0,1717.40671879,15790.1166667,98.6601876559
45,0.3,87500.0,1250.0,1718.77578084,16723.3277778,104.624163076
46,0.3,105000.0,1500.0,1738.4480204,17508.1833333,110.160415076
47,0.3,140000.0,2000.0,1741.98903494,18660.8611111,117.699800085
48,0.4,3500.0,50.0,1546.46857115,6316.07777778,33.6441487563
49,0.4,7000.0,100.0,1592.30136656,7976.45,44.8457816243
50,0.4,14000.0,200.0,1630.84769356,9927.41666667,57.7008308092
51,0.4,21000.0,300.0,1656.86880436,11164.2,66.5646520836
52,0.4,28000.0,400.0,1680.96535679,12122.6611111,73.40547395
53,0.4,35000.0,500.0,1675.35694353,12735.6111111,78.2670599427
54,0.4,42000.0,600.0,1684.21732272,13511.1444444,83.5409257538
55,0.4,52500.0,750.0,1687.80162681,14438.4777778,89.4318289084
56,0.4,70000.0,1000.0,1717.75205504,15750.4,98.4219598309
57,0.4,87500.0,1250.0,1717.9318288,16724.3722222,104.796272982
58,0.4,105000.0,1500.0,1738.04039621,17488.5222222,109.777213142
59,0.4,140000.0,2000.0,1742.15607922,18696.7722222,118.134993224
60,0.5,3500.0,50.0,1553.90907431,6323.08333333,33.3229690131
61,0.5,7000.0,100.0,1590.37216963,8068.7,45.3593813542
62,0.5,14000.0,200.0,1614.32060104,9925.95,58.012920788
63,0.5,21000.0,300.0,1647.9337797,11173.5722222,66.2106952983
64,0.5,28000.0,400.0,1683.60022246,12161.5222222,73.1587570571
65,0.5,35000.0,500.0,1690.26553338,12872.2777778,78.7293662828
66,0.5,42000.0,600.0,1687.06097198,13453.8,82.9988210516
67,0.5,52500.0,750.0,1703.13458173,14468.0333333,89.6333437695
68,0.5,70000.0,1000.0,1718.66075339,15762.8333333,98.6257914533
69,0.5,87500.0,1250.0,1717.75450594,16702.8111111,105.046594116
70,0.5,105000.0,1500.0,1737.49028837,17447.3833333,109.596262467
71,0.5,140000.0,2000.0,1741.44480754,18607.3888889,117.836079006
72,0.6,3500.0,50.0,1558.41759536,6458.08333333,34.3519244095
73,0.6,7000.0,100.0,1593.03035309,8182.67777778,46.5125707965
74,0.6,14000.0,200.0,1608.38238936,9929.62777778,57.8789912623
75,0.6,21000.0,300.0,1632.04183131,11233.2111111,66.5124830879
76,0.6,28000.0,400.0,1671.78285303,12123.3888889,73.2345181702
77,0.6,35000.0,500.0,1691.33019663,12954.1555556,79.5441487989
78,0.6,42000.0,600.0,1694.55020101,13508.8166667,83.0577255006
79,0.6,52500.0,750.0,1699.303845,14517.5833333,90.3204217589
80,0.6,70000.0,1000.0,1717.14841548,15667.4055556,97.9202753313
81,0.6,87500.0,1250.0,1720.87589444,16705.9,104.712149288
82,0.6,105000.0,1500.0,1736.51460191,17376.6888889,109.259080118
83,0.6,140000.0,2000.0,1742.76138924,18532.8277778,117.355020019
84,0.7,3500.0,50.0,1546.77724597,6580.52777778,34.8045397411
85,0.7,7000.0,100.0,1590.6610962,8128.98333333,46.157543309
86,0.7,14000.0,200.0,1577.9491849,9915.26111111,58.0121558305
87,0.7,21000.0,300.0,1608.64318175,11232.2333333,66.8909301304
88,0.7,28000.0,400.0,1659.70463889,12198.1444444,74.2615811498
89,0.7,35000.0,500.0,1713.20118415,12965.4055556,79.6438796361
90,0.7,42000.0,600.0,1707.20539404,13557.6166667,83.8367159952
91,0.7,52500.0,750.0,1705.09483597,14419.5944444,89.1965512083
92,0.7,70000.0,1000.0,1706.73889654,15577.75,97.0126510344
93,0.7,87500.0,1250.0,1738.03314055,16612.3777778,104.002923406
94,0.7,105000.0,1500.0,1737.24125155,17313.9777778,109.459348734
95,0.7,140000.0,2000.0,1740.05246605,18445.0722222,117.251670003
96,0.8,3500.0,50.0,1556.91041882,6598.81111111,34.5946457774
