,eccentricity,area,N,E_of_pi,S,d
0,0.0,3500.0,50.0,1648.61267356,8390.91666667,46.257799501
1,0.0,7000.0,100.0,1647.88602888,10986.6611111,63.4886373201
2,0.0,14000.0,200.0,1665.45216667,13678.0055556,80.5322324038
3,0.0,21000.0,300.0,1678.70191703,15346.5333333,91.4569201098
4,0.0,28000.0,400.0,1688.1561151,16746.7555556,101.944456858
5,0.0,35000.0,500.0,1696.32608647,17713.4,108.551114533
6,0.0,42000.0,600.0,1702.98180051,18615.9388889,115.507214958
7,0.0,52500.0,750.0,1711.84573811,19825.05,123.397669624
8,0.0,70000.0,1000.0,1722.84093667,21612.8944444,135.478463474
9,0.0,87500.0,1250.0,1734.65188562,23060.3388889,144.580854062
10,0.0,105000.0,1500.0,1743.71688942,24378.0055556,153.400042875
11,0.0,140000.0,2000.0,1757.76327808,26260.3277778,167.301751535
12,0.1,3500.0,50.0,1650.51308884,8389.61111111,46.0217032424
13,0.1,7000.0,100.0,1648.0562385,11007.4277778,63.4995660516
14,0.1,14000.0,200.0,1665.2124103,13655.5388889,80.4727625501
15,0.1,21000.0,300.0,1678.48602887,15328.15,91.5212248364
16,0.1,28000.0,400.0,1688.21253236,16744.2277778,101.557798611
17,0.1,35000.0,500.0,1696.40646706,17712.9722222,108.591869338
18,0.1,42000.0,600.0,1702.69281057,18616.6944444,115.398057579
19,0.1,52500.0,750.0,1711.61754891,19821.7444444,123.29662916
20,0.1,70000.0,1000.0,1722.96364049,21619.4722222,135.148347695
21,0.1,87500.0,1250.0,1734.5987167,23093.6944444,144.983248635
22,0.1,105000.0,1500.0,1743.64691017,24380.5166667,153.25976257
23,0.1,140000.0,2000.0,1757.91202599,26259.3666667,167.214934655
24,0.2,3500.0,50.0,1650.41139853,8417.59444444,46.0742683986
25,0.2,7000.0,100.0,1648.3265132,10978.4611111,63.4497015263
26,0.2,14000.0,200.0,1665.46500372,13683.2777778,80.1473506562
27,0.2,21000.0,300.0,1678.92096008,15367.7388889,91.5052485841
28,0.2,28000.0,400.0,1689.04602983,16713.6388889,101.305533575
29,0.2,35000.0,500.0,1696.0415699,17708.8333333,108.408208798
30,0.2,42000.0,600.0,1702.42932011,18560.2166667,115.052561813
31,0.2,52500.0,750.0,1710.96857722,19812.65,123.510326862
32,0.2,70000.0,1000.0,1722.93081917,21604.7111111,134.991937062
33,0.2,87500.0,1250.0,1734.08725557,23058.3333333,144.725935788
34,0.2,105000.0,1500.0,1743.31590921,24350.4666667,152.945053195
35,0.2,140000.0,2000.0,1757.88663372,26259.5777778,167.099670352
36,0.3,3500.0,50.0,1650.43874793,8407.03888889,45.8323479328
37,0.3,7000.0,100.0,1647.25733004,10935.0166667,62.3947575853
38,0.3,14000.0,200.0,1666.7206376,13675.8666667,80.3641468508
39,0.3,21000.0,300.0,1679.13273196,15327.9888889,91.5408504821
40,0.3,28000.0,400.0,1689.05231539,16712.8888889,101.132151676
41,0.3,35000.0,500.0,1695.91460319,17682.9222222,108.325392509
42,0.3,42000.0,600.0,1702.86383514,18511.1,114.911492748
43,0.3,52500.0,750.0,1710.50370429,19813.9722222,123.278738121
44,0.3,70000.0,1000.0,1723.50898685,21597.9555556,135.49382689
45,0.3,87500.0,1250.0,1734.21694293,23097.1666667,144.728797591
46,0.3,105000.0,1500.0,1743.89082385,24351.9555556,153.388567387
47,0.3,140000.0,2000.0,1758.21142408,26288.9944444,167.023432491
48,0.4,3500.0,50.0,1649.01726731,8382.12222222,45.5388313705
49,0.4,7000.0,100.0,1646.31118241,10940.0722222,62.6094761777
50,0.4,14000.0,200.0,1666.97975693,13657.6277778,79.8989009765
51,0.4,21000.0,300.0,1677.43409151,15261.45,90.8579449107
52,0.4,28000.0,400.0,1689.74454414,16672.9111111,100.585409754
53,0.4,35000.0,500.0,1695.37152483,17636.0944444,108.076475769
54,0.4,42000.0,600.0,1702.07106455,18461.1833333,114.191962841
55,0.4,52500.0,750.0,1709.60519305,19807.0722222,123.233554731
56,0.4,70000.0,1000.0,1723.14984627,21606.1055556,134.676696382
57,0.4,87500.0,1250.0,1733.12796602,23080.6333333,145.057772954
58,0.4,105000.0,1500.0,1744.08668619,24366.0555556,153.554570572
59,0.4,140000.0,2000.0,1758.67565308,26390.9055556,167.356796224
60,0.5,3500.0,50.0,1651.33457978,8305.00555556,44.5353974633
61,0.5,7000.0,100.0,1646.51733831,10969.8055556,63.0845588534
62,0.5,14000.0,200.0,1667.9069225,13649.8888889,79.7853080642
63,0.5,21000.0,300.0,1677.46229737,15252.7055556,90.1678456176
64,0.5,28000.0,400.0,1688.82394266,16542.1111111,99.3664029425
65,0.5,35000.0,500.0,1696.23495201,17632.8666667,108.411729353
66,0.5,42000.0,600.0,1702.26505157,18563.8055556,114.647062639
67,0.5,52500.0,750.0,1708.48332093,19778.5166667,122.932775445
68,0.5,70000.0,1000.0,1724.21734125,21627.9,135.260700164
69,0.5,87500.0,1250.0,1733.92871394,23214.8444444,145.21952697
70,0.5,105000.0,1500.0,1743.17151564,24381.8555556,153.777158825
71,0.5,140000.0,2000.0,1758.02472259,26400.75,167.794683707
72,0.6,3500.0,50.0,1653.5422636,8367.55,45.369444299
73,0.6,7000.0,100.0,1646.85635609,10921.7888889,62.7058225269
74,0.6,14000.0,200.0,1668.52067396,13602.0777778,79.4825758813
75,0.6,21000.0,300.0,1676.49597684,15185.9166667,90.2243233741
76,0.6,28000.0,400.0,1689.16564329,16463.0277778,98.8998033783
77,0.6,35000.0,500.0,1696.50913977,17676.8166667,108.318284618
78,0.6,42000.0,600.0,1700.21342169,18457.4833333,114.521562655
79,0.6,52500.0,750.0,1708.35712987,19873.8722222,123.122371246
80,0.6,70000.0,1000.0,1724.50187368,21699.5277778,135.241106927
81,0.6,87500.0,1250.0,1733.93004332,23241.7833333,145.551305099
82,0.6,105000.0,1500.0,1741.91133374,24360.2055556,152.795753354
83,0.6,140000.0,2000.0,1758.22615264,26456.65,168.477984976
84,0.7,3500.0,50.0,1649.8858238,8275.95,44.5013340438
85,0.7,7000.0,100.0,1648.55671896,10673.4555556,60.8680495892
86,0.7,14000.0,200.0,1663.61426375,13365.4444444,78.2014073277
87,0.7,21000.0,300.0,1676.32152843,15104.5166667,89.6763884737
88,0.7,28000.0,400.0,1686.80286092,16450.7277778,99.1339373338
89,0.7,35000.0,500.0,1694.11501636,17553.7444444,107.358300103
90,0.7,42000.0,600.0,1700.63428576,18631.1111111,114.815337003
91,0.7,52500.0,750.0,1708.87269063,19937.1111111,123.123086749
92,0.7,70000.0,1000.0,1724.50785634,21833.8277778,136.083788199
93,0.7,87500.0,1250.0,1733.5610839,23132.8888889,145.460460971
