,eccentricity,area,N,E_of_pi,S,d
0,0.0,3500.0,50.0,1714.94982778,7257.78765432,38.9448639485
1,0.0,7000.0,100.0,1688.93057786,9152.48888889,52.267861382
2,0.0,14000.0,200.0,1702.17285654,12295.3777778,71.3981024676
3,0.0,21000.0,300.0,1706.99155902,14079.6777778,83.6274676539
4,0.0,28000.0,400.0,1720.69579273,16300.3055556,97.0591083422
5,0.0,35000.0,500.0,1724.45851304,16984.6166667,101.755358112
6,0.0,42000.0,600.0,1727.78849867,17942.4555556,107.842471644
7,0.0,52500.0,750.0,1738.52773798,19492.5388889,118.467416154
8,0.0,70000.0,1000.0,1744.29721993,21054.5055556,128.488615767
9,0.0,87500.0,1250.0,1751.32758525,22580.2444444,138.137158445
10,0.0,105000.0,1500.0,1759.18188149,24326.8444444,149.620408826
11,0.0,140000.0,2000.0,1766.17326521,25848.2833333,161.697836477
12,0.1,3500.0,50.0,1666.36360528,7846.73333333,42.9754196954
13,0.1,7000.0,100.0,1669.75198301,10096.2722222,57.1900850737
14,0.1,14000.0,200.0,1687.69476284,12988.7333333,76.4846192455
15,0.1,21000.0,300.0,1695.62424887,14305.0222222,86.1723960301
16,0.1,28000.0,400.0,1706.70371763,16019.5055556,97.4580951417
17,0.1,35000.0,500.0,1719.84967277,17700.6055556,108.895990613
18,0.1,42000.0,600.0,1725.56975619,18620.4,114.857277058
19,0.1,52500.0,750.0,1735.62843108,20015.5555556,123.964233082
20,0.1,70000.0,1000.0,1739.15519257,20969.1611111,130.031453963
21,0.1,87500.0,1250.0,1748.03103973,22379.1777778,138.210218557
22,0.1,105000.0,1500.0,1755.57996528,23991.2888889,148.139518733
23,0.1,140000.0,2000.0,1770.11122012,26458.5666667,164.25740986
24,0.2,3500.0,50.0,1663.0872355,7673.77222222,41.0506047549
25,0.2,7000.0,100.0,1672.06112542,10182.85,57.3276084344
26,0.2,14000.0,200.0,1686.01045203,12650.2333333,72.816770899
27,0.2,21000.0,300.0,1697.40756739,14766.4611111,88.2253245981
28,0.2,28000.0,400.0,1711.32568371,16508.6222222,99.8274724622
29,0.2,35000.0,500.0,1719.87188587,17570.7555556,107.296271475
30,0.2,42000.0,600.0,1728.37624135,18905.6777778,116.142819192
31,0.2,52500.0,750.0,1734.43393595,19792.95,121.468719091
32,0.2,70000.0,1000.0,1745.17311015,21964.0222222,134.736954415
33,0.2,87500.0,1250.0,1750.64879482,23037.0444444,144.146421571
34,0.2,105000.0,1500.0,1756.4622769,24263.0,150.875406767
35,0.2,140000.0,2000.0,1769.9726368,26539.5555556,165.688225418
36,0.3,3500.0,50.0,1659.82949134,7842.86111111,43.006180801
37,0.3,7000.0,100.0,1668.74273627,10066.0055556,57.5451189986
38,0.3,14000.0,200.0,1687.2625993,12892.5555556,76.4280772621
39,0.3,21000.0,300.0,1696.71835216,14571.2555556,88.3654374525
40,0.3,28000.0,400.0,1708.73135086,16079.5777778,97.9704752507
41,0.3,35000.0,500.0,1719.87612597,17725.7166667,109.183321749
42,0.3,42000.0,600.0,1723.88593759,18544.3166667,113.432205372
43,0.3,52500.0,750.0,1734.25309141,20220.7722222,124.800519424
44,0.3,70000.0,1000.0,1743.74045747,22038.1333333,137.518690302
45,0.3,87500.0,1250.0,1752.10679876,23644.4444444,147.795312241
46,0.3,105000.0,1500.0,1757.86325543,24611.8166667,154.126434236
47,0.3,140000.0,2000.0,1770.55813161,26976.5055556,169.32792396
48,0.4,3500.0,50.0,1657.33296775,7871.81666667,42.2368584522
49,0.4,7000.0,100.0,1668.83508153,10226.7166667,57.7678216254
50,0.4,14000.0,200.0,1688.26771292,13149.9444444,77.9566694579
51,0.4,21000.0,300.0,1697.5741394,14997.9944444,91.2563006374
52,0.4,28000.0,400.0,1708.09643545,16637.9166667,101.426236765
53,0.4,35000.0,500.0,1714.30645715,17395.9277778,106.681727728
54,0.4,42000.0,600.0,1722.58923964,18731.5333333,115.359870186
55,0.4,52500.0,750.0,1733.65404282,20391.3388889,126.506870726
56,0.4,70000.0,1000.0,1741.29070925,21957.9666667,136.832266784
57,0.4,87500.0,1250.0,1751.23227966,23648.9222222,148.111648407
58,0.4,105000.0,1500.0,1757.80545939,24758.75,155.113458166
59,0.4,140000.0,2000.0,1770.56340747,27093.5277778,170.090342232
60,0.5,3500.0,50.0,1657.61595757,7759.83333333,41.0293513094
61,0.5,7000.0,100.0,1667.68602928,10102.15,57.2801466485
62,0.5,14000.0,200.0,1685.66048881,13050.1888889,76.3722779143
63,0.5,21000.0,300.0,1698.08233181,15335.3388889,91.8688801545
64,0.5,28000.0,400.0,1708.33655556,16944.5666667,103.076935806
65,0.5,35000.0,500.0,1716.58328248,18116.5,111.004164778
66,0.5,42000.0,600.0,1724.20367517,19141.2111111,117.514236819
67,0.5,52500.0,750.0,1730.36386208,20236.3388889,125.715804392
68,0.5,70000.0,1000.0,1739.60325512,21927.0888889,136.201197918
69,0.5,87500.0,1250.0,1750.29613308,23580.0833333,147.83140121
70,0.5,105000.0,1500.0,1755.42003428,24482.6444444,153.938826616
71,0.5,140000.0,2000.0,1768.01381924,26646.6833333,167.452002381
72,0.6,3500.0,50.0,1661.35747511,7755.80555556,41.615948851
73,0.6,7000.0,100.0,1667.49536168,9830.02777778,56.1126733365
74,0.6,14000.0,200.0,1684.00619635,12789.1277778,75.538498481
75,0.6,21000.0,300.0,1696.69127724,14677.7888889,88.6492407798
76,0.6,28000.0,400.0,1710.02902323,16686.85,102.307252195
77,0.6,35000.0,500.0,1717.05146402,17826.7055556,110.055736971
78,0.6,42000.0,600.0,1725.29746711,19142.1277778,117.916119705
79,0.6,52500.0,750.0,1731.78805542,20172.8388889,125.730674644
80,0.6,70000.0,1000.0,1741.16797036,22062.8555556,136.325614863
81,0.6,87500.0,1250.0,1752.20715009,23675.5222222,147.856412542
82,0.6,105000.0,1500.0,1758.59633604,24986.3611111,156.527192531
83,0.6,140000.0,2000.0,1769.0468896,27042.8277778,169.769596975
84,0.7,3500.0,50.0,1661.41959245,8153.70555556,44.5938612267
85,0.7,7000.0,100.0,1668.28336679,10799.0611111,62.793820884
86,0.7,14000.0,200.0,1683.86892463,13284.0333333,79.2561946497
87,0.7,21000.0,300.0,1695.41431588,14706.3166667,88.5605910837
88,0.7,28000.0,400.0,1709.00229667,16838.4277778,103.197696394
89,0.7,35000.0,500.0,1719.21203887,18025.85,110.505793946
90,0.7,42000.0,600.0,1723.96737514,18925.4944444,116.128168732
91,0.7,52500.0,750.0,1733.39013096,20343.8111111,125.697849818
92,0.7,70000.0,1000.0,1742.89707357,22004.7055556,136.295455995
93,0.7,87500.0,1250.0,1751.40453039,23206.8388889,144.58307392
94,0.7,105000.0,1500.0,1756.5950464,24457.7722222,153.028100203
95,0.7,140000.0,2000.0,1764.9198138,26444.5055556,166.977637689
96,0.8,3500.0,50.0,1672.37841134,7809.82222222,43.3894396674
97,0.8,7000.0,100.0,1664.53117885,10248.9277778,59.3806825556
98,0.8,14000.0,200.0,1681.3973338,13421.3111111,79.8423260327
99,0.8,21000.0,300.0,1688.52418121,14227.2166667,84.957276492
100,0.8,28000.0,400.0,1701.20780837,15962.1666667,96.8276592057
101,0.8,35000.0,500.0,1713.13012418,17695.2055556,108.661036731
102,0.8,42000.0,600.0,1719.15552447,18575.1055556,114.762070781
103,0.8,52500.0,750.0,1720.91995989,19197.5166667,117.59785836
104,0.8,70000.0,1000.0,1734.18871517,21223.7277778,131.015527485
105,0.8,87500.0,1250.0,1742.91675247,22539.5611111,140.76223119
106,0.8,105000.0,1500.0,1748.64406,23849.85,149.19588148
107,0.8,140000.0,2000.0,1755.98655617,25140.4944444,157.966308843
108,0.9,3500.0,50.0,1691.976446,7564.65555556,39.8692484075
109,0.9,7000.0,100.0,1672.16439599,10089.4444444,56.7382854929
110,0.9,14000.0,200.0,1681.77357448,12695.4611111,74.8520210762
111,0.9,21000.0,300.0,1692.2332976,14488.8833333,85.5980920528
112,0.9,28000.0,400.0,1697.29477211,15319.5555556,92.7480519023
113,0.9,35000.0,500.0,1703.57740399,16364.9277778,99.4220738595
114,0.9,42000.0,600.0,1711.32874603,17791.5055556,108.506651076
115,0.9,52500.0,750.0,1716.41706831,18419.2722222,113.080109991
116,0.9,70000.0,1000.0,1727.47757004,20096.9111111,122.923266568
117,0.9,87500.0,1250.0,1732.7936552,21198.6555556,130.953183521
118,0.9,105000.0,1500.0,1741.14680143,22658.3833333,140.134070347
119,0.9,140000.0,2000.0,1752.37012282,24495.0444444,152.870620455
