,eccentricity,area,N,E_of_pi,S,d
0,0.0,3500.0,50.0,1574.16934576,6888.15,37.2699554706
1,0.0,7000.0,100.0,1567.82970269,8265.31111111,47.8356477222
2,0.0,14000.0,200.0,1648.72893128,10258.4222222,60.7101958163
3,0.0,21000.0,300.0,1678.75870948,11441.5888889,68.5797312792
4,0.0,28000.0,400.0,1701.91667112,12353.7777778,75.6907541532
5,0.0,35000.0,500.0,1711.63774685,13225.5944444,82.3675574825
6,0.0,42000.0,600.0,1715.5847423,13893.9333333,87.2124056286
7,0.0,52500.0,750.0,1714.80849204,14707.0611111,92.8172532385
8,0.0,70000.0,1000.0,1745.2199155,15874.9777778,100.894487622
9,0.0,87500.0,1250.0,1754.30233635,16780.5611111,106.72257786
10,0.0,105000.0,1500.0,1758.68981705,17471.8666667,112.066479936
11,0.0,140000.0,2000.0,1762.1254792,18721.1888889,119.955819328
12,0.1,3500.0,50.0,1573.41663433,6886.88888889,37.3756956585
13,0.1,7000.0,100.0,1567.88673671,8277.35555556,48.0111254965
14,0.1,14000.0,200.0,1648.22622893,10264.6722222,60.6160111728
15,0.1,21000.0,300.0,1678.68729072,11458.5055556,68.701238361
16,0.1,28000.0,400.0,1701.61851834,12356.8722222,75.7105231046
17,0.1,35000.0,500.0,1711.64000943,13248.3444444,82.4227571733
18,0.1,42000.0,600.0,1715.62345997,13903.0722222,87.1175729563
19,0.1,52500.0,750.0,1714.93360414,14719.2722222,92.8168318548
20,0.1,70000.0,1000.0,1764.27016648,15892.45,100.685801096
21,0.1,87500.0,1250.0,1754.34066501,16781.7444444,106.803305529
22,0.1,105000.0,1500.0,1758.82308902,17492.0666667,112.221956247
23,0.1,140000.0,2000.0,1762.1814853,18738.8444444,120.140734943
24,0.2,3500.0,50.0,1573.56774838,6902.5,37.6940338833
25,0.2,7000.0,100.0,1567.60963665,8284.75,47.9491327349
26,0.2,14000.0,200.0,1646.96290516,10265.0055556,61.2260458661
27,0.2,21000.0,300.0,1664.31521615,11442.4111111,68.6912167613
28,0.2,28000.0,400.0,1702.13112039,12377.7444444,75.8828583457
29,0.2,35000.0,500.0,1711.55064333,13265.2277778,82.495736687
30,0.2,42000.0,600.0,1715.53809382,13872.1722222,86.9764124744
31,0.2,52500.0,750.0,1715.82718415,14702.3111111,92.720868885
32,0.2,70000.0,1000.0,1747.9459964,15920.0222222,100.972238787
