,eccentricity,area,N,E_of_pi,S,d
0,0.0,3500.0,50.0,1645.07376352,8577.525,47.3468134089
1,0.0,7000.0,100.0,1649.05082996,11248.21875,64.96781227
2,0.0,14000.0,200.0,1668.18466067,14040.33125,82.4697552981
3,0.0,21000.0,300.0,1681.69737003,15737.29375,93.7057227813
4,0.0,28000.0,400.0,1691.08854581,17120.775,103.788911791
5,0.0,35000.0,500.0,1698.27139492,18074.775,110.317292446
6,0.0,42000.0,600.0,1704.75900821,18971.85625,117.109342008
7,0.0,52500.0,750.0,1713.3028994,20185.5125,125.086419317
8,0.0,70000.0,1000.0,1724.35753382,22017.49375,137.455670695
9,0.0,87500.0,1250.0,1736.8936461,23411.25,146.184642544
10,0.0,105000.0,1500.0,1745.83988523,24757.65,155.174853025
11,0.0,140000.0,2000.0,1759.36942104,26580.01875,168.831141665
12,0.1,3500.0,50.0,1647.28084513,8572.25625,47.1014665805
13,0.1,7000.0,100.0,1649.22805545,11266.05,64.9422052672
14,0.1,14000.0,200.0,1667.9026747,14018.83125,82.3049469257
15,0.1,21000.0,300.0,1681.45449585,15716.6125,93.7737620273
16,0.1,28000.0,400.0,1691.15201524,17117.93125,103.458888821
17,0.1,35000.0,500.0,1698.3618231,18074.29375,110.405059016
18,0.1,42000.0,600.0,1704.51144605,18974.78125,117.005403754
19,0.1,52500.0,750.0,1713.1528527,20177.70625,125.02762934
20,0.1,70000.0,1000.0,1724.50128122,22015.7125,137.120650294
21,0.1,87500.0,1250.0,1736.82435239,23444.975,146.593324434
22,0.1,105000.0,1500.0,1745.67513159,24749.575,155.059953115
23,0.1,140000.0,2000.0,1759.45465039,26570.625,168.613069538
24,0.2,3500.0,50.0,1648.59289451,8584.8375,47.1135381018
25,0.2,7000.0,100.0,1649.54030955,11232.24375,64.8117173681
26,0.2,14000.0,200.0,1668.18684228,14050.0375,82.0098535066
27,0.2,21000.0,300.0,1681.69621862,15752.9,93.6779220679
28,0.2,28000.0,400.0,1691.76401727,17083.23125,102.96032649
29,0.2,35000.0,500.0,1697.8887096,18060.8,110.030955276
30,0.2,42000.0,600.0,1704.28768676,18908.725,116.67400824
31,0.2,52500.0,750.0,1712.35253942,20150.6125,125.151830054
32,0.2,70000.0,1000.0,1724.47137281,22001.70625,136.831271157
33,0.2,87500.0,1250.0,1736.32225382,23398.66875,146.287402994
34,0.2,105000.0,1500.0,1745.37060624,24713.875,154.458705801
35,0.2,140000.0,2000.0,1759.35007243,26565.38125,168.504726174
36,0.3,3500.0,50.0,1648.65463036,8558.53125,46.7533688326
37,0.3,7000.0,100.0,1648.37576009,11174.51875,63.7141721038
38,0.3,14000.0,200.0,1668.47596161,14008.99375,82.1965585806
39,0.3,21000.0,300.0,1681.92925073,15707.26875,93.6584934207
40,0.3,28000.0,400.0,1691.9637319,17086.25625,102.914488611
41,0.3,35000.0,500.0,1697.7032426,18037.69375,109.999815214
42,0.3,42000.0,600.0,1704.12946042,18841.71875,116.290245323
43,0.3,52500.0,750.0,1711.90427928,20145.7125,124.904559665
44,0.3,70000.0,1000.0,1724.74249633,21956.86875,137.159161479
45,0.3,87500.0,1250.0,1736.61528204,23449.95625,146.360223218
46,0.3,105000.0,1500.0,1745.75257101,24663.6875,154.787200645
47,0.3,140000.0,2000.0,1759.5654559,26572.7,168.35218244
48,0.4,3500.0,50.0,1647.07349146,8532.8875,46.4686568332
49,0.4,7000.0,100.0,1647.77956376,11189.66875,63.8459169672
50,0.4,14000.0,200.0,1669.06883666,13991.275,81.7951460246
51,0.4,21000.0,300.0,1680.35283906,15622.0875,92.9605223865
52,0.4,28000.0,400.0,1691.60121009,17008.20625,102.230961674
53,0.4,35000.0,500.0,1697.27237514,17966.44375,109.85893266
54,0.4,42000.0,600.0,1703.36504005,18776.55,115.681652332
55,0.4,52500.0,750.0,1710.54453917,20109.30625,124.736943253
56,0.4,70000.0,1000.0,1724.62234612,21948.5125,136.217578007
57,0.4,87500.0,1250.0,1735.39734987,23426.48125,146.710950671
58,0.4,105000.0,1500.0,1745.85003008,24655.175,154.698866522
59,0.4,140000.0,2000.0,1760.17596864,26643.48125,168.432081419
60,0.5,3500.0,50.0,1649.69022916,8457.56875,45.3837607525
61,0.5,7000.0,100.0,1648.17694186,11231.58125,64.4579288593
62,0.5,14000.0,200.0,1669.84268089,13997.60625,81.5795304378
63,0.5,21000.0,300.0,1680.1283483,15596.16875,91.9990042008
64,0.5,28000.0,400.0,1690.07956148,16857.74375,101.058633202
65,0.5,35000.0,500.0,1697.43559403,17942.59375,110.083554598
66,0.5,42000.0,600.0,1702.98384279,18845.65,115.944977477
67,0.5,52500.0,750.0,1709.29794592,20038.4,124.033707237
68,0.5,70000.0,1000.0,1725.37457378,21931.56875,136.601013816
69,0.5,87500.0,1250.0,1735.68448315,23516.09375,146.339888008
70,0.5,105000.0,1500.0,1744.71681751,24621.84375,154.746719302
71,0.5,140000.0,2000.0,1759.35694838,26629.5,168.906700429
72,0.6,3500.0,50.0,1653.34661223,8514.2,45.9990378363
73,0.6,7000.0,100.0,1648.35449884,11182.59375,64.0719714376
74,0.6,14000.0,200.0,1670.24320957,13937.93125,81.2296501039
75,0.6,21000.0,300.0,1677.34474553,15483.01875,91.5754501672
76,0.6,28000.0,400.0,1689.17565874,16753.3125,100.426483164
77,0.6,35000.0,500.0,1696.94124094,17941.5125,109.914937833
78,0.6,42000.0,600.0,1700.43668384,18712.6,115.685656821
79,0.6,52500.0,750.0,1708.92606406,20087.1,123.995119438
80,0.6,70000.0,1000.0,1725.59953999,21932.6875,136.20005652
81,0.6,87500.0,1250.0,1735.04060471,23485.99375,146.379222129
82,0.6,105000.0,1500.0,1743.85685695,24574.175,153.631622414
83,0.6,140000.0,2000.0,1759.20083315,26597.30625,169.133983106
84,0.7,3500.0,50.0,1649.60145574,8420.74375,44.959999785
85,0.7,7000.0,100.0,1650.72792313,10876.96875,62.1546925156
86,0.7,14000.0,200.0,1665.13961908,13651.70625,79.6615799883
87,0.7,21000.0,300.0,1676.61169809,15332.375,90.6796942583
88,0.7,28000.0,400.0,1685.3942529,16685.825,100.416939183
89,0.7,35000.0,500.0,1693.68901384,17780.025,108.538035362
90,0.7,42000.0,600.0,1700.63940362,18818.33125,115.641657797
91,0.7,52500.0,750.0,1709.1813251,20116.475,123.839627874
92,0.7,70000.0,1000.0,1725.07491428,22015.81875,136.68111889
93,0.7,87500.0,1250.0,1734.30324791,23335.425,146.104289313
94,0.7,105000.0,1500.0,1742.74382291,24492.55,153.395652723
95,0.7,140000.0,2000.0,1757.60925294,26465.43125,168.498257617
96,0.8,3500.0,50.0,1653.08854847,8073.80625,43.1832788319
97,0.8,7000.0,100.0,1646.28097541,10337.7875,58.962008978
98,0.8,14000.0,200.0,1659.29044143,13161.15625,77.5654596055
99,0.8,21000.0,300.0,1674.24167982,15135.1,89.928888582
100,0.8,28000.0,400.0,1683.49258987,16770.725,101.061383526
101,0.8,35000.0,500.0,1692.17321035,17719.5,108.405665044
102,0.8,42000.0,600.0,1699.55174858,18812.11875,115.542574699
103,0.8,52500.0,750.0,1709.78125863,20127.0625,124.515804528
104,0.8,70000.0,1000.0,1721.83640097,21818.55625,135.455606603
105,0.8,87500.0,1250.0,1734.71010177,23203.975,144.396526227
106,0.8,105000.0,1500.0,1743.3213378,24352.65625,153.584440127
107,0.8,140000.0,2000.0,1754.40837186,26235.75625,166.590739213
108,0.9,3500.0,50.0,1632.36292324,7976.3125,42.654507797
109,0.9,7000.0,100.0,1656.83437369,10556.25,59.9328966544
110,0.9,14000.0,200.0,1652.13423696,12989.95,76.6534177211
111,0.9,21000.0,300.0,1668.34598852,14974.4375,89.3848313581
112,0.9,28000.0,400.0,1681.82204414,16323.325,98.9971199054
113,0.9,35000.0,500.0,1689.9550606,17612.75,107.62174033
114,0.9,42000.0,600.0,1697.42642656,18620.50625,114.441710532
115,0.9,52500.0,750.0,1708.97129747,19830.25625,123.314756432
116,0.9,70000.0,1000.0,1718.97594306,21519.625,133.354182011
117,0.9,87500.0,1250.0,1728.19848214,22893.20625,143.156760669
