,eccentricity,area,N,E_of_pi,S,d
0,0.0,3500.0,50.0,1846.66071438,8911.03888889,51.1877185842
1,0.0,7000.0,100.0,1865.87858319,11093.4277778,66.4527316572
2,0.0,14000.0,200.0,1888.10365631,13402.7888889,82.8167081565
3,0.0,21000.0,300.0,1903.91466863,15110.5555556,94.0421200721
4,0.0,28000.0,400.0,1919.35820762,16321.0944444,102.611071917
5,0.0,35000.0,500.0,1930.50135118,17429.3166667,110.6016383
6,0.0,42000.0,600.0,1944.74947574,18339.5388889,116.814106658
7,0.0,52500.0,750.0,1959.87519748,19569.5444444,126.609051732
8,0.0,70000.0,1000.0,1980.04379305,21447.9388889,139.738408548
9,0.0,87500.0,1250.0,1990.4703564,22775.6611111,150.157746773
10,0.0,105000.0,1500.0,1993.38137723,23753.05,157.129671632
11,0.0,140000.0,2000.0,2007.44202116,25796.2055556,170.530105064
12,0.1,3500.0,50.0,1844.38592893,8907.22777778,51.3052028491
13,0.1,7000.0,100.0,1866.05839824,11095.6333333,66.7251744474
14,0.1,14000.0,200.0,1886.99649554,13389.3388889,82.7488588221
15,0.1,21000.0,300.0,1902.26292408,15099.8166667,94.3612548501
16,0.1,28000.0,400.0,1917.54640345,16310.8944444,102.90899217
17,0.1,35000.0,500.0,1930.73064869,17391.6333333,110.046595491
18,0.1,42000.0,600.0,1945.22617856,18343.9333333,116.874243558
19,0.1,52500.0,750.0,1958.93401227,19555.4888889,126.252628146
20,0.1,70000.0,1000.0,1979.45584626,21464.1333333,140.158561521
21,0.1,87500.0,1250.0,1989.84471093,22757.1777778,150.077494392
22,0.1,105000.0,1500.0,1993.6961293,23762.2722222,157.131665922
23,0.1,140000.0,2000.0,2007.67662103,25784.65,170.595729849
24,0.2,3500.0,50.0,1846.06003473,8896.78888889,51.3043508455
25,0.2,7000.0,100.0,1866.96139635,11164.6333333,67.1096246584
26,0.2,14000.0,200.0,1886.40562538,13393.0444444,82.886348543
27,0.2,21000.0,300.0,1903.1761807,15055.9611111,94.073358673
28,0.2,28000.0,400.0,1917.88347462,16265.0111111,102.712303318
29,0.2,35000.0,500.0,1930.08550714,17349.1833333,109.493020102
30,0.2,42000.0,600.0,1945.4286624,18279.8277778,116.642783672
31,0.2,52500.0,750.0,1959.37378189,19556.8555556,126.380033316
32,0.2,70000.0,1000.0,1980.45906484,21439.5555556,139.868737514
33,0.2,87500.0,1250.0,1990.56831593,22753.6388889,149.716476413
34,0.2,105000.0,1500.0,1992.65676832,23775.3222222,157.606444271
35,0.2,140000.0,2000.0,2009.96018898,25798.5388889,170.383252834
36,0.3,3500.0,50.0,1845.89112944,8912.57777778,51.1903883632
37,0.3,7000.0,100.0,1867.97143005,11178.4333333,66.9554949748
38,0.3,14000.0,200.0,1888.96001178,13442.3333333,83.0987176034
39,0.3,21000.0,300.0,1902.77999149,15017.4277778,93.6823277221
40,0.3,28000.0,400.0,1916.46305541,16226.0222222,102.362280943
41,0.3,35000.0,500.0,1929.53791113,17338.5166667,109.756177431
42,0.3,42000.0,600.0,1944.53087441,18272.9388889,116.447779801
43,0.3,52500.0,750.0,1958.0243555,19483.1,126.131367933
44,0.3,70000.0,1000.0,1981.29106088,21371.7833333,139.217023531
45,0.3,87500.0,1250.0,1990.22486187,22775.0166667,150.180018522
46,0.3,105000.0,1500.0,1992.54478227,23779.3277778,157.59497013
47,0.3,140000.0,2000.0,2010.07087302,25779.4777778,170.868373322
48,0.4,3500.0,50.0,1843.58525626,8908.52777778,51.1634610033
49,0.4,7000.0,100.0,1866.82966504,11075.3,66.2134730754
50,0.4,14000.0,200.0,1889.98757168,13394.3833333,82.7334914189
51,0.4,21000.0,300.0,1906.54911601,15057.1388889,94.106203049
52,0.4,28000.0,400.0,1919.49183891,16167.5166667,101.946887472
53,0.4,35000.0,500.0,1932.68391818,17239.2888889,109.254878871
54,0.4,42000.0,600.0,1946.04513603,18230.4166667,116.019385447
55,0.4,52500.0,750.0,1958.37703941,19439.2,125.405855924
56,0.4,70000.0,1000.0,1975.98105392,21320.7444444,139.413404045
57,0.4,87500.0,1250.0,1991.23428459,22764.9555556,150.089208734
58,0.4,105000.0,1500.0,1992.10878196,23789.2944444,157.715292379
59,0.4,140000.0,2000.0,2007.51279411,25744.4888889,170.520390506
60,0.5,3500.0,50.0,1844.73501222,8854.20555556,50.0323115597
61,0.5,7000.0,100.0,1853.77144642,10805.6,64.4395493042
62,0.5,14000.0,200.0,1890.22994722,13237.7611111,81.9396952245
63,0.5,21000.0,300.0,1906.99908913,14863.4111111,93.1516665229
64,0.5,28000.0,400.0,1918.82677171,16140.1777778,101.781659626
65,0.5,35000.0,500.0,1934.17509579,17160.6222222,108.849895278
66,0.5,42000.0,600.0,1948.31671352,18194.3111111,116.464069004
