,eccentricity,area,N,E_of_pi,S,d
0,0.0,3500.0,50.0,1747.1655887,6128.0,52.289444739
1,0.0,7000.0,100.0,1713.06498783,6064.6,50.1325226096
2,0.0,14000.0,200.0,1803.16487097,8978.8,71.7056533899
3,0.0,21000.0,300.0,1708.1752751,8714.15,69.6632591911
4,0.0,28000.0,400.0,1777.07638049,9898.44444444,84.1809122124
5,0.0,35000.0,500.0,1793.14696535,11072.1764706,93.716680357
6,0.0,42000.0,600.0,1748.4745377,11638.1176471,97.2855278523
7,0.0,52500.0,750.0,1768.86068742,11423.7222222,96.0541730583
8,0.0,70000.0,1000.0,1808.82610865,12632.5294118,107.157676538
9,0.0,87500.0,1250.0,1875.25508532,14690.7333333,126.159508882
10,0.0,105000.0,1500.0,1944.17083395,16308.4615385,140.807576178
11,0.0,140000.0,2000.0,1981.28940951,17473.5555556,151.943463717
12,0.1,3500.0,50.0,1917.48378625,5821.28571429,40.3368433613
13,0.1,7000.0,100.0,1797.56950216,6992.77777778,51.1499344401
14,0.1,14000.0,200.0,1648.07017154,6460.3125,53.4167229607
15,0.1,21000.0,300.0,1689.45289336,7726.85,67.226336966
16,0.1,28000.0,400.0,1724.73571687,8828.4,75.6978173373
17,0.1,35000.0,500.0,1720.63644109,9949.6,85.8931836325
18,0.1,42000.0,600.0,1750.22153293,10819.4,93.3935340389
19,0.1,52500.0,750.0,1834.56917132,13418.75,115.214901149
20,0.1,70000.0,1000.0,1917.88770244,14751.85,129.953437835
21,0.1,87500.0,1250.0,1961.07957286,15809.0526316,140.295803638
22,0.1,105000.0,1500.0,2006.18930764,16301.3157895,143.145125811
23,0.1,140000.0,2000.0,1983.64998902,17460.4666667,152.263289653
24,0.2,3500.0,50.0,1780.11237587,4633.6,35.8999173205
25,0.2,7000.0,100.0,1636.50488032,5917.6,44.7279762473
26,0.2,14000.0,200.0,1656.49120752,6607.2,54.337188151
27,0.2,21000.0,300.0,1691.36896967,7926.7,66.3545125355
28,0.2,28000.0,400.0,1748.88744785,9206.0,75.8672063983
29,0.2,35000.0,500.0,1784.3463704,10271.6,86.1957832635
30,0.2,42000.0,600.0,1831.17571279,11238.4,94.2457926387
