,eccentricity,area,N,E_of_pi,S,d
0,0.0,3500.0,50.0,2044.38905591,5195.41666667,36.1975461602
1,0.0,7000.0,100.0,2086.70359193,6273.46666667,48.8219967404
2,0.0,14000.0,200.0,2124.70431004,7499.36666667,61.4011301628
3,0.0,21000.0,300.0,2148.97519817,8412.02777778,71.4294833186
4,0.0,28000.0,400.0,2172.158186,8996.28333333,77.1474003103
5,0.0,35000.0,500.0,2208.79453426,9518.03888889,83.4996464233
6,0.0,42000.0,600.0,2223.62816493,9964.96666667,87.9318527161
7,0.0,52500.0,750.0,2258.16585209,10561.7111111,94.7928975071
8,0.0,70000.0,1000.0,2271.31922285,11375.45,102.840640381
9,0.0,87500.0,1250.0,2328.37809395,12072.8222222,110.399505805
10,0.0,105000.0,1500.0,2348.74254231,12676.9666667,115.688134196
11,0.0,140000.0,2000.0,2399.49182152,13468.6277778,122.525819427
12,0.1,3500.0,50.0,2041.94294321,5186.62222222,36.2049701408
13,0.1,7000.0,100.0,2088.19456179,6282.32777778,49.0106216311
14,0.1,14000.0,200.0,2126.98118007,7521.15555556,61.526164197
15,0.1,21000.0,300.0,2148.39339596,8410.05,71.2564029719
16,0.1,28000.0,400.0,2172.09162854,8995.14444444,77.3352164551
17,0.1,35000.0,500.0,2209.57185073,9526.36666667,83.6190511235
18,0.1,42000.0,600.0,2224.59967538,9961.38888889,87.9206544314
19,0.1,52500.0,750.0,2260.12161095,10575.2944444,94.8390225006
20,0.1,70000.0,1000.0,2271.68168912,11374.3444444,102.863167838
21,0.1,87500.0,1250.0,2327.77095285,12067.7111111,110.181148908
22,0.1,105000.0,1500.0,2349.48970347,12668.2555556,115.689273822
23,0.1,140000.0,2000.0,2399.32096712,13458.2722222,122.392235902
24,0.2,3500.0,50.0,2056.61969756,5208.93333333,36.448288962
25,0.2,7000.0,100.0,2083.88405336,6287.11111111,49.2014558435
26,0.2,14000.0,200.0,2123.17085157,7561.52222222,62.2059235906
27,0.2,21000.0,300.0,2148.4109217,8433.52777778,71.4085570192
28,0.2,28000.0,400.0,2173.79875198,8982.61666667,76.9967394304
29,0.2,35000.0,500.0,2210.99682271,9518.15,83.4280386384
30,0.2,42000.0,600.0,2227.64444612,9950.76111111,87.7041419408
31,0.2,52500.0,750.0,2257.70257921,10573.8,94.8243857921
32,0.2,70000.0,1000.0,2269.92399268,11348.4666667,102.37099966
33,0.2,87500.0,1250.0,2329.13478487,12077.0,110.317959252
34,0.2,105000.0,1500.0,2349.33952203,12614.7277778,115.310077209
35,0.2,140000.0,2000.0,2402.51217264,13490.3888889,122.846976598
36,0.3,3500.0,50.0,2056.29840285,5212.45,36.5322663462
37,0.3,7000.0,100.0,2075.45318118,6266.90555556,48.8247690959
38,0.3,14000.0,200.0,2122.71085945,7539.80555556,62.0280043639
39,0.3,21000.0,300.0,2173.47972717,8410.19444444,71.2211567584
40,0.3,28000.0,400.0,2154.75035871,8952.53333333,76.8355708643
41,0.3,35000.0,500.0,2219.433972,9499.11666667,83.3268869636
42,0.3,42000.0,600.0,2224.62359771,9917.42222222,87.4774525897
43,0.3,52500.0,750.0,2257.80566349,10533.7555556,94.7077059903
44,0.3,70000.0,1000.0,2291.46298428,11368.0166667,102.49296639
45,0.3,87500.0,1250.0,2326.88173686,12046.8722222,109.805967005
46,0.3,105000.0,1500.0,2347.39339722,12594.9555556,115.093081173
47,0.3,140000.0,2000.0,2403.29142033,13475.8333333,123.008838887
48,0.4,3500.0,50.0,2047.1686614,5249.61111111,37.1817645294
49,0.4,7000.0,100.0,2069.65270874,6351.65555556,50.1888824999
50,0.4,14000.0,200.0,2151.22194346,7550.91111111,61.8039989246
51,0.4,21000.0,300.0,2171.70650977,8404.31111111,70.8927077644
52,0.4,28000.0,400.0,2154.41400018,8961.18333333,77.0970991124
53,0.4,35000.0,500.0,2221.26960225,9559.27777778,83.5447961547
54,0.4,42000.0,600.0,2219.08512335,9910.64444444,88.1601113235
55,0.4,52500.0,750.0,2258.53091223,10580.1666667,94.8259032475
56,0.4,70000.0,1000.0,2275.36282658,11368.2277778,102.527683357
57,0.4,87500.0,1250.0,2321.05336618,12026.4666667,109.208148798
58,0.4,105000.0,1500.0,2348.91886026,12592.9222222,115.129336069
59,0.4,140000.0,2000.0,2400.41493126,13470.5666667,122.619546603
60,0.5,3500.0,50.0,2073.75018817,5287.58333333,37.0353312884
61,0.5,7000.0,100.0,2096.23903782,6370.1,49.9549588558
62,0.5,14000.0,200.0,2161.26992823,7604.71666667,62.2621960333
63,0.5,21000.0,300.0,2183.91828501,8402.63333333,70.6426229714
64,0.5,28000.0,400.0,2198.33588652,9026.53888889,77.5573337937
65,0.5,35000.0,500.0,2220.40841392,9538.63888889,83.1305139817
66,0.5,42000.0,600.0,2249.50220671,9916.46666667,87.9886022871
67,0.5,52500.0,750.0,2260.39669878,10600.5333333,94.9994449553
68,0.5,70000.0,1000.0,2278.96925202,11361.6666667,102.380324855
69,0.5,87500.0,1250.0,2288.96121446,11990.1388889,108.796050525
70,0.5,105000.0,1500.0,2349.72916831,12598.7444444,114.860094029
