,eccentricity,area,N,E_of_pi,S,d
0,0.0,3500.0,50.0,1655.00115302,8809.71071429,48.7384734097
1,0.0,7000.0,100.0,1662.35257308,11450.5892857,66.5996811085
2,0.0,14000.0,200.0,1681.87483081,14215.0892857,85.3870971329
3,0.0,21000.0,300.0,1694.46796164,16283.3857143,99.0078216768
4,0.0,28000.0,400.0,1703.13952604,17680.5964286,108.259495213
5,0.0,35000.0,500.0,1714.28506892,18977.0071429,116.505029574
6,0.0,42000.0,600.0,1722.84340932,19931.5964286,123.097402726
7,0.0,52500.0,750.0,1732.99963812,21404.9,132.947342153
8,0.0,70000.0,1000.0,1745.82891728,23308.9535714,145.749803799
9,0.0,87500.0,1250.0,1756.23250804,24748.525,155.144902701
10,0.0,105000.0,1500.0,1764.14081205,25911.7428571,162.976300461
11,0.0,140000.0,2000.0,1774.61927585,27836.4392857,175.495396868
12,0.1,3500.0,50.0,1654.54413547,8818.46071429,48.7352437788
13,0.1,7000.0,100.0,1662.29706106,11418.7821429,66.7041191013
14,0.1,14000.0,200.0,1682.41165263,14231.7678571,85.4548928414
15,0.1,21000.0,300.0,1694.86561126,16292.2178571,99.044929433
16,0.1,28000.0,400.0,1703.0361177,17675.0035714,108.531622106
17,0.1,35000.0,500.0,1714.60179024,18975.3357143,116.677709522
18,0.1,42000.0,600.0,1722.96370984,19959.4285714,123.28608223
19,0.1,52500.0,750.0,1733.1165511,21416.1928571,133.341685577
20,0.1,70000.0,1000.0,1745.90096044,23312.4714286,145.778911877
21,0.1,87500.0,1250.0,1756.23061521,24729.4714286,155.259774647
22,0.1,105000.0,1500.0,1764.17930405,25926.925,162.969800655
23,0.1,140000.0,2000.0,1774.81708873,27870.9,176.416718456
24,0.2,3500.0,50.0,1654.24407142,8815.60357143,48.8614374891
25,0.2,7000.0,100.0,1662.50658963,11404.3214286,66.8691603599
26,0.2,14000.0,200.0,1682.51458558,14280.6892857,85.5849119891
27,0.2,21000.0,300.0,1694.57330321,16323.575,99.241207738
28,0.2,28000.0,400.0,1703.95340893,17713.85,108.800901964
29,0.2,35000.0,500.0,1714.79579996,18990.9178571,117.206647706
30,0.2,42000.0,600.0,1722.82720682,19986.4178571,123.459765472
31,0.2,52500.0,750.0,1733.25143945,21435.8071429,133.252462741
32,0.2,70000.0,1000.0,1746.21073862,23373.55,146.162650565
33,0.2,87500.0,1250.0,1756.56790975,24760.2928571,155.425889978
34,0.2,105000.0,1500.0,1763.81587343,25915.6178571,163.352156021
35,0.2,140000.0,2000.0,1774.8880345,27881.8035714,175.716761272
36,0.3,3500.0,50.0,1654.99163422,8870.47857143,49.3790852229
37,0.3,7000.0,100.0,1663.80884108,11455.0928571,67.1902392788
38,0.3,14000.0,200.0,1682.78772317,14328.6214286,85.9356680906
39,0.3,21000.0,300.0,1695.51849663,16359.2964286,99.5374626647
40,0.3,28000.0,400.0,1704.0211324,17743.1107143,108.863029649
41,0.3,35000.0,500.0,1715.15843878,19008.0535714,117.16570418
42,0.3,42000.0,600.0,1722.75061828,20048.7285714,123.889794715
43,0.3,52500.0,750.0,1733.48500479,21464.0607143,133.310258468
44,0.3,70000.0,1000.0,1746.03268499,23383.0642857,145.906476539
45,0.3,87500.0,1250.0,1756.62333431,24772.725,155.369966595
46,0.3,105000.0,1500.0,1763.74056214,25932.5464286,163.792823402
47,0.3,140000.0,2000.0,1775.21370375,27926.3142857,176.045273747
48,0.4,3500.0,50.0,1655.58511633,8919.49285714,49.5404030488
49,0.4,7000.0,100.0,1663.2392477,11463.0214286,67.1362751362
50,0.4,14000.0,200.0,1684.52690751,14377.3464286,86.1669726082
51,0.4,21000.0,300.0,1695.11292367,16364.075,99.4065118476
52,0.4,28000.0,400.0,1704.92456526,17778.9464286,108.983437412
53,0.4,35000.0,500.0,1714.81013188,19050.3571429,117.508466517
54,0.4,42000.0,600.0,1724.05127713,20162.675,124.789944558
55,0.4,52500.0,750.0,1734.12851942,21523.825,133.660533439
56,0.4,70000.0,1000.0,1746.43395831,23428.8035714,146.411199039
57,0.4,87500.0,1250.0,1756.38351843,24795.8428571,155.778870964
58,0.4,105000.0,1500.0,1763.66247143,25983.8392857,163.230437937
59,0.4,140000.0,2000.0,1775.72676327,27980.0285714,176.274624541
60,0.5,3500.0,50.0,1657.49757259,8970.47142857,49.9512616119
61,0.5,7000.0,100.0,1664.15440558,11468.7857143,67.4759792756
62,0.5,14000.0,200.0,1685.71363755,14522.8357143,87.1123296331
63,0.5,21000.0,300.0,1695.94058706,16473.6357143,100.381687709
64,0.5,28000.0,400.0,1705.42498039,17886.0285714,110.135947785
65,0.5,35000.0,500.0,1714.29453762,19112.9571429,117.794408557
66,0.5,42000.0,600.0,1724.1728223,20213.7071429,125.382813908
67,0.5,52500.0,750.0,1735.20586786,21667.925,135.008449805
68,0.5,70000.0,1000.0,1746.28759357,23485.7392857,147.202410007
69,0.5,87500.0,1250.0,1757.14438923,24898.0142857,155.985405731
70,0.5,105000.0,1500.0,1764.05952344,26074.4214286,163.481577761
71,0.5,140000.0,2000.0,1775.76717715,28050.7571429,176.429609892
72,0.6,3500.0,50.0,1659.7087575,9019.0,50.2626800825
73,0.6,7000.0,100.0,1663.22765462,11586.0357143,67.7627756452
74,0.6,14000.0,200.0,1686.64245933,14713.25,88.6849290038
75,0.6,21000.0,300.0,1697.1670226,16578.9321429,100.644657205
