,eccentricity,area,N,E_of_pi,S,d
0,0.0,3500.0,50.0,1709.25415916,7507.78214286,40.9832216274
1,0.0,7000.0,100.0,1699.79751797,9559.82142857,55.6791365092
2,0.0,14000.0,200.0,1707.32025145,12775.7535714,76.827523858
3,0.0,21000.0,300.0,1718.16905107,14982.6357143,90.798631701
4,0.0,28000.0,400.0,1724.50774268,15971.65,97.2957973757
5,0.0,35000.0,500.0,1727.86600729,17213.2285714,105.279078665
6,0.0,42000.0,600.0,1732.73708677,18004.5714286,110.422976187
7,0.0,52500.0,750.0,1738.90851968,19326.7607143,118.644093936
8,0.0,70000.0,1000.0,1746.78663723,21171.425,131.933203633
9,0.0,87500.0,1250.0,1755.67515717,22793.45,141.430765755
10,0.0,105000.0,1500.0,1763.76098666,24582.025,153.566061308
11,0.0,140000.0,2000.0,1769.50503998,26308.0321429,165.085453221
12,0.1,3500.0,50.0,1679.82073436,8266.56071429,45.6270664437
13,0.1,7000.0,100.0,1684.28563752,10663.1535714,60.8874548604
14,0.1,14000.0,200.0,1693.31726157,13462.6285714,79.7945130829
15,0.1,21000.0,300.0,1698.42629088,14816.65,88.7603503783
16,0.1,28000.0,400.0,1707.79598546,16585.5892857,100.174555404
17,0.1,35000.0,500.0,1715.44946158,17618.2071429,107.416131779
18,0.1,42000.0,600.0,1724.64558476,19030.2071429,116.283245109
19,0.1,52500.0,750.0,1732.06713268,20120.2785714,124.595897188
20,0.1,70000.0,1000.0,1744.46536271,21712.4357143,134.188095954
21,0.1,87500.0,1250.0,1752.56748096,23098.85,144.115037698
22,0.1,105000.0,1500.0,1761.01045503,24362.6285714,152.331212541
23,0.1,140000.0,2000.0,1773.78985958,26783.8607143,168.555498275
24,0.2,3500.0,50.0,1679.98240712,8421.97142857,46.9120794538
25,0.2,7000.0,100.0,1679.49188891,10504.4464286,60.3736106396
26,0.2,14000.0,200.0,1686.71822475,12892.85,76.6592057445
27,0.2,21000.0,300.0,1701.84724239,15277.9785714,91.6262551704
28,0.2,28000.0,400.0,1710.90006547,16740.6464286,102.252849143
29,0.2,35000.0,500.0,1718.65444648,18003.7357143,110.666816845
30,0.2,42000.0,600.0,1725.3907424,19118.4357143,117.844219171
31,0.2,52500.0,750.0,1737.06042598,20718.8464286,128.18838113
32,0.2,70000.0,1000.0,1751.07113771,22685.6142857,140.984251789
33,0.2,87500.0,1250.0,1759.14039641,24383.0428571,153.344802637
34,0.2,105000.0,1500.0,1766.80879367,25609.9142857,161.048952478
35,0.2,140000.0,2000.0,1778.14512334,27645.8607143,174.29031693
36,0.3,3500.0,50.0,1674.2209936,8605.53214286,48.0758952839
37,0.3,7000.0,100.0,1676.07876752,10803.3178571,62.2720958522
38,0.3,14000.0,200.0,1686.93892803,13487.7285714,80.8414480235
39,0.3,21000.0,300.0,1701.8289659,15572.7642857,93.745618785
40,0.3,28000.0,400.0,1708.45224139,16840.4571429,102.536643469
41,0.3,35000.0,500.0,1716.35659343,18150.1392857,110.654104318
42,0.3,42000.0,600.0,1724.22706698,19332.9571429,118.215936071
43,0.3,52500.0,750.0,1732.78333481,20659.9,127.927422321
44,0.3,70000.0,1000.0,1745.27604622,22473.5857143,140.142532161
45,0.3,87500.0,1250.0,1754.10143424,24057.3821429,150.543276083
46,0.3,105000.0,1500.0,1761.81068683,25465.1607143,159.315428078
47,0.3,140000.0,2000.0,1774.970365,27704.85,173.877003783
48,0.4,3500.0,50.0,1670.20136901,8528.91785714,47.6449709694
49,0.4,7000.0,100.0,1670.461191,10515.1107143,60.7191521391
50,0.4,14000.0,200.0,1685.27765555,13554.0928571,81.1248162223
51,0.4,21000.0,300.0,1697.41569644,15368.8571429,93.7168179098
52,0.4,28000.0,400.0,1705.10166288,16666.5607143,101.771854109
53,0.4,35000.0,500.0,1713.98081966,18231.9571429,112.71035065
54,0.4,42000.0,600.0,1719.955376,19267.6964286,119.210227729
55,0.4,52500.0,750.0,1729.3392459,20530.525,127.324241887
56,0.4,70000.0,1000.0,1745.39056276,22614.875,140.584993735
57,0.4,87500.0,1250.0,1754.65867177,24242.5357143,151.469979224
58,0.4,105000.0,1500.0,1762.35324663,25637.2035714,161.505948941
59,0.4,140000.0,2000.0,1775.71641004,27616.3392857,174.45273798
60,0.5,3500.0,50.0,1669.93042649,8072.44642857,44.9647002401
61,0.5,7000.0,100.0,1673.69348182,10501.6678571,60.8109968752
62,0.5,14000.0,200.0,1681.18020504,12948.6,76.4048434181
63,0.5,21000.0,300.0,1698.79202549,15642.75,94.297653602
64,0.5,28000.0,400.0,1704.57114302,16671.7035714,101.05848482
65,0.5,35000.0,500.0,1714.13077604,18138.6785714,110.223419902
66,0.5,42000.0,600.0,1718.71657411,19123.6785714,116.815029736
67,0.5,52500.0,750.0,1729.27319181,20439.8892857,126.835220677
68,0.5,70000.0,1000.0,1743.43771041,22386.0607143,139.097927832
69,0.5,87500.0,1250.0,1752.51552869,23883.1535714,148.828906747
70,0.5,105000.0,1500.0,1760.66404405,25459.0357143,158.964824809
71,0.5,140000.0,2000.0,1774.58072972,27499.3928571,172.874630642
72,0.6,3500.0,50.0,1665.57801467,7945.85714286,43.9408180464
73,0.6,7000.0,100.0,1670.68155472,10478.8678571,60.4963552956
74,0.6,14000.0,200.0,1682.55917664,13060.4428571,77.7155696259
75,0.6,21000.0,300.0,1691.8312825,14660.2071429,87.952455258
76,0.6,28000.0,400.0,1707.79078501,16805.2285714,102.094107182
77,0.6,35000.0,500.0,1715.99046219,18149.3392857,110.71157962
78,0.6,42000.0,600.0,1721.21038068,19109.0142857,116.294792678
