,eccentricity,area,N,E_of_pi,S,d
0,0.0,3500.0,50.0,1581.56002912,6720.02857143,36.7458492778
1,0.0,7000.0,100.0,1621.51579623,8278.8,46.8426080049
2,0.0,14000.0,200.0,1644.7732795,10254.6035714,60.083180961
3,0.0,21000.0,300.0,1666.91467254,11478.5678571,68.6606075171
4,0.0,28000.0,400.0,1668.6927998,12401.1928571,75.6533347935
5,0.0,35000.0,500.0,1679.96418914,13066.0571429,80.7493321329
6,0.0,42000.0,600.0,1684.77339984,13879.3821429,86.1840086981
7,0.0,52500.0,750.0,1697.07400402,14767.3107143,92.2375093222
8,0.0,70000.0,1000.0,1708.50776848,15975.5392857,100.358079475
9,0.0,87500.0,1250.0,1727.56273069,16883.6892857,106.298981509
10,0.0,105000.0,1500.0,1741.63389107,17660.4607143,111.346976564
11,0.0,140000.0,2000.0,1745.08270509,18809.7607143,118.780057361
12,0.1,3500.0,50.0,1583.44617006,6712.47142857,36.5921207618
13,0.1,7000.0,100.0,1621.82302969,8284.35,46.8149686428
14,0.1,14000.0,200.0,1648.09173288,10257.0321429,60.09552018
15,0.1,21000.0,300.0,1667.44233167,11481.4035714,68.6955266931
16,0.1,28000.0,400.0,1668.82385374,12411.4107143,75.6804114154
17,0.1,35000.0,500.0,1682.66444651,13083.5464286,80.7999292998
18,0.1,42000.0,600.0,1684.73428699,13880.5535714,86.1788362312
19,0.1,52500.0,750.0,1697.05286683,14763.3821429,92.1794211814
20,0.1,70000.0,1000.0,1708.44837655,15974.8142857,100.395070297
21,0.1,87500.0,1250.0,1727.45707983,16874.5928571,106.252322175
22,0.1,105000.0,1500.0,1741.615809,17671.1357143,111.37357529
23,0.1,140000.0,2000.0,1745.08415361,18810.7,118.845948117
24,0.2,3500.0,50.0,1571.29848035,6724.14285714,36.7546670718
25,0.2,7000.0,100.0,1621.72674583,8301.89642857,46.8650694954
26,0.2,14000.0,200.0,1649.30683768,10254.6714286,59.9466701272
27,0.2,21000.0,300.0,1667.15915418,11494.7892857,68.807703561
28,0.2,28000.0,400.0,1669.32834169,12450.4678571,75.8331034355
29,0.2,35000.0,500.0,1682.1741284,13088.1107143,80.8128843645
30,0.2,42000.0,600.0,1684.64668074,13884.5714286,86.0848507592
31,0.2,52500.0,750.0,1697.41624438,14768.3392857,92.3609529835
32,0.2,70000.0,1000.0,1709.92909455,15958.8321429,100.024944765
33,0.2,87500.0,1250.0,1727.34007909,16872.9071429,106.144242615
34,0.2,105000.0,1500.0,1741.54896072,17671.5642857,111.535681063
35,0.2,140000.0,2000.0,1744.89362834,18830.3571429,118.991745967
36,0.3,3500.0,50.0,1575.86893115,6746.55714286,36.6184443335
37,0.3,7000.0,100.0,1630.9646722,8366.88214286,47.2147885997
38,0.3,14000.0,200.0,1640.27962868,10296.2035714,60.3172896381
39,0.3,21000.0,300.0,1667.39928564,11520.1285714,68.8643254664
40,0.3,28000.0,400.0,1669.58447466,12429.1142857,75.8433793596
41,0.3,35000.0,500.0,1681.68586499,13062.2142857,80.6976973725
42,0.3,42000.0,600.0,1685.38130606,13890.275,86.2238971579
43,0.3,52500.0,750.0,1697.03240394,14735.3928571,92.0893810494
44,0.3,70000.0,1000.0,1707.39591269,15944.6142857,100.066957319
45,0.3,87500.0,1250.0,1727.01818001,16854.4857143,106.03908351
46,0.3,105000.0,1500.0,1741.22408969,17640.5178571,111.349421484
47,0.3,140000.0,2000.0,1744.50177492,18795.7321429,118.746986154
48,0.4,3500.0,50.0,1574.87292604,6758.36071429,36.5608401156
49,0.4,7000.0,100.0,1611.44514666,8366.64642857,47.5860661603
50,0.4,14000.0,200.0,1641.58003783,10328.0428571,60.7004647972
51,0.4,21000.0,300.0,1657.58404268,11509.85,68.9148192933
52,0.4,28000.0,400.0,1673.52739313,12462.4214286,75.7754184356
53,0.4,35000.0,500.0,1680.38989641,13093.4392857,80.597001408
54,0.4,42000.0,600.0,1684.81367354,13845.5821429,85.6656371653
55,0.4,52500.0,750.0,1688.27451458,14699.9785714,91.9384297854
56,0.4,70000.0,1000.0,1707.75945378,15918.9071429,99.9727661288
57,0.4,87500.0,1250.0,1718.95662041,16842.2571429,106.050539932
58,0.4,105000.0,1500.0,1741.05723625,17646.3464286,111.208613509
59,0.4,140000.0,2000.0,1744.7025023,18820.9035714,119.133978302
60,0.5,3500.0,50.0,1579.93866839,6741.90357143,36.3400918993
61,0.5,7000.0,100.0,1607.53574058,8431.42857143,47.8452726756
62,0.5,14000.0,200.0,1630.8361021,10313.625,60.8637601437
63,0.5,21000.0,300.0,1651.96138462,11558.0071429,69.0008400628
64,0.5,28000.0,400.0,1675.23988429,12460.8928571,75.400708414
65,0.5,35000.0,500.0,1680.72476375,13183.5714286,80.9490075101
66,0.5,42000.0,600.0,1686.55520891,13795.8107143,85.2158535712
67,0.5,52500.0,750.0,1697.96781195,14689.7714286,91.7773920716
68,0.5,70000.0,1000.0,1708.44904038,15920.1321429,100.120576797
69,0.5,87500.0,1250.0,1718.84295453,16817.6642857,106.002394036
70,0.5,105000.0,1500.0,1740.51993227,17628.2321429,111.041293377
71,0.5,140000.0,2000.0,1744.19108379,18756.5464286,118.927258835
72,0.6,3500.0,50.0,1582.02995615,6744.04642857,36.5014271968
73,0.6,7000.0,100.0,1609.54581969,8511.31428571,48.611630324
74,0.6,14000.0,200.0,1626.6383278,10292.5071429,60.3689855688
75,0.6,21000.0,300.0,1641.72663351,11596.1107143,69.1810487264
76,0.6,28000.0,400.0,1667.82293139,12439.8178571,75.4798100016
77,0.6,35000.0,500.0,1681.91330772,13252.2892857,81.602167576
78,0.6,42000.0,600.0,1694.21624479,13857.4214286,85.4282509825
79,0.6,52500.0,750.0,1695.85594788,14698.6714286,91.8321142658
80,0.6,70000.0,1000.0,1707.66258638,15833.8892857,99.3073753519
81,0.6,87500.0,1250.0,1711.39906423,16831.8607143,105.955239708
82,0.6,105000.0,1500.0,1742.66414397,17570.5464286,110.63237576
83,0.6,140000.0,2000.0,1745.00784826,18728.3321429,118.537783359
84,0.7,3500.0,50.0,1566.04030668,6764.29642857,36.3605675431
85,0.7,7000.0,100.0,1608.75191922,8423.83928571,47.8611227262
86,0.7,14000.0,200.0,1597.18562579,10250.0857143,60.2333780145
87,0.7,21000.0,300.0,1626.62988154,11568.8535714,69.1672832126
88,0.7,28000.0,400.0,1659.77695848,12474.1678571,75.8619534588
89,0.7,35000.0,500.0,1696.18912043,13223.1142857,81.0776440677
90,0.7,42000.0,600.0,1692.77917725,13795.3285714,85.4570589201
91,0.7,52500.0,750.0,1699.04669115,14628.1,91.1906733473
92,0.7,70000.0,1000.0,1701.48971001,15793.7964286,98.8029703224
93,0.7,87500.0,1250.0,1722.71793035,16768.7678571,105.428630903
94,0.7,105000.0,1500.0,1732.26871849,17486.9071429,110.645265484
95,0.7,140000.0,2000.0,1743.21880918,18636.0607143,118.168655201
96,0.8,3500.0,50.0,1581.70531073,6699.95357143,35.5010633743
97,0.8,7000.0,100.0,1602.49332614,8401.57857143,47.5283930729
98,0.8,14000.0,200.0,1601.56873235,10254.8821429,60.3061603727
99,0.8,21000.0,300.0,1624.73020961,11412.1392857,68.7099414978
100,0.8,28000.0,400.0,1651.34810657,12364.1071429,74.919232162
101,0.8,35000.0,500.0,1668.80450681,13125.6678571,80.6711533835
102,0.8,42000.0,600.0,1695.11035603,13738.1214286,85.5059718284
103,0.8,52500.0,750.0,1694.93054432,14580.7142857,90.6373448355
104,0.8,70000.0,1000.0,1703.68966881,15656.5142857,97.6124083918
105,0.8,87500.0,1250.0,1716.48641429,16594.7392857,103.971156279
106,0.8,105000.0,1500.0,1723.95562744,17345.0678571,109.822647997
107,0.8,140000.0,2000.0,1736.13996435,18491.9607143,116.985734793
108,0.9,3500.0,50.0,1528.62263434,6863.91428571,37.8086347742
109,0.9,7000.0,100.0,1555.25111048,8385.73571429,47.502639897
110,0.9,14000.0,200.0,1605.41473662,10106.8107143,59.0946358628
111,0.9,21000.0,300.0,1634.51343337,11227.4214286,67.3589209738
112,0.9,28000.0,400.0,1637.47257885,12055.4321429,73.6657689442
113,0.9,35000.0,500.0,1639.20039812,12828.8821429,78.971720646
114,0.9,42000.0,600.0,1655.37541668,13494.3178571,83.1334210834
115,0.9,52500.0,750.0,1672.22224211,14349.8964286,89.3751993273
116,0.9,70000.0,1000.0,1699.50004963,15456.4892857,97.0106213052
117,0.9,87500.0,1250.0,1706.32310989,16282.5892857,101.970466275
118,0.9,105000.0,1500.0,1708.77612588,16970.0392857,106.748824842
119,0.9,140000.0,2000.0,1726.49365023,18114.3071429,114.591083895
