,eccentricity,area,N,E_of_pi,S,d
0,0.0,3500.0,50.0,1644.01979587,8355.18,45.8614562284
1,0.0,7000.0,100.0,1644.97625768,10904.68,62.5622169349
2,0.0,14000.0,200.0,1659.55340555,13535.8266667,79.8854549717
3,0.0,21000.0,300.0,1674.15912562,15315.9466667,91.2724387905
4,0.0,28000.0,400.0,1684.11088431,16728.4133333,101.839458474
5,0.0,35000.0,500.0,1693.64668383,17779.3266667,108.765802816
6,0.0,42000.0,600.0,1701.38000132,18738.67,115.963612898
7,0.0,52500.0,750.0,1710.70167218,20005.6466667,124.175943232
8,0.0,70000.0,1000.0,1723.0560505,21873.1533333,136.529161165
9,0.0,87500.0,1250.0,1734.1670522,23314.5633333,146.000223153
10,0.0,105000.0,1500.0,1743.58485955,24676.93,154.606094759
11,0.0,140000.0,2000.0,1758.23916994,26636.14,168.232947047
12,0.1,3500.0,50.0,1645.0792969,8353.31333333,45.688031715
13,0.1,7000.0,100.0,1645.2693536,10920.32,62.6136418114
14,0.1,14000.0,200.0,1659.48858747,13522.16,79.7576589514
15,0.1,21000.0,300.0,1673.96398676,15323.31,91.4516561765
16,0.1,28000.0,400.0,1684.16622959,16721.6166667,101.474971147
17,0.1,35000.0,500.0,1693.69954097,17778.3333333,108.958922189
18,0.1,42000.0,600.0,1701.30678842,18743.0733333,115.878392752
19,0.1,52500.0,750.0,1710.56195345,20000.7966667,124.284105259
20,0.1,70000.0,1000.0,1723.15680897,21869.2466667,136.500216535
21,0.1,87500.0,1250.0,1734.19352063,23338.8266667,146.280971244
22,0.1,105000.0,1500.0,1743.59477518,24690.0433333,154.622956663
23,0.1,140000.0,2000.0,1758.32428644,26647.4766667,168.224720014
24,0.2,3500.0,50.0,1645.10301304,8368.29333333,45.6813446882
25,0.2,7000.0,100.0,1645.2550027,10918.4966667,62.5879365321
26,0.2,14000.0,200.0,1660.07584379,13567.99,79.8236247391
27,0.2,21000.0,300.0,1674.46822316,15350.8933333,91.3460644572
28,0.2,28000.0,400.0,1684.87789542,16704.7233333,101.374029913
29,0.2,35000.0,500.0,1693.76763274,17802.8633333,108.925553045
30,0.2,42000.0,600.0,1700.99344594,18711.69,115.642212059
31,0.2,52500.0,750.0,1710.34843256,20018.2666667,124.622345296
32,0.2,70000.0,1000.0,1723.41061631,21875.1266667,136.278510397
33,0.2,87500.0,1250.0,1733.79091141,23324.39,146.117229715
34,0.2,105000.0,1500.0,1743.60881918,24702.3466667,154.628175202
35,0.2,140000.0,2000.0,1758.56220104,26661.0033333,168.513151949
36,0.3,3500.0,50.0,1645.07961098,8344.57666667,45.3926702657
37,0.3,7000.0,100.0,1645.27182866,10916.0133333,62.2052830351
38,0.3,14000.0,200.0,1661.29053003,13585.9733333,80.1447982177
39,0.3,21000.0,300.0,1674.52192078,15335.11,91.7427131083
40,0.3,28000.0,400.0,1685.64649444,16714.49,101.188032734
41,0.3,35000.0,500.0,1693.81980665,17774.82,108.96923169
42,0.3,42000.0,600.0,1701.30296481,18708.9533333,115.656444092
43,0.3,52500.0,750.0,1710.51652934,20038.5066667,124.41759752
44,0.3,70000.0,1000.0,1724.17661192,21910.1133333,136.820129017
45,0.3,87500.0,1250.0,1734.30007325,23374.9766667,146.01619339
46,0.3,105000.0,1500.0,1743.82099943,24711.6466667,155.021371123
47,0.3,140000.0,2000.0,1758.80486299,26692.17,168.450140139
48,0.4,3500.0,50.0,1644.42772421,8380.03,45.4207599599
49,0.4,7000.0,100.0,1643.31938261,10926.7666667,62.392803299
50,0.4,14000.0,200.0,1662.18224019,13582.6133333,79.7113756239
51,0.4,21000.0,300.0,1674.25250804,15327.3533333,91.5784408776
52,0.4,28000.0,400.0,1686.84412493,16722.2033333,101.145119538
53,0.4,35000.0,500.0,1693.65750125,17762.54,108.712246596
54,0.4,42000.0,600.0,1700.93381908,18703.8566667,115.506208386
55,0.4,52500.0,750.0,1710.59103746,20066.3233333,124.681248507
56,0.4,70000.0,1000.0,1724.41985505,21959.8066667,136.47204887
57,0.4,87500.0,1250.0,1734.29280659,23459.97,146.956049684
58,0.4,105000.0,1500.0,1744.17764197,24748.5466667,155.430273605
59,0.4,140000.0,2000.0,1759.53391208,26782.8666667,169.040160727
60,0.5,3500.0,50.0,1647.46878865,8383.47,45.0091898492
61,0.5,7000.0,100.0,1644.70487464,10969.44,62.8193075279
62,0.5,14000.0,200.0,1664.10983909,13585.2533333,79.7606843556
63,0.5,21000.0,300.0,1675.09832206,15378.9033333,91.3211797695
64,0.5,28000.0,400.0,1686.93625438,16682.62,100.649301535
65,0.5,35000.0,500.0,1695.12738598,17820.9333333,109.341758569
66,0.5,42000.0,600.0,1701.89619392,18833.51,116.216666951
67,0.5,52500.0,750.0,1710.69484877,20079.65,124.492855895
68,0.5,70000.0,1000.0,1725.6724069,22067.34,137.674059013
69,0.5,87500.0,1250.0,1735.73151158,23602.9333333,147.190097579
70,0.5,105000.0,1500.0,1744.6368021,24794.5233333,155.933938046
71,0.5,140000.0,2000.0,1759.03759845,26833.9166667,169.625646797
72,0.6,3500.0,50.0,1650.41322002,8484.60666667,45.8729943448
73,0.6,7000.0,100.0,1645.23534147,10976.7133333,62.7580150537
74,0.6,14000.0,200.0,1665.19166363,13653.1533333,80.307903085
75,0.6,21000.0,300.0,1675.32196109,15409.72,91.7765651947
76,0.6,28000.0,400.0,1687.85232526,16701.01,100.739800519
77,0.6,35000.0,500.0,1695.73735038,17903.4866667,109.618577702
78,0.6,42000.0,600.0,1701.50155129,18856.5066667,116.335073715
79,0.6,52500.0,750.0,1710.83872646,20241.7733333,125.313852572
80,0.6,70000.0,1000.0,1726.32455449,22136.61,137.727028683
81,0.6,87500.0,1250.0,1736.74077436,23722.37,148.141432292
82,0.6,105000.0,1500.0,1744.90109467,24843.4,155.611093456
83,0.6,140000.0,2000.0,1759.56941501,26940.6833333,170.751008361
84,0.7,3500.0,50.0,1647.96331961,8458.65,45.6287805918
85,0.7,7000.0,100.0,1647.70440525,10931.1666667,62.2492535539
86,0.7,14000.0,200.0,1663.29115658,13564.52,79.652583678
87,0.7,21000.0,300.0,1677.32967451,15481.17,92.183384512
88,0.7,28000.0,400.0,1687.98771876,16798.49,101.385576528
89,0.7,35000.0,500.0,1696.08042546,18008.6033333,110.202213052
90,0.7,42000.0,600.0,1702.75033951,19046.8866667,117.175752212
91,0.7,52500.0,750.0,1711.67157829,20355.2533333,126.041786899
92,0.7,70000.0,1000.0,1727.10339885,22277.26,138.759554467
93,0.7,87500.0,1250.0,1736.49080307,23681.4266667,148.736748166
94,0.7,105000.0,1500.0,1745.46423402,24958.3566667,156.315911683
95,0.7,140000.0,2000.0,1759.12404294,26967.71,170.737488658
96,0.8,3500.0,50.0,1651.87893568,8373.41333333,45.5968635791
97,0.8,7000.0,100.0,1645.66274371,10779.6333333,61.3665497881
98,0.8,14000.0,200.0,1663.13887932,13626.5133333,80.2714483731
99,0.8,21000.0,300.0,1678.79907719,15540.6833333,92.3453513766
100,0.8,28000.0,400.0,1688.31959725,17089.2833333,103.407143739
101,0.8,35000.0,500.0,1697.28010734,18150.96,111.199790261
102,0.8,42000.0,600.0,1704.13755254,19242.22,118.332732822
103,0.8,52500.0,750.0,1712.84442599,20519.0933333,127.737879609
104,0.8,70000.0,1000.0,1725.84634356,22322.5333333,138.957086825
105,0.8,87500.0,1250.0,1738.15817373,23735.46,148.561119956
106,0.8,105000.0,1500.0,1746.6535967,24958.8233333,157.540080548
107,0.8,140000.0,2000.0,1757.60351319,26913.35,170.411772496
108,0.9,3500.0,50.0,1645.73119105,8749.06333333,47.3152744925
109,0.9,7000.0,100.0,1657.93032074,11366.67,65.2859043093
110,0.9,14000.0,200.0,1662.95067419,13968.02,82.4310026987
111,0.9,21000.0,300.0,1678.76144777,15837.0133333,94.5919857655
112,0.9,28000.0,400.0,1689.7686159,17146.3633333,103.566223078
113,0.9,35000.0,500.0,1697.93448466,18385.5233333,112.229304824
114,0.9,42000.0,600.0,1704.97300042,19372.9533333,119.175679075
115,0.9,52500.0,750.0,1715.38731897,20681.6966667,128.283839234
116,0.9,70000.0,1000.0,1724.8301079,22362.36,138.973251726
117,0.9,87500.0,1250.0,1734.46635803,23776.01,149.157369887
118,0.9,105000.0,1500.0,1741.77189479,24847.0966667,156.287238727
119,0.9,140000.0,2000.0,1755.90680157,26648.29,167.648301402
