,eccentricity,area,N,E_of_pi,S,d
0,0.0,3500.0,50.0,1699.45577633,7405.09,38.5495130163
1,0.0,7000.0,100.0,1700.41364823,9015.40333333,49.6035765696
2,0.0,14000.0,200.0,1701.24390503,11108.8415789,62.5285251714
3,0.0,21000.0,300.0,1708.56828645,12676.88,73.4854022383
4,0.0,28000.0,400.0,1711.64411526,13953.84,82.161689041
5,0.0,35000.0,500.0,1710.12140556,14620.1433333,87.2920149408
6,0.0,42000.0,600.0,1712.18804894,15850.4766667,95.3794915748
7,0.0,52500.0,750.0,1712.52088363,16396.09,100.238414691
8,0.0,70000.0,1000.0,1713.68458086,17771.2136842,111.597304737
9,0.0,87500.0,1250.0,1726.0901202,19479.8433333,123.129633913
10,0.0,105000.0,1500.0,1731.54081423,20541.1615789,130.783373144
11,0.0,140000.0,2000.0,1742.904423,22683.1734552,145.409084901
12,0.1,3500.0,50.0,1663.31104034,6647.01,34.7402149095
13,0.1,7000.0,100.0,1654.29415487,8671.57333333,48.0026186329
14,0.1,14000.0,200.0,1663.02287381,10808.43,62.8352500047
15,0.1,21000.0,300.0,1672.59071629,12287.45,73.9147402743
16,0.1,28000.0,400.0,1679.54220601,13278.1433333,80.1167855156
17,0.1,35000.0,500.0,1687.20440307,14221.01,86.7167484789
18,0.1,42000.0,600.0,1692.83870714,15333.0933333,94.2584641906
19,0.1,52500.0,750.0,1698.7096115,16378.43,102.196599058
20,0.1,70000.0,1000.0,1710.17595702,17739.0266667,112.348081056
21,0.1,87500.0,1250.0,1724.42556039,19514.36,123.473218991
22,0.1,105000.0,1500.0,1731.97282675,20744.7166667,131.850245816
23,0.1,140000.0,2000.0,1746.4839564,23004.6633333,146.590116919
24,0.2,3500.0,50.0,1660.43825778,6523.5,34.2267480926
25,0.2,7000.0,100.0,1652.89185393,8451.49,48.3706101778
26,0.2,14000.0,200.0,1661.29641513,10529.6,62.5246240652
27,0.2,21000.0,300.0,1672.60261603,12190.28,73.5067067424
28,0.2,28000.0,400.0,1674.17105462,12885.34,78.346344186
29,0.2,35000.0,500.0,1683.26931408,14015.9666667,86.2601340248
30,0.2,42000.0,600.0,1689.79204742,15193.5933333,93.8685202186
31,0.2,52500.0,750.0,1697.8438944,16430.9866667,102.542417174
32,0.2,70000.0,1000.0,1708.55189805,17749.01,111.675248126
33,0.2,87500.0,1250.0,1720.31919913,19370.91,123.368977733
34,0.2,105000.0,1500.0,1731.83755351,20764.4733333,132.383337963
35,0.2,140000.0,2000.0,1748.6622518,23179.42,147.862903791
36,0.3,3500.0,50.0,1657.54193671,6880.9,37.0749994999
37,0.3,7000.0,100.0,1653.75853331,8845.05666667,50.6556372924
38,0.3,14000.0,200.0,1657.27348066,10796.2666667,64.4254785325
39,0.3,21000.0,300.0,1666.60515724,12255.4866667,75.5050542582
40,0.3,28000.0,400.0,1674.66436166,13337.07,81.6117157366
41,0.3,35000.0,500.0,1680.60069793,14122.1066667,87.338632405
