,eccentricity,area,N,E_of_pi,S,d
0,0.0,3500.0,50.0,1532.53382056,6620.36333333,35.5310937901
1,0.0,7000.0,100.0,1513.6484091,8059.01666667,46.2744110287
2,0.0,14000.0,200.0,1604.72098175,9925.67666667,58.7516882495
3,0.0,21000.0,300.0,1638.7490292,11079.8633333,66.3891322031
4,0.0,28000.0,400.0,1652.18547499,12007.7433333,73.1467026135
5,0.0,35000.0,500.0,1658.18628027,12872.8333333,79.6815247708
6,0.0,42000.0,600.0,1669.30802198,13540.6566667,84.2889972709
7,0.0,52500.0,750.0,1670.23309288,14377.0766667,90.0441961576
8,0.0,70000.0,1000.0,1698.13957613,15466.16,97.4756692619
9,0.0,87500.0,1250.0,1712.69524805,16401.3933333,103.5881497
10,0.0,105000.0,1500.0,1716.1503069,17132.7966667,108.729602537
11,0.0,140000.0,2000.0,1724.84152295,18340.15,116.797835706
12,0.1,3500.0,50.0,1532.05572298,6615.54,35.5710313193
13,0.1,7000.0,100.0,1513.91483003,8064.36,46.3991978998
14,0.1,14000.0,200.0,1604.35839374,9930.60333333,58.6465626954
15,0.1,21000.0,300.0,1638.81278944,11104.21,66.5472801235
16,0.1,28000.0,400.0,1651.86139801,12010.3733333,73.2110152051
17,0.1,35000.0,500.0,1658.27395286,12895.1966667,79.7561426839
18,0.1,42000.0,600.0,1669.42378198,13555.4433333,84.2777842368
19,0.1,52500.0,750.0,1670.32464915,14390.1233333,90.0208730257
20,0.1,70000.0,1000.0,1709.6494027,15478.6833333,97.3641110695
21,0.1,87500.0,1250.0,1712.8520471,16410.7266667,103.722654134
22,0.1,105000.0,1500.0,1716.27297108,17147.0166667,108.903313506
23,0.1,140000.0,2000.0,1724.90425227,18355.8666667,116.899912907
24,0.2,3500.0,50.0,1529.59008253,6626.61333333,35.9371851977
25,0.2,7000.0,100.0,1513.37585785,8073.4,46.398444338
26,0.2,14000.0,200.0,1603.8719846,9940.86666667,59.151880919
27,0.2,21000.0,300.0,1630.26954716,11089.5,66.5767296882
28,0.2,28000.0,400.0,1651.8519096,12004.3366667,73.2020963085
29,0.2,35000.0,500.0,1658.22431466,12903.2566667,79.8155806191
30,0.2,42000.0,600.0,1669.43400408,13541.5666667,84.1889452906
31,0.2,52500.0,750.0,1670.53065493,14367.87,89.8495020176
32,0.2,70000.0,1000.0,1699.89627948,15496.2266667,97.4858557983
33,0.2,87500.0,1250.0,1713.09461575,16449.11,103.899084867
34,0.2,105000.0,1500.0,1716.56523522,17163.1266667,109.113788464
35,0.2,140000.0,2000.0,1725.38543471,18351.0833333,116.898263635
36,0.3,3500.0,50.0,1528.35105865,6658.7,35.9990022017
37,0.3,7000.0,100.0,1513.81266748,8101.68333333,46.5844114852
38,0.3,14000.0,200.0,1603.92444267,9985.44333333,59.0834352803
39,0.3,21000.0,300.0,1631.24490004,11098.2933333,66.7691515078
40,0.3,28000.0,400.0,1654.45252994,12042.5433333,73.433635966
41,0.3,35000.0,500.0,1658.44569797,12898.59,79.860485551
42,0.3,42000.0,600.0,1669.87921388,13566.2933333,84.3366723325
43,0.3,52500.0,750.0,1670.36945661,14390.9966667,89.9851986121
44,0.3,70000.0,1000.0,1699.63607246,15509.85,97.7222667075
45,0.3,87500.0,1250.0,1712.53787403,16480.6833333,104.003996352
46,0.3,105000.0,1500.0,1718.79280999,17146.04,108.678796623
47,0.3,140000.0,2000.0,1724.45554425,18340.6233333,116.803002639
48,0.4,3500.0,50.0,1530.24858315,6706.10666667,36.3799230475
49,0.4,7000.0,100.0,1513.79159211,8187.46333333,46.971204523
