,eccentricity,area,N,E_of_pi,S,d
0,0.0,3500.0,50.0,1849.79351451,8679.16363636,49.8042138181
1,0.0,7000.0,100.0,1872.9657055,10944.5818182,64.9719962835
2,0.0,14000.0,200.0,1891.39827531,13398.5863636,82.3350872907
3,0.0,21000.0,300.0,1910.96157189,15160.3727273,93.8567496461
4,0.0,28000.0,400.0,1929.12523215,16456.4409091,103.127550987
5,0.0,35000.0,500.0,1939.54423486,17590.2954545,111.267444545
6,0.0,42000.0,600.0,1953.30936932,18462.25,117.595980855
7,0.0,52500.0,750.0,1969.36045627,19801.9090909,127.822773357
8,0.0,70000.0,1000.0,1990.3800731,21711.4818182,141.326418543
9,0.0,87500.0,1250.0,1998.95925678,23017.4636364,151.506252308
10,0.0,105000.0,1500.0,2004.68962923,24081.9727273,158.829067926
11,0.0,140000.0,2000.0,2020.38353588,26045.4636364,171.954179692
12,0.1,3500.0,50.0,1847.78733827,8669.99090909,49.8511306838
13,0.1,7000.0,100.0,1874.41404447,10927.6590909,65.0198515831
14,0.1,14000.0,200.0,1890.47188446,13380.9727273,82.2555344461
15,0.1,21000.0,300.0,1908.85157997,15127.0363636,93.9674200162
16,0.1,28000.0,400.0,1927.62091385,16439.3909091,103.368956791
17,0.1,35000.0,500.0,1938.77629098,17539.7954545,110.747474326
18,0.1,42000.0,600.0,1953.48838387,18458.4590909,117.563678206
19,0.1,52500.0,750.0,1968.04341951,19796.3090909,127.636736673
20,0.1,70000.0,1000.0,1989.79860666,21722.05,141.638242799
21,0.1,87500.0,1250.0,1998.40864575,22999.1636364,151.398482836
22,0.1,105000.0,1500.0,2004.79861242,24092.9909091,159.043458388
23,0.1,140000.0,2000.0,2020.68011963,26041.6181818,171.885032613
24,0.2,3500.0,50.0,1850.02942687,8642.07727273,49.7475068722
25,0.2,7000.0,100.0,1874.78668504,10955.5409091,65.2396119044
26,0.2,14000.0,200.0,1890.22586688,13361.4772727,82.1769052429
27,0.2,21000.0,300.0,1910.13946577,15060.7772727,93.5904741925
28,0.2,28000.0,400.0,1927.06477436,16387.8454545,103.100414473
29,0.2,35000.0,500.0,1937.6586604,17485.2045455,110.1181499
30,0.2,42000.0,600.0,1953.78570993,18414.3,117.462812871
31,0.2,52500.0,750.0,1968.89213687,19787.5227273,127.645568732
32,0.2,70000.0,1000.0,1989.94483135,21692.3590909,141.383209478
33,0.2,87500.0,1250.0,1999.14647366,22971.55,151.096821347
34,0.2,105000.0,1500.0,2004.48727028,24091.3318182,159.204494103
35,0.2,140000.0,2000.0,2022.29448648,26064.9454545,171.866911472
36,0.3,3500.0,50.0,1850.62160344,8660.04545455,49.6630370475
37,0.3,7000.0,100.0,1876.22524145,10923.9954545,64.9028426869
38,0.3,14000.0,200.0,1891.88196768,13370.8727273,82.1102837224
39,0.3,21000.0,300.0,1908.6674223,14973.9954545,92.9782779182
40,0.3,28000.0,400.0,1923.39312662,16316.4727273,102.455437836
41,0.3,35000.0,500.0,1935.68920818,17422.7454545,109.918543006
42,0.3,42000.0,600.0,1952.85150799,18414.7409091,117.17960164
43,0.3,52500.0,750.0,1967.56919109,19709.0363636,127.467855966
44,0.3,70000.0,1000.0,1989.74118954,21637.2818182,140.913294502
45,0.3,87500.0,1250.0,1998.3689679,22985.3727273,151.357399626
46,0.3,105000.0,1500.0,2003.50750432,24047.2181818,158.971483084
47,0.3,140000.0,2000.0,2022.0965251,26032.7227273,172.433004675
48,0.4,3500.0,50.0,1847.0892542,8625.73636364,49.3121038074
49,0.4,7000.0,100.0,1874.49088585,10802.5045455,64.1941391152
50,0.4,14000.0,200.0,1892.73352778,13286.3136364,81.4912427658
51,0.4,21000.0,300.0,1910.71361514,14989.0454545,93.0601127009
52,0.4,28000.0,400.0,1925.42711068,16238.2772727,101.829222952
53,0.4,35000.0,500.0,1936.5559524,17309.5636364,109.121380297
54,0.4,42000.0,600.0,1953.52541599,18345.65,116.66423709
55,0.4,52500.0,750.0,1967.37742389,19632.0045455,126.489925328
56,0.4,70000.0,1000.0,1985.60307438,21573.4818182,140.95059114
57,0.4,87500.0,1250.0,1999.51500583,22976.3909091,151.019401225
58,0.4,105000.0,1500.0,2002.73173621,24024.7590909,158.735497694
59,0.4,140000.0,2000.0,2020.24819874,25982.4227273,171.828971719
60,0.5,3500.0,50.0,1849.13671945,8542.47272727,48.0938350516
61,0.5,7000.0,100.0,1861.53877451,10549.4045455,62.4089329813
62,0.5,14000.0,200.0,1892.38583469,13065.6454545,80.3687479892
63,0.5,21000.0,300.0,1909.13587172,14776.3818182,91.9711113079
64,0.5,28000.0,400.0,1919.86201858,16094.0681818,101.096620276
65,0.5,35000.0,500.0,1936.00366204,17174.5409091,108.380788583
66,0.5,42000.0,600.0,1952.41661915,18265.5136364,116.563467841
67,0.5,52500.0,750.0,1968.87475251,19620.9090909,126.327604585
68,0.5,70000.0,1000.0,1982.22970551,21481.0954545,140.336635124
69,0.5,87500.0,1250.0,1998.82353027,22830.0818182,150.444579824
70,0.5,105000.0,1500.0,2003.15585805,24013.0409091,158.445084935
71,0.5,140000.0,2000.0,2021.47954448,25993.5909091,172.19213886
72,0.6,3500.0,50.0,1848.96249229,8209.31363636,45.6433374174
73,0.6,7000.0,100.0,1855.17337655,10181.1772727,59.8728391177
74,0.6,14000.0,200.0,1886.92495568,12810.4954545,78.5505713666
75,0.6,21000.0,300.0,1910.50803789,14641.6909091,91.5736285812
76,0.6,28000.0,400.0,1921.30576508,15932.1545455,100.636041295
77,0.6,35000.0,500.0,1939.31751213,17058.9181818,108.653193051
78,0.6,42000.0,600.0,1949.99272198,18105.4727273,115.63358757
79,0.6,52500.0,750.0,1972.09230843,19436.1772727,125.244519682
80,0.6,70000.0,1000.0,1980.58611299,21261.6590909,138.534685949
81,0.6,87500.0,1250.0,1995.93444824,22721.7090909,149.417287545
