,eccentricity,area,N,E_of_pi,S,d
0,0.0,3500.0,50.0,1943.45774606,4952.81849228,32.9063904307
1,0.0,7000.0,100.0,1806.54193797,5871.32168616,44.9237101325
2,0.0,14000.0,200.0,1784.67824058,7009.99063979,56.6795949024
3,0.0,21000.0,300.0,1764.29962985,8056.06139789,69.5179113357
4,0.0,28000.0,400.0,1741.38508107,8720.05952729,77.6571927313
5,0.0,35000.0,500.0,1750.87208178,9572.97614754,86.3919769643
6,0.0,42000.0,600.0,1769.47285432,10529.4661791,94.435392675
7,0.0,52500.0,750.0,1802.19452409,11597.8175926,105.629498366
8,0.0,70000.0,1000.0,1848.24030015,13086.9378061,118.811393554
9,0.0,87500.0,1250.0,1867.64263912,14066.8832314,126.69856786
10,0.0,105000.0,1500.0,1894.61634187,15194.4922486,136.371130638
11,0.0,140000.0,2000.0,1960.85800008,16848.686417,151.500690625
12,0.1,3500.0,50.0,1743.97208379,4709.8249914,32.4742678488
13,0.1,7000.0,100.0,1682.44444282,5574.03333333,42.5905999304
14,0.1,14000.0,200.0,1707.41727329,7255.90825211,60.2421567571
15,0.1,21000.0,300.0,1696.98912584,8399.66481481,73.1292305106
16,0.1,28000.0,400.0,1707.15059131,9199.80864198,81.7217296791
17,0.1,35000.0,500.0,1717.00230256,9654.8191358,86.894336998
18,0.1,42000.0,600.0,1767.4997038,10567.9383041,95.6326186483
19,0.1,52500.0,750.0,1801.47643064,11934.3226771,108.132611965
20,0.1,70000.0,1000.0,1832.13615573,12862.9285494,116.518709052
21,0.1,87500.0,1250.0,1886.57497865,14217.0319444,128.308992272
22,0.1,105000.0,1500.0,1935.99967731,15463.8855846,139.119705748
23,0.1,140000.0,2000.0,1995.25479318,17282.2358985,155.190147588
24,0.2,3500.0,50.0,1662.03785988,4319.32222222,30.1589841559
25,0.2,7000.0,100.0,1653.06643198,5503.68333333,42.2241866389
26,0.2,14000.0,200.0,1657.38008696,7023.25555556,59.5572433313
27,0.2,21000.0,300.0,1680.44600269,7980.06111111,70.2826254468
28,0.2,28000.0,400.0,1710.19569918,8759.19444444,76.7503651133
29,0.2,35000.0,500.0,1732.19520812,9469.67777778,85.3652050742
30,0.2,42000.0,600.0,1763.61107645,10625.7888889,96.187403447
31,0.2,52500.0,750.0,1809.33901461,11732.5833333,106.449314072
32,0.2,70000.0,1000.0,1852.45267361,13135.2277778,118.672214624
33,0.2,87500.0,1250.0,1894.63067949,14478.2111111,129.554726404
34,0.2,105000.0,1500.0,1929.46752167,15684.6333333,139.1530502
35,0.2,140000.0,2000.0,1991.74713495,17167.1181287,155.010845954
36,0.3,3500.0,50.0,1684.92657135,4509.88888889,32.3554073552
37,0.3,7000.0,100.0,1662.69655494,5433.3,42.8360508243
38,0.3,14000.0,200.0,1664.87525415,7137.28333333,61.2811766866
39,0.3,21000.0,300.0,1688.10406995,8138.46111111,71.8730985583
40,0.3,28000.0,400.0,1728.6622101,9226.84444444,81.28560723
41,0.3,35000.0,500.0,1743.25381081,10123.1611111,90.1540284616
42,0.3,42000.0,600.0,1756.17225398,10778.2111111,96.730613348
43,0.3,52500.0,750.0,1788.11626231,11609.9,103.925559889
44,0.3,70000.0,1000.0,1831.05155357,12853.4277778,115.852581316
45,0.3,87500.0,1250.0,1876.30922541,14021.2666667,126.437196607
46,0.3,105000.0,1500.0,1916.5153019,15308.7388889,137.036397801
47,0.3,140000.0,2000.0,1980.49214056,17141.3888889,153.545634379
48,0.4,3500.0,50.0,1677.73266186,4077.95555556,28.50321522
