N,t,S,SH,Epi,D
100,0.1,49949.199999999997,9647.5869935735209,1242.9143969849242,-8404.6725965885962
100,0.4,102735.39999999999,19843.134801349632,2124.7836030150756,-17718.35119833456
100,0.8,157797.5,30478.26809275059,3175.6596733668348,-27302.608419383752
100,1,178396.39999999999,34456.903981251729,3629.0377185929656,-30827.866262658768
513,0.1,76721.699999999997,14818.641240397235,1662.7702864321607,-13155.870953965074
843,0.4,126216.10000000001,24378.384533477507,2537.8631557788949,-21840.521377698617
1100,0.8,159485.39999999999,30804.282565183636,3214.1241005025126,-27590.158464681117
1100,1,177405.5,34265.513649636174,3618.6965728643218,-30646.817076771851
613,0.1,96560.300000000003,18650.426721059739,1983.7876532663317,-16666.639067793411
1243,0.4,140682.79999999999,27172.598389954288,2827.5847587939702,-24345.01363116032
2083,0.8,161194.29999999999,31134.353145159246,3198.0785929648241,-27936.274552194423
2100,1,177974.0,34375.318275252728,3645.5025979899501,-30729.815677262777
713,0.1,106497.0,20569.680236211971,2205.0238492462313,-18364.656386965748
1643,0.4,158063.29999999999,30529.606825360755,3152.971658291458,-27376.635167069297
2883,0.8,166610.89999999999,32180.558483971283,3307.0473065326637,-28873.511177438621
3100,1,175345.10000000001,33867.551555317172,3607.5532964824124,-30259.998258834756
813,0.1,118248.7,22839.497331828683,2383.3801457286436,-20456.117186100037
2043,0.4,160487.39999999999,30997.816839357409,3187.9114221105533,-27809.905417246853
3683,0.8,169512.10000000001,32740.91939837543,3402.0687085427139,-29338.850689832714
4100,1,178063.60000000001,34392.624334101005,3607.3898140703509,-30785.234520030652
913,0.1,128428.5,24805.705120485552,2588.7441708542719,-22216.960949631284
2443,0.4,163137.79999999999,31509.736240824637,3251.6066331658294,-28258.129607658811
4483,0.8,168647.89999999999,32574.000915600009,3393.2058090452265,-29180.795106554775
5100,1,175640.70000000001,33924.646097678211,3577.6548442211051,-30346.991253457109
1013,0.1,132236.89999999999,25541.289880728462,2680.7232763819093,-22860.566604346554
2843,0.4,164634.10000000001,31798.743560631247,3287.4628190954777,-28511.280741535775
5283,0.8,171799.29999999999,33182.687454154133,3414.8661758793978,-29767.821278274736
6100,1,177606.60000000001,34304.355708055686,3608.5512713567841,-30695.804436698894
1113,0.1,137990.89999999999,26652.663347391033,2742.8166180904527,-23909.846729300585
3243,0.4,166406.20000000001,32141.021092830197,3326.9478542713564,-28814.073238558842
6083,0.8,173807.39999999999,33570.547909212364,3492.8616130653268,-30077.68629614704
7100,1,173772.20000000001,33563.749100379115,3586.2157386934678,-29977.533361685648
1213,0.1,146970.10000000001,28386.977673400164,2912.1408743718598,-25474.836799028311
3643,0.4,166126.39999999999,32086.978288524981,3318.9397336683419,-28768.038554856641
6883,0.8,175414.79999999999,33881.013969398919,3513.1684773869347,-30367.845492011977
8100,1,177434.0,34271.018367015364,3616.8489798994983,-30654.169387115871
1313,0.1,144085.79999999999,27829.8809598279,2843.5992261306537,-24986.281733697244
4043,0.4,171253.0,33077.170713653999,3421.7578894472363,-29655.41282420676
7683,0.8,172638.10000000001,33344.699978282828,3508.8173316582916,-29835.882646624541
9100,1,175865.5,33968.065763181468,3601.3100452261306,-30366.755717955344
