N,t,S,SH,Epi,D
100,0.1,59352.5,11463.815377144625,1400.5600351758792,-10063.25534196875
100,0.4,96982.300000000003,18731.935167867457,2234.131115577889,-16497.804052289568
100,0.8,126235.60000000001,24382.15091905275,3060.751457286432,-21321.399461766316
100,1,130556.89999999999,25216.801277323335,3360.2610653266333,-21856.540211996708
1100,0.1,58780.400000000001,11353.315418806487,1372.5800452261306,-9980.7353735803554
1100,0.4,96201.5,18581.12522647536,2187.9911155778891,-16393.13411089747
1100,0.8,128491.10000000001,24817.796183921957,3098.9411457286428,-21718.855038193309
1100,1,132976.0,25684.045551428899,3392.5220552763813,-22291.52349615252
1235,0.1,63262.599999999999,12219.043286772245,1483.0309949748741,-10736.012291797369
1865,0.4,100117.2,19337.434764780992,2295.4374522613061,-17041.997312519685
2100,0.8,123750.8,23902.2168227783,3043.4206231155777,-20858.796199662727
2100,1,134928.29999999999,26061.128349302609,3414.4437839195984,-22646.684565383013
1335,0.1,80335.899999999994,15516.716663270341,1822.5130050251257,-13694.203658245217
2265,0.4,110021.0,21250.333711449879,2567.7386231155774,-18682.595088334303
3100,0.8,127910.60000000001,24705.673782566788,3115.2360703517588,-21590.437712215033
3100,1,133232.10000000001,25733.510748650362,3390.0496030150753,-22343.461145635287
1435,0.1,85758.399999999994,16564.061575153864,1969.0173819095478,-14595.044193244315
2665,0.4,114506.10000000001,22116.621708552462,2683.8871608040199,-19432.734547748445
4100,0.8,126193.60000000001,24374.038703967617,3085.3556331658292,-21288.683070801788
4100,1,130232.10000000001,25154.066813998343,3364.2356984924627,-21789.83111550588
1535,0.1,88452.699999999997,17084.460172864841,2044.3308492462311,-15040.129323618612
3065,0.4,118717.39999999999,22930.025789219151,2810.0580603015073,-20119.96772891764
5100,0.8,127684.3,24661.964395096209,3083.5307638190952,-21578.433631277112
5100,1,132245.70000000001,25542.989582936782,3414.099502512563,-22128.890080424218
1635,0.1,92428.199999999997,17852.319960267872,2155.9749748743725,-15696.344985393502
3465,0.4,122444.3,23649.868989237344,2912.2202713567845,-20737.648717880562
5905,0.8,127876.39999999999,24699.06812171176,3119.5262562814069,-21579.54186543035
6100,1,135331.0,26138.909040130737,3392.9011457286433,-22746.007894402093
1735,0.1,91175.800000000003,17610.421432348481,2125.0684120603014,-15485.353020288176
3865,0.4,121875.7,23540.045048822969,2906.0599195979903,-20633.985129224977
6705,0.8,131077.79999999999,25317.41205917675,3125.9732914572865,-22191.438767719457
7100,1,131046.2,25311.308583065074,3400.2250050251264,-21911.083578039954
1835,0.1,98517.699999999997,19028.49457362236,2316.2567788944725,-16712.237794727887
4265,0.4,125104.8,24163.739185284579,2985.529949748744,-21178.209235535836
7505,0.8,129600.60000000001,25032.093865754097,3191.4202412060304,-21840.673624548064
8100,1,135258.10000000001,26124.828552518695,3400.3061457286431,-22724.522406790049
1935,0.1,101935.60000000001,19688.655048371405,2369.6060753768843,-17319.048972994518
4665,0.4,125790.39999999999,24296.16143915039,3037.7436432160803,-21258.417795934303
8305,0.8,130831.8,25269.897656535279,3211.2078592964822,-22058.6897972388
9100,1,133260.39999999999,25738.976836433911,3387.9379999999996,-22351.038836433912
