N,t,S,SH,Epi,D
100,0.1,42628.800000000003,8233.6665338313105,1135.7449597989951,-7097.9215740323152
100,0.4,74745.0,14436.84563185502,1662.8840251256283,-12773.961606729392
100,0.8,108717.8,20998.623266237042,2254.0675326633163,-18744.555733573725
100,1,119667.7,23113.574312919089,2504.4721005025121,-20609.102212416572
513,0.1,57837.0,11171.099616156247,1385.4505879396986,-9785.6490282165505
843,0.4,84804.899999999994,16379.894977923634,1817.0654623115577,-14562.829515612073
1100,0.8,108151.3,20889.20493657692,2230.0256633165836,-18659.179273260335
1100,1,120558.2,23285.572587521623,2514.6959798994976,-20770.876607622129
613,0.1,68546.800000000003,13239.675833268306,1565.2729698492462,-11674.402863419064
1243,0.4,100090.3,19332.239084166948,2092.8530804020106,-17239.386003764936
2083,0.8,110931.60000000001,21426.214260414585,2285.3298994974875,-19140.884360917098
2100,1,119590.89999999999,23098.740548191996,2507.8049447236181,-20590.935603468381
713,0.1,81066.600000000006,15657.84989095375,1766.4467738693468,-13891.403117084406
1643,0.4,105326.89999999999,20343.677786899865,2172.2866884422115,-18171.391098457658
2883,0.8,114539.2,22123.014906631459,2361.8837738693474,-19761.131132762115
3100,1,119601.0,23100.691342771988,2497.1077788944722,-20603.583563877517
813,0.1,84920.399999999994,16402.203569407731,1820.1320502512565,-14582.071519156478
2043,0.4,110568.7,21356.120859119517,2283.5319396984933,-19072.588919421025
3683,0.8,113811.2,21982.40317848924,2347.71087437186,-19634.692304117376
4100,1,120798.7,23332.024676282897,2513.5418542713569,-20818.482822011541
913,0.1,87689.800000000003,16937.107580282831,1887.8726783919599,-15049.234901890875
2443,0.4,112736.2,21774.7691019056,2330.9385527638196,-19443.830549141778
4483,0.8,116629.3,22526.713495903525,2398.2508994974874,-20128.46259640604
5100,1,121591.8,23485.210337807068,2525.9081005025128,-20959.302237304561
1013,0.1,90489.800000000003,17477.921919291384,1937.5115577889446,-15540.410361502436
2843,0.4,114148.60000000001,22047.571306339763,2337.1390904522618,-19710.432215887504
5283,0.8,116172.5,22438.48349945384,2426.4505577889449,-20012.032941664896
6100,1,119793.8,23137.930272972291,2510.561281407035,-20627.368991565258
1113,0.1,97465.600000000006,18825.283585739897,2061.1492060301512,-16764.134379709747
3243,0.4,116904.60000000001,22579.887134306755,2379.0307035175879,-20200.856430789168
6083,0.8,119117.8,23007.36223969737,2441.8573316582915,-20565.504908039082
7100,1,121218.7,23413.146827134176,2528.0732512562818,-20885.073575877897
1213,0.1,99907.300000000003,19296.893004153175,2092.5701758793975,-17204.322828273776
3643,0.4,118279.89999999999,22845.523548749061,2425.7784824120604,-20419.745066337004
6883,0.8,118785.10000000001,22943.101907344462,2456.9957487437191,-20486.106158600745
8100,1,119413.5,23064.47609685624,2498.9596030150751,-20565.516493841158
1313,0.1,101580.7,19620.10683090207,2138.0696331658296,-17482.037197736245
4043,0.4,118349.89999999999,22859.043907224277,2439.4287587939698,-20419.615148430305
7683,0.8,117859.8,22764.382083099961,2429.1014522613068,-20335.280630838653
9100,1,121897.10000000001,23544.178415556824,2521.2650100502515,-21022.913405506573
