N,t,S,SH,Epi,D
100,0.1,46907.0,9059.9922142407322,1241.303462311558,-7818.6887519291722
100,0.4,70520.399999999994,13620.872683078047,1634.2696934673368,-11986.602989610714
100,0.8,86573.0,16721.39991820971,1964.1092613065325,-14757.290656903173
100,1,89179.399999999994,17224.820808635381,2072.4147537688441,-15152.406054866535
903,0.1,50164.599999999999,9689.1910680815326,1290.0562814070352,-8399.1347866745
1100,0.4,71135.699999999997,13739.716634075177,1641.5755879396984,-12098.141046135479
1100,0.8,88618.699999999997,17116.522737248921,1969.4271708542715,-15147.095566394648
1100,1,88636.100000000006,17119.8835120699,2078.7736381909544,-15041.10987387895
1003,0.1,57230.300000000003,11053.916737771788,1384.5061407035178,-9669.4105970682722
1633,0.4,77318.699999999997,14933.950583392987,1759.035065326633,-13174.915518066351
2100,0.8,88704.399999999994,17133.075518982143,1987.7802512562812,-15145.295267725864
2100,1,88387.899999999994,17071.944183876356,2051.3680804020105,-15020.576103474348
1103,0.1,62777.300000000003,12125.30857294337,1497.1451909547743,-10628.163381988596
2033,0.4,80986.399999999994,15642.359423100719,1823.7797939698492,-13818.579629130871
3100,0.8,88896.100000000006,17170.101986406407,1961.670592964824,-15208.431393441584
3100,1,90199.0,17421.754487225779,2083.6410603015074,-15338.113426924272
1203,0.1,66725.5,12887.895420541068,1567.4675628140703,-11320.427857726998
2433,0.4,83183.899999999994,16066.802105233324,1894.4497889447237,-14172.352316288601
4073,0.8,86641.100000000006,16734.553295526312,1977.8980502512563,-14756.655245275051
4100,1,89589.5,17304.030794502316,2069.1754824120599,-15234.855312090254
1303,0.1,68271.699999999997,13186.540824460719,1591.3974623115575,-11595.14336214916
2833,0.4,85246.800000000003,16465.247069497873,1930.3601306532662,-14534.886938844609
4873,0.8,88142.199999999997,17024.487725628354,1979.6757889447235,-15044.811936683633
5100,1,82183.5,15873.5768678247,2060.9950904522611,-13812.581777372436
1403,0.1,71115.199999999997,13735.757100521721,1654.8065678391963,-12080.950532682526
3233,0.4,87846.600000000006,16967.393183267312,1946.0800100502515,-15021.313173217062
5673,0.8,89286.800000000003,17245.564901495927,2012.1391758793973,-15233.425725616526
6100,1,90725.300000000003,17523.408268161566,2076.9398391959799,-15446.468428965589
1503,0.1,74529.100000000006,14395.144983357899,1699.4214773869346,-12695.723505970962
3633,0.4,87286.199999999997,16859.153056274317,1942.6185376884418,-14916.534518585871
6473,0.8,89606.100000000006,17307.237050940723,2006.6804673366835,-15300.556583604039
7100,1,89743.100000000006,17333.698323956498,2068.9763668341702,-15264.721957122321
1603,0.1,78341.199999999997,15131.44439112022,1778.8124623115577,-13352.631928808658
4033,0.4,86793.600000000006,16764.008362204455,1959.413728643216,-14804.594633561239
7273,0.8,90836.199999999997,17544.828378945873,2032.0369095477386,-15512.791469398133
8100,1,89016.699999999997,17193.395632579421,2057.6288542713569,-15135.766778308065
1703,0.1,77651.300000000003,14998.191600948072,1774.5518693467336,-13223.639731601341
4433,0.4,89847.300000000003,17353.824343286742,1997.2156130653264,-15356.608730221415
8073,0.8,90569.399999999994,17493.296498357486,2031.5574522613067,-15461.73904609618
9100,1,89887.399999999994,17361.569577213257,2052.8723467336686,-15308.697230479593
