N,t,S,SH,Epi,D,proportion_cancer,sd_S,sd_SH,sd_Epi,sd_D,sd_in_proportion
100,0,45098.5,8710.6840956346714,1141.8231507537689,-7568.8609448809048,0.0,1327.3984518598777,256.38432726556141,12.11419198889361,248.50003116974969,0.0
100,1e-05,44769.300000000003,8647.0997812055248,1134.8504472361806,-7512.2493339693438,0.0,1132.1446064880581,218.67144179283355,16.564677239899527,217.32860492702929,0.0
100,0.1,57118.099999999999,11032.245534615804,1309.2870653266332,-9722.9584692891713,0.099999999999999992,1497.7586888414303,289.28906260717508,22.47826911583671,273.00004818269048,1.3877787807814457e-17
100,0.2,69328.100000000006,13390.582348649516,1488.4533316582915,-11902.129016991224,0.19999999999999998,1607.1945401848527,310.42637603865023,38.022298343843097,281.09935067211194,2.7755575615628914e-17
100,0.3,81127.399999999994,15669.593288029366,1669.6979899497487,-13999.895298079617,0.29999999999999993,2215.2541253770414,427.87185555419558,25.991795066715394,411.79610441776663,5.5511151231257827e-17
100,0.4,87618.0,16923.239555446831,1787.3306834170853,-15135.90887202974,0.39999999999999997,2771.0931777910318,535.2310447421994,23.901392168085874,515.56866002068273,5.5511151231257827e-17
100,0.5,95638.0,18472.286340749888,1922.542336683417,-16549.744004066473,0.5,2345.4078536578663,453.01078502908575,31.244297414793028,429.5465291272734,0.0
100,0.6,103208.7,19934.551739439899,2051.4294522613068,-17883.122287178594,0.59999999999999987,2528.6435118458276,488.40238194541377,40.002066958479929,460.3901722010342,1.1102230246251565e-16
100,0.7,110301.89999999999,21304.588978531126,2181.1716180904518,-19123.417360440679,0.70000000000000007,2889.4564696496122,558.0926752598333,19.938825937680942,542.1003722817461,1.1102230246251565e-16
100,0.8,114994.39999999999,22210.935866315995,2262.9523869346731,-19947.983479381317,0.79999999999999993,2475.8017368117344,478.19609993216335,30.096325071000525,460.77079442319354,1.1102230246251565e-16
100,0.9,121647.5,23495.968680193771,2364.0188341708545,-21131.949846022919,0.90000000000000013,4332.9356388019423,836.89775838045068,39.680647923371666,806.27333948788373,1.1102230246251565e-16
100,1,121717.8,23509.546983062453,2437.9253015075378,-21071.621681554916,1.0,3275.1687223714139,632.59221704670449,22.089386018447335,620.87333575468506,0.0
1100,0,44078.900000000001,8513.7504170442735,1134.0603266331659,-7379.690090411108,0.0,1555.5244421094771,300.44640106110006,25.280972008467316,282.55169892807157,0.0
1100,1e-05,44649.599999999999,8623.9799682129105,1148.8565326633166,-7475.1234355495926,0.0,1370.2278058775482,264.65673040242933,13.789862657284296,262.27760538375804,0.0
1100,0.1,58905.5,11377.478230881477,1330.4551758793971,-10047.023055002079,0.099999999999999992,5043.8043627801426,974.20061519477952,72.325302362825923,906.69764435045192,1.3877787807814457e-17
1100,0.2,67966.199999999997,13127.534117115321,1480.2694874371859,-11647.264629678135,0.19999999999999998,3758.9285122225988,726.02944239930594,46.592449998715509,684.95756731003962,2.7755575615628914e-17
1100,0.3,77805.600000000006,15027.994333987008,1625.3241005025127,-13402.670233484494,0.29999999999999993,3816.5851542969667,737.16570624677081,68.899553641630789,680.92888368229421,5.5511151231257827e-17
1100,0.4,88866.300000000003,17164.346176655534,1822.1541959798992,-15342.191980675634,0.39999999999999997,4814.9057322028639,929.98930748205998,63.403957760426849,874.11235961864872,5.5511151231257827e-17
1100,0.5,98208.0,18968.676644768449,1970.5781809045225,-16998.098463863927,0.5,4520.7008085030357,873.164221287852,69.00796718871446,809.05707559582993,0.0
1100,0.6,102934.3,19881.551934217056,2054.3162010050246,-17827.235733212034,0.59999999999999987,4458.813498005944,861.21081238803026,68.963341026723413,793.0451408584305,1.1102230246251565e-16
1100,0.7,109079.7,21068.523519553903,2164.220889447236,-18904.30263010666,0.70000000000000007,4191.1640638371573,809.51486530731438,58.675787965431837,753.99583530756058,1.1102230246251565e-16
1100,0.8,113929.8,22005.310528705817,2255.2658442211055,-19750.04468448471,0.79999999999999993,3066.5981738728015,592.30723728851649,58.796296770098166,540.42428778983663,1.1102230246251565e-16
1100,0.9,120183.60000000001,23213.219354881414,2345.260095477387,-20867.959259404022,0.90000000000000013,2167.0016243648734,418.55198253976533,27.938737324113426,396.40605946350786,1.1102230246251565e-16
1100,1,119358.2,23053.79501366082,2430.2771859296481,-20623.517827731168,1.0,3839.2939402968359,741.55186235041617,29.90458729568444,729.6531332044201,0.0
1169,0,44592.800000000003,8613.0091630501647,1149.7229899497486,-7463.2861731004159,0.0,1391.6902528939406,268.80215865124239,26.714051222323018,251.74594054465209,0.0
1169,1e-05,43134.199999999997,8331.2835220223551,1127.5105226130654,-7203.7729994092879,0.0,1240.7370229021135,239.6458474729439,18.179505822485961,229.0374730307513,0.0
1379,0.1,63588.800000000003,12282.048157266741,1402.952512562814,-10879.095644703926,0.15228426395939088,2488.2611117002971,480.60260300174139,38.771441718362496,445.39888723301721,0.0
1589,0.2,75710.0,14623.233430834753,1605.5790452261306,-13017.654385608623,0.26431718061674003,6145.7878909054452,1187.0465056809921,98.907023566856878,1091.7123934307567,5.5511151231257827e-17
1799,0.3,83702.100000000006,16166.891387545551,1735.787286432161,-14431.104101113388,0.35019455252918291,3402.5209022135341,657.19003310478058,54.349911970719596,605.07614711581618,5.5511151231257827e-17
2009,0.4,81883.899999999994,15815.709733550782,1811.8494170854271,-14003.860316465356,0.41811846689895471,20584.313830924752,3975.818599434328,64.787988503826497,3987.9322903199695,0.0
2100,0.5,95078.600000000006,18364.239361735112,1908.7279045226128,-16455.511457212495,0.5,2779.9138547803959,536.93474066920317,50.828049144233532,493.50164826094675,0.0
2100,0.6,105029.2,20286.177633784566,2092.1059547738696,-18194.071679010696,0.59999999999999987,3438.3607082445551,664.11241917937446,46.30948161890327,622.55567272525059,1.1102230246251565e-16
