N,t,S,SH,Epi,D,proportion_cancer,sd_S,sd_SH,sd_Epi,sd_D,sd_in_proportion
100,0,45098.5,8710.6840956346714,1141.8231507537689,-7568.8609448809048,0.0,1327.3984518598777,256.38432726556141,12.11419198889361,248.50003116974969,0.0
100,1e-05,44769.300000000003,8647.0997812055248,1134.8504472361806,-7512.2493339693438,0.0,1132.1446064880581,218.67144179283355,16.564677239899527,217.32860492702929,0.0
100,0.1,58212.699999999997,11243.665311572502,1318.9111407035175,-9924.7541708689841,0.099999999999999992,1711.6685456010459,330.60531896105539,25.618345201818791,312.15896228142151,1.3877787807814457e-17
100,0.2,70219.600000000006,13562.773771230271,1500.2073668341709,-12062.566404396102,0.19999999999999998,2377.0644585286282,459.12519425709877,41.459314515973794,426.86213234031777,2.7755575615628914e-17
100,0.3,80480.399999999994,15544.626546122749,1674.568040201005,-13870.058505921745,0.29999999999999993,1694.1511856974275,327.22187631196618,23.139744251834305,307.7103943931188,5.5511151231257827e-17
100,0.4,87817.5,16961.772577101186,1804.7404321608039,-15157.032144940385,0.39999999999999997,1800.4826158560932,347.75957706807043,24.344583550252889,327.78912909076382,5.5511151231257827e-17
100,0.5,96658.600000000006,18669.413167318504,1947.28024120603,-16722.132926112474,0.5,2807.2452048226924,542.21373567182343,29.594707923166734,517.72859545918266,0.0
100,0.6,102395.3,19777.445173957913,2076.8569497487438,-17700.588224209168,0.59999999999999987,2650.1601857246287,511.87308182480018,39.045721534817517,485.47353460187958,1.1102230246251565e-16
100,0.7,109313.0,21113.584942872003,2177.6499447236179,-18935.934998148387,0.70000000000000007,3025.8453033821806,584.43590274669953,20.57716479578221,570.25665833181893,1.1102230246251565e-16
100,0.8,113585.89999999999,21938.886938996868,2283.7672010050251,-19655.119737991849,0.79999999999999993,2467.8035355351935,476.65126352622394,37.613669234186474,453.83314219413779,1.1102230246251565e-16
100,0.9,119508.89999999999,23082.902413978172,2377.2699949748744,-20705.632419003297,0.90000000000000013,3196.5687056592419,617.4107827308992,30.459766310670258,596.62142921834538,1.1102230246251565e-16
100,1,121655.5,23497.513864019511,2478.9707336683414,-21018.543130351169,1.0,4265.5285545873448,823.87821634687396,48.280751548758943,779.20038242287546,0.0
1100,0,43539.699999999997,8409.6050271894837,1126.9550703517586,-7282.6499568377258,0.0,1863.3468303029367,359.90167299069964,27.580360095173546,344.70005466761438,0.0
1100,1e-05,42996.099999999999,8304.6097862305378,1130.882120603015,-7173.7276656275235,0.0,1865.0228121929233,360.22538550427947,19.275028126645989,358.04257032926392,0.0
1100,0.1,57992.900000000001,11201.211385960331,1321.1748291457288,-9880.0365568146044,0.099999999999999992,2821.8687939023671,545.03825233684393,28.058648442568565,520.79378968540107,1.3877787807814457e-17
1100,0.2,68692.899999999994,13267.894752885861,1485.5315879396985,-11782.363164946164,0.19999999999999998,2334.979719398008,450.99661198021539,35.825424844125543,421.85959768804486,2.7755575615628914e-17
1100,0.3,80457.600000000006,15540.222772219393,1676.9723266331657,-13863.250445586227,0.29999999999999993,3128.5929169516448,604.28139657429801,54.531410345023559,569.41986220871252,5.5511151231257827e-17
1100,0.4,86509.0,16709.038447603798,1787.7511959798994,-14921.287251623897,0.39999999999999997,3617.8783561640103,698.78588992934954,63.903600791123374,638.05264401324814,5.5511151231257827e-17
1100,0.5,96924.600000000006,18720.790529524318,1958.9223467336683,-16761.868182790648,0.5,4177.937510303379,806.96018323348142,58.128290256950464,756.34820641406077,0.0
1100,0.6,102432.8,19784.688223141064,2056.826326633166,-17727.8618965079,0.59999999999999987,3484.3306042911604,672.99141165963704,64.424099305337577,613.22737787999256,1.1102230246251565e-16
1100,0.7,107258.3,20716.723792028839,2165.0400603015073,-18551.683731727324,0.70000000000000007,2959.154982423192,571.55480208680535,45.306009918239774,538.52676846293423,1.1102230246251565e-16
1100,0.8,115030.5,22217.908508329645,2272.587005025126,-19945.321503304513,0.79999999999999993,3636.6299853023265,702.40772918569621,42.97271859929436,663.15468253364691,1.1102230246251565e-16
1100,0.9,120809.39999999999,23334.091359649821,2394.3984824120607,-20939.692877237765,0.90000000000000013,3654.5652600548806,705.87189124292433,26.2512559257794,689.60015616326586,1.1102230246251565e-16
1100,1,121300.7,23428.984961347996,2460.8758040201005,-20968.109157327905,1.0,3080.9350220347073,595.07637052499706,30.696678176548609,569.26309857687306,0.0
1169,0,44160.599999999999,8529.5306068646278,1138.5235728643215,-7391.0070340003094,0.0,1306.8029843859404,252.4063543625297,13.638043211455763,243.44989414404853,0.0
1169,1e-05,43709.5,8442.4015538907879,1126.1862713567841,-7316.2152825340063,0.0,1708.7603840211184,330.0436134315633,20.051838560156682,323.31107089498096,0.0
1379,0.1,65194.099999999999,12592.108606699036,1424.8261557788944,-11167.282450920142,0.15228426395939088,3760.3781046591585,726.30942824766601,65.686758361003001,664.10578037065432,0.0
1589,0.2,75235.5,14531.584715170626,1605.5432412060302,-12926.041473964593,0.26431718061674003,5101.8678785323327,985.41546587050539,90.782198773024419,902.12407993913655,5.5511151231257827e-17
1799,0.3,83274.699999999997,16084.33994165546,1715.0701758793971,-14369.269765776064,0.35019455252918291,4150.5024768092835,801.66116198177212,67.313544555181693,737.59226287566992,5.5511151231257827e-17
2009,0.4,91296.5,17633.734393319311,1862.1924472361811,-15771.541946083129,0.41811846689895471,4586.0060891804324,885.7778042176069,58.217774945063638,835.36944569329796,0.0
2100,0.5,96546.600000000006,18647.780593758162,1962.6386381909547,-16685.141955567211,0.5,5442.3254992695911,1051.1741669845928,57.676923495639464,998.10316464208063,0.0
2100,0.6,101856.5,19673.377043294415,2048.0917889447237,-17625.285254349688,0.59999999999999987,4709.7595745430572,909.68053971274674,71.157779996977453,846.07990911693537,1.1102230246251565e-16
