N,t,S,SH,Epi,D,proportion_cancer,sd_S,sd_SH,sd_Epi,sd_D,sd_in_proportion
100,0,45098.5,8710.6840956346714,1141.8231507537689,-7568.8609448809048,0.0,1327.3984518598777,256.38432726556141,12.11419198889361,248.50003116974969,0.0
100,1e-05,44769.300000000003,8647.0997812055248,1134.8504472361806,-7512.2493339693438,0.0,1132.1446064880581,218.67144179283355,16.564677239899527,217.32860492702929,0.0
100,0.1,57114.400000000001,11031.530887096398,1309.5734924623116,-9721.9573946340879,0.099999999999999992,1530.4638643234932,295.60600112877904,22.14688209382394,279.45439340255462,1.3877787807814457e-17
100,0.2,69377.100000000006,13400.046599582163,1488.8278693467337,-11911.218730235432,0.19999999999999998,1569.7554236249673,303.19508636886525,38.101858785287106,273.70098207826027,2.7755575615628914e-17
100,0.3,81194.399999999994,15682.534202569925,1670.1742964824123,-14012.359906087513,0.29999999999999993,2244.6805652475364,433.55551292131582,26.130537319381798,416.98208410777579,5.5511151231257827e-17
100,0.4,87960.699999999997,16989.431367581907,1789.4897135678391,-15199.941654014072,0.39999999999999997,2632.4458607918223,508.45159577854304,24.635971710184709,487.93876430689409,5.5511151231257827e-17
100,0.5,95592.199999999997,18463.440163347535,1922.5799346733668,-16540.860228674173,0.5,2092.6788477929431,404.19668850939848,30.257294787119942,382.72516617218031,0.0
100,0.6,102900.8,19875.08147694678,2050.4748643216085,-17824.606612625168,0.59999999999999987,2412.1233716375286,465.89675244258035,40.503979294668902,437.64407252452463,1.1102230246251565e-16
100,0.7,110552.5,21352.991861872393,2183.5009547738691,-19169.490907098523,0.70000000000000007,2730.16231202469,527.32533077274582,22.091315077045373,510.86041661357649,1.1102230246251565e-16
100,0.8,115131.60000000001,22237.435768927415,2264.9189648241208,-19972.516804103296,0.79999999999999993,2598.2826713042596,501.8530447995654,31.27508479669191,480.9919502805115,1.1102230246251565e-16
100,0.9,121784.5,23522.42995320955,2365.3043316582916,-21157.125621551259,0.90000000000000013,4634.1635545155286,895.07932128315338,38.519927711492521,865.28591573700885,1.1102230246251565e-16
100,1,121500.2,23467.517983002363,2438.4005929648242,-21029.117390037536,1.0,3321.2576774469035,641.49420553768493,20.215351341024814,630.27409931457032,0.0
1100,0,44078.900000000001,8513.7504170442735,1134.0603266331659,-7379.690090411108,0.0,1555.5244421094771,300.44640106110006,25.280972008467316,282.55169892807157,0.0
1100,1e-05,44649.599999999999,8623.9799682129105,1148.8565326633166,-7475.1234355495926,0.0,1370.2278058775482,264.65673040242933,13.789862657284296,262.27760538375804,0.0
1100,0.1,58992.300000000003,11394.24347539074,1331.6111658291456,-10062.632309561595,0.099999999999999992,5169.3278296118924,998.44521903216321,72.668343681733404,930.00953029224513,1.3877787807814457e-17
1100,0.2,67891.600000000006,13113.125277940309,1479.9225175879399,-11633.202760352367,0.19999999999999998,3714.2143233798447,717.39298722669969,46.059060522342683,677.04752611183437,2.7755575615628914e-17
1100,0.3,77783.899999999994,15023.803022859691,1625.7943366834172,-13398.008686176274,0.29999999999999993,3800.581256860587,734.07458581333628,68.698915837593049,678.13028837900765,5.5511151231257827e-17
1100,0.4,88966.399999999994,17183.680289275089,1824.9675778894475,-15358.71271138564,0.39999999999999997,4579.9227766415452,884.60282469985702,62.017899738539242,829.18230873910295,5.5511151231257827e-17
1100,0.5,98350.5,18996.200231664421,1970.5205829145732,-17025.67964874985,0.5,4598.3354868908818,888.15920245801829,67.962796240067803,825.41738616206294,0.0
1100,0.6,103176.10000000001,19928.255115350017,2056.0553115577891,-17872.199803792224,0.59999999999999987,4608.1005078014523,890.04529650414474,69.460148797199068,821.08886948220947,1.1102230246251565e-16
1100,0.7,109376.8,21125.90778388227,2165.2171809045226,-18960.690602977749,0.70000000000000007,4173.574218820123,806.11742230511811,60.172298694975495,748.55291833403294,1.1102230246251565e-16
1100,0.8,114071.60000000001,22032.698912017036,2254.541859296482,-19778.157052720551,0.79999999999999993,3262.7407558676796,630.19178044315561,60.64764862504466,573.42522733019803,1.1102230246251565e-16
1100,0.9,119984.8,23174.821536811804,2344.1209798994969,-20830.700556912307,0.90000000000000013,1840.2689368676524,355.44422453215947,26.78222303836306,334.55674410479929,1.1102230246251565e-16
1100,1,119358.2,23053.79501366082,2428.9699648241203,-20624.825048836698,1.0,3889.8702240563243,751.32056930430747,29.512318082224997,736.72584029252414,0.0
1169,0,44592.800000000003,8613.0091630501647,1149.7229899497486,-7463.2861731004159,0.0,1391.6902528939406,268.80215865124239,26.714051222323018,251.74594054465209,0.0
1169,1e-05,43134.199999999997,8331.2835220223551,1127.5105226130654,-7203.7729994092879,0.0,1240.7370229021135,239.6458474729439,18.179505822485961,229.0374730307513,0.0
1379,0.1,63676.800000000003,12299.045179349867,1402.9791105527638,-10896.066068797105,0.15228426395939088,2604.3745429565233,503.0296774927595,38.982149823133568,467.25603355600492,0.0
1589,0.2,75776.199999999997,14636.01982699274,1606.2212512562814,-13029.79857573646,0.26431718061674003,6231.532055602378,1203.6078177361392,99.836759750505237,1107.2173896453176,5.5511151231257827e-17
1799,0.3,84035.800000000003,16231.344867876676,1735.6417336683419,-14495.703134208332,0.35019455252918291,3665.2621406933499,707.93797211147739,55.525070678876396,655.62713856130949,5.5511151231257827e-17
2009,0.4,82035.5,15844.99096704853,1813.9729195979896,-14031.018047450541,0.41811846689895471,20599.85904927507,3978.8211269296398,64.472973413880695,3991.9375296078438,0.0
2100,0.5,94941.300000000003,18337.720144325867,1905.8595427135679,-16431.860601612301,0.5,2699.7633988925772,521.4538421612732,49.384578765416279,478.32450051716597,0.0
2100,0.6,104917.7,20264.641634213331,2090.6144522613063,-18174.027181952028,0.59999999999999987,3471.5908471477451,670.53075332440676,46.148710487692661,628.8193951180009,1.1102230246251565e-16
