N,t,S,SH,Epi,D,proportion_cancer,sd_S,sd_SH,sd_Epi,sd_D,sd_in_proportion
100,0,100968.60000000001,19501.88095343524,1717.9277537688438,-17783.95319966639,0.0,2984.5999798968037,576.4694519045795,28.262455590619595,555.54190610829016,0.0
100,1e-05,99738.300000000003,19264.250995834445,1725.3719698492464,-17538.879025985196,0.0,4067.0150491484537,785.53573412251637,28.285427052909579,775.79838332459792,0.0
1100,0,100834.0,19475.883235567184,1717.1588793969852,-17758.724356170202,0.0,2430.4741101274872,469.44116048071089,28.540871053542958,456.11398816548524,0.0
1100,1e-05,101187.7,19544.199675462656,1729.9010100502514,-17814.298665412403,0.0,2656.5261169429523,513.10264856908987,31.616849812706082,491.19996539065124,0.0
2100,0,101457.39999999999,19596.291685187873,1727.9426331658292,-17868.349052022044,0.0,2834.8778880226923,547.55093256462374,27.796461924967641,540.1118257393257,0.0
2100,1e-05,102157.5,19731.514584737826,1729.8539798994977,-18001.660604838333,0.0,2241.1920600430476,432.88171519406808,26.900909129629994,420.77235927211154,0.0
3100,0,102539.3,19805.258482821217,1740.6121809045223,-18064.646301916691,0.0,3343.9114536721813,645.86973661458546,19.523854516450399,631.2597759976253,0.0
3100,1e-05,101336.10000000001,19572.862835430111,1715.2532311557788,-17857.60960427433,0.0,2639.8581192935353,509.88325852217315,39.757626096358891,477.72119981292332,0.0
4100,0,101133.0,19533.634481054167,1717.2180251256282,-17816.416455928535,0.0,3474.1341942993508,671.02199568464516,31.4475277188738,647.70757480539794,0.0
4100,1e-05,101946.10000000001,19690.683102142688,1747.8664522613067,-17942.816649881384,0.0,2348.1935375943781,453.54883424937572,21.503995216096097,452.96419290540575,0.0
5100,0,102032.39999999999,19707.351772662845,1755.3086130653264,-17952.043159597517,0.0,2468.6092926990291,476.80689389335294,27.035907002155739,465.87101676455228,0.0
5100,1e-05,100801.5,19469.605926275119,1722.1007336683419,-17747.505192606779,0.0,2115.1918707294617,408.54503337314713,30.530852267350955,394.15853894538878,0.0
6100,0,100231.2,19359.453634297774,1733.5886482412056,-17625.864986056567,0.0,3441.0649456236652,664.63473716176941,27.206204687429878,651.82265144905818,0.0
6100,1e-05,101183.60000000001,19543.407768751964,1731.9950703517588,-17811.412698400207,0.0,2301.8896672082265,444.60533530065271,22.707547838947342,426.63572835368251,0.0
7100,0,100856.10000000001,19480.151805885784,1713.840768844221,-17766.311037041563,0.0,2011.1390031521937,388.44743237288162,21.049896722538055,383.37007842723557,0.0
7100,1e-05,99784.0,19273.077858438981,1714.5450351758795,-17558.5328232631,0.0,1656.3695843621374,319.92443640024169,26.914462316010635,303.88025381845353,0.0
8100,0,100200.7,19353.562620962144,1715.2233768844221,-17638.339244077721,0.0,2548.5094486777953,492.23944747990225,41.955112701316352,478.75883510453286,0.0
8100,1e-05,99996.600000000006,19314.141118607986,1710.4212562814068,-17603.719862326579,0.0,4604.0080842674461,889.25485317254197,31.191538288427854,861.52521560351749,0.0
9100,0,100513.0,19413.882734559418,1714.182783919598,-17699.699950639821,0.0,3620.2351581078265,699.24110145985571,34.588436239296342,669.06146515573232,0.0
9100,1e-05,99610.5,19239.566684218273,1711.1813768844218,-17528.385307333847,0.0,2715.0388671251098,524.40426796670977,28.999464466382452,508.48911702624332,0.0
10100,0,101845.5,19671.252415534025,1736.5020653266333,-17934.750350207389,0.0,3426.4092939986022,661.80402768093063,26.583759138348601,642.20503792878901,0.0
10100,1e-05,101162.7,19539.37097600722,1713.6334472361807,-17825.737528771038,0.0,2103.4361910930411,406.27444761880128,21.857640254614832,394.65530243761498,0.0
11100,0,100874.8,19483.763673078451,1709.9300804020102,-17773.833592676441,0.0,2132.3413329014661,411.85741731918421,42.32960960536122,377.663782623587,0.0
11100,1e-05,100675.7,19445.307910615378,1721.466969849246,-17723.840940766131,0.0,3599.7002666888807,695.27482869937398,33.89797135368768,669.79651672165073,0.0
12100,0,101552.39999999999,19614.640743118522,1725.711783919598,-17888.928959198922,0.0,3593.9641957036802,694.16691818567131,43.036487401318709,659.18691793993571,0.0
12100,1e-05,101324.89999999999,19570.699578074076,1745.8967487437185,-17824.802829330358,0.0,3532.0956796213777,682.21713938906817,52.75026727353508,646.73392175268555,0.0
13100,0,99141.5,19148.980282434339,1702.2094773869346,-17446.770805047403,0.0,4059.4755141520436,784.07948818126079,36.432685337427877,749.31742968423828,0.0
13100,1e-05,100403.10000000001,19392.655771753332,1721.8628090452262,-17670.792962708107,0.0,2673.9777654273794,516.47339919041644,26.204771230961232,518.50178805452504,0.0
14100,0,101221.3,19550.68944753076,1721.6063316582918,-17829.083115872469,0.0,1767.7911669651482,341.44528980978851,26.068344355974645,326.42460778551686,0.0
14100,1e-05,99296.800000000003,19178.976163451491,1710.7965979899498,-17468.179565461538,0.0,2305.4380841827005,445.29070486514456,45.715705117664051,415.93994106996746,0.0
