N,t,S,SH,Epi,D,proportion_cancer,sd_S,sd_SH,sd_Epi,sd_D,sd_in_proportion
100,0,25703.400000000001,4964.5597433115572,882.70551256281396,-4081.8542307487432,0.0,528.16213419744508,102.01344839119157,14.590695752235559,100.62874330290629,0.0
100,1e-05,26132.200000000001,5047.3815963711531,890.93368341708538,-4156.4479129540669,0.0,1144.2487317012854,221.00932910585786,14.219175821009651,212.37790039893278,0.0
403,0,26254.799999999999,5071.0615385005976,875.90651758793979,-4195.1550209126581,0.0,466.28270394686524,90.061561545051248,9.833428215323643,90.22407297217228,0.0
403,1e-05,26444.200000000001,5107.6437655749614,896.43009547738689,-4211.2136700975743,0.0,798.20233023964545,154.17116629415656,11.939591651562651,152.81747118642696,0.0
403,0,26222.799999999999,5064.8808031976432,898.18007537688447,-4166.7007278207584,0.0,1003.6936584436509,193.8614008779559,15.957503498629254,187.36886396945553,0.0
403,1e-05,26368.299999999999,5092.9838340282668,895.41599999999994,-4197.5678340282666,0.0,677.74361671652798,130.9048093185047,20.188156845671546,119.66179700294894,0.0
403,0,26850.599999999999,5186.1391039224891,900.00719597989939,-4286.1319079425903,0.0,659.46299365468576,127.37394393355659,15.230827329706809,125.85588981383445,0.0
403,1e-05,26587.900000000001,5135.3991300447942,910.88014572864324,-4224.5189843161497,0.0,1442.6462802780175,278.64421231846387,17.683407932019922,270.54854874886558,0.0
403,0,26439.299999999999,5106.6973404816972,894.1903065326635,-4212.5070339490339,0.0,590.01322866525629,113.95986223817884,15.843215425587285,106.00367413892479,0.0
403,1e-05,26142.599999999999,5049.390335344613,900.72209045226134,-4148.6682448923511,0.0,693.54123165101009,133.95608670375589,16.563163891238506,136.01389928038114,0.0
403,0,26246.099999999999,5069.3811510901069,897.76686432160807,-4171.6142867684994,0.0,603.95636431782054,116.65295069948181,23.315407305218585,115.9672590143701,0.0
403,1e-05,26565.400000000001,5131.0533005349034,891.20782412060305,-4239.8454764143007,0.0,535.3257326151994,103.39708294234184,20.653272323441772,91.846069141882964,0.0
403,0,26563.700000000001,5130.7249489719343,902.12175376884409,-4228.6031952030899,0.0,1106.5384810299188,213.72567043061443,18.202853136257762,207.23733647490963,0.0
403,1e-05,26329.5,5085.489692473433,899.47328643216076,-4186.0164060412726,0.0,729.72902504970978,140.94568583486137,11.568193783453404,144.31316199368632,0.0
403,0,25649.400000000001,4954.129752487821,900.94893467336692,-4053.1808178144543,0.0,1034.5608923596524,199.82334470199305,23.069116522315561,187.27646455834605,0.0
403,1e-05,25944.900000000001,5011.2049800510449,894.28781909547729,-4116.917160955566,0.0,692.22965119965784,133.70275759130783,17.492817238819271,129.65202725074556,0.0
403,0,26269.299999999999,5073.8621841847489,894.69786934673357,-4179.1643148380153,0.0,700.21540257266543,135.24518932355059,17.669860070765456,134.15232400961557,0.0
403,1e-05,25980.299999999999,5018.0424184799385,899.29442211055289,-4118.7479963693859,0.0,995.64853738656188,192.30750201126523,20.29087783174371,196.86294441971467,0.0
403,0,26527.200000000001,5123.6750477670012,897.5763718592965,-4226.0986759077041,0.0,563.03744102856967,108.74954339533259,13.412365185307298,99.637822983297681,0.0
403,1e-05,26516.599999999999,5121.6276791978971,904.4195226130654,-4217.2081565848321,0.0,930.67816134257714,179.75860523434937,17.2684202738028,171.9995006701771,0.0
403,0,25927.200000000001,5007.7862608365976,888.73411557788927,-4119.0521452587082,0.0,1078.8160918340068,208.37114700606989,17.342101839320762,198.05972343360639,0.0
403,1e-05,26418.200000000001,5102.6219181413117,897.70337185929657,-4204.9185462820142,0.0,754.45978024013982,145.72238119968111,16.141778205685636,145.01695805383827,0.0
403,0,25326.200000000001,4891.7043259279772,883.27456281407012,-4008.4297631139061,0.0,892.42734158025439,172.37053673210093,17.91180708600994,162.07755136699433,0.0
403,1e-05,26429.0,5104.707916306058,892.66922110552764,-4212.038695200531,0.0,582.07731445229854,112.42705645263985,13.681061856504451,118.65286098940658,0.0
403,0,26233.200000000001,5066.8895421711031,895.68202010050243,-4171.207522070602,0.0,942.30141674519427,182.00361351566869,13.338656588777761,175.83225225306518,0.0
403,1e-05,26290.599999999999,5077.9762361207795,906.92790954773864,-4171.04832657304,0.0,428.61689187431705,82.786486095324136,19.386708321620393,80.672620571715129,0.0
403,0,26172.5,5055.165459893311,891.15961809045223,-4164.0058418028584,0.0,512.61998595450802,99.011513880913981,21.254775040227003,93.124500602417001,0.0
403,1e-05,26744.200000000001,5165.5881590401641,904.04607035175866,-4261.5420886884058,0.0,781.30439650625294,150.9073645575011,16.44539893325755,139.91908370478416,0.0
403,0,26311.0,5081.9164548764129,896.86952261306544,-4185.0469322633471,0.0,872.47143219706629,168.5160931812498,14.817229083615683,165.40111124523972,0.0
403,1e-05,26143.099999999999,5049.4869093337211,900.89131155778887,-4148.5955977759322,0.0,751.7730309076004,145.20344099812428,20.25066148683797,146.04710071956839,0.0
