N,t,S,SH,Epi,D,proportion_cancer,sd_S,sd_SH,sd_Epi,sd_D,sd_in_proportion
100,0,36532.900000000001,7056.255773416231,1028.518783919598,-6027.7369894966341,0.0,1600.766282128656,309.18477099163664,21.079822147567754,301.61983341438258,0.0
100,1e-05,37483.0,7239.7656675205244,1033.3930703517588,-6206.3725971687663,0.0,1502.0635805451113,290.12054373618582,19.772039151284307,274.17627876210076,0.0
793,0,36582.300000000003,7065.7972835401688,1027.9393618090453,-6037.8579217311226,0.0,2192.5681768191384,423.49011045629413,25.689617318211198,412.25615474107184,0.0
793,1e-05,37426.699999999997,7228.8914363468893,1028.5016733668344,-6200.3897629800567,0.0,1018.8006723594169,196.77929007268736,18.102502466192941,185.62002984075383,0.0
793,0,37516.0,7246.1395508016985,1041.0997638190954,-6205.039786982602,0.0,1064.4459591731277,205.59558493590595,20.345761308046132,199.75378743190038,0.0
793,1e-05,36587.800000000003,7066.8595974203636,1029.2765125628139,-6037.5830848575515,0.0,1322.520759761449,255.44221089838334,21.598670679662405,250.6977577121263,0.0
793,0,37902.599999999999,7320.8105591805215,1039.3270050251258,-6281.4835541553957,0.0,1307.0801964684492,252.45989731580346,17.258276547142277,238.87126923971226,0.0
793,1e-05,37093.599999999999,7164.5538448026946,1021.9591959798994,-6142.5946488227946,0.0,842.10928031936567,162.65170493174412,15.793276760222337,165.01164039524127,0.0
793,0,36842.699999999997,7116.0930170679621,1035.8442060301506,-6080.2488110378126,0.0,1160.3372828621857,224.11680023503209,19.352264630128253,217.89377827553486,0.0
793,1e-05,36764.0,7100.8922711822579,1033.7526884422109,-6067.1395827400465,0.0,904.96718172539272,174.79258150330298,25.642081640054272,165.89687473349969,0.0
793,0,37219.5,7188.8711752602567,1027.2487638190955,-6161.6224114411616,0.0,673.64564126846392,130.11329364592689,18.61822908456103,134.92162885131683,0.0
793,1e-05,37245.800000000003,7193.9509670873722,1032.1955527638193,-6161.7554143235539,0.0,1399.5549149640394,270.32120222944434,9.8574298013198085,266.7946361872477,0.0
793,0,36634.5,7075.8796080031143,1033.4735175879398,-6042.4060904151738,0.0,1566.978126841597,302.6586571102477,20.234415723158062,295.48388256573537,0.0
793,1e-05,37219.099999999999,7188.7939160689693,1030.2792462311556,-6158.5146698378139,0.0,1260.1770867620153,243.4006565038998,16.024544118388135,234.31850769858428,0.0
793,0,37134.0,7172.3570231226749,1034.8595979899499,-6137.4974251327249,0.0,1318.2184947875674,254.61123711692275,20.296456063389844,248.53953830841152,0.0
793,1e-05,38084.800000000003,7356.0021208117223,1035.4723417085429,-6320.529779103179,0.0,1003.4288016595895,193.81024432559721,24.650847681734973,179.21611755228963,0.0
793,0,37577.0,7257.9215774729555,1033.6595025125628,-6224.262074960393,0.0,1059.2393497222429,204.58993884710023,19.706662081076569,202.70531736050853,0.0
793,1e-05,36972.800000000003,7141.2215690340408,1033.6297788944726,-6107.591790139566,0.0,1325.5604701408381,256.02932481252861,22.376861114466585,244.24621048502368,0.0
793,0,37318.199999999997,7207.9348807103088,1032.3453165829144,-6175.5895641273946,0.0,1273.7461128498096,246.02148645913556,24.872660963066501,231.76583034068301,0.0
793,1e-05,37125.5,7170.7152653078274,1033.2083366834172,-6137.5069286244097,0.0,963.29001344351127,186.0575185335677,20.255811400690458,181.29402785039537,0.0
793,0,36581.5,7065.6427651575959,1021.0083417085428,-6044.6344234490516,0.0,1308.6046194324701,252.75433652925224,16.363388166978929,242.37251350357229,0.0
793,1e-05,38025.800000000003,7344.6063900968975,1027.1004170854271,-6317.5059730114699,0.0,1187.8835633175499,229.43730861239348,9.9483491163701814,231.46646766558817,0.0
793,0,37157.199999999997,7176.838056217317,1034.9975477386934,-6141.8405084786227,0.0,1529.0919396818492,295.34101665797868,27.004385419519604,279.36681384799215,0.0
793,1e-05,38083.400000000001,7355.731713642218,1040.2241708542713,-6315.5075427879447,0.0,1780.9435252135313,343.98564121425443,25.711219824740649,326.91152186840299,0.0
793,0,37234.400000000001,7191.7490801356953,1031.2715728643213,-6160.4775072713737,0.0,1337.7106712589236,258.37611159342089,14.77966283209788,253.83635918214074,0.0
793,1e-05,36892.5,7125.7117863831863,1040.9126532663317,-6084.799133116856,0.0,1159.1419455787113,223.88592325544127,22.98777650277647,213.14976475366277,0.0
793,0,37531.099999999999,7249.0560852727795,1035.0998140703518,-6213.956271202429,0.0,1500.2860693881019,289.77722104995047,24.238870034742124,276.07496649250891,0.0
793,1e-05,37810.5,7303.0216303867037,1047.4538894472362,-6255.5677409394684,0.0,1622.3211919962089,313.34805825321149,21.787577102703807,316.19063534258521,0.0
793,0,37289.400000000001,7202.3722189376494,1032.209085427136,-6170.163133510513,0.0,1518.5200163316913,293.2990710370272,10.931362371349538,290.46087407058155,0.0
793,1e-05,37862.099999999999,7312.9880660627186,1033.3305175879395,-6279.65754847478,0.0,897.43784743011577,173.33830580684779,22.740993366484417,169.21692056787745,0.0
