N,t,S,SH,Epi,D,proportion_cancer,sd_S,sd_SH,sd_Epi,sd_D,sd_in_proportion
100,0,25703.400000000001,4964.5597433115572,882.70551256281396,-4081.8542307487432,0.0,528.16213419744508,102.01344839119157,14.590695752235559,100.62874330290629,0.0
100,1e-05,26132.200000000001,5047.3815963711531,890.93368341708538,-4156.4479129540669,0.0,1144.2487317012854,221.00932910585786,14.219175821009651,212.37790039893278,0.0
100,0.2,73347.800000000003,14166.979276689754,1535.120226130653,-12631.8590505591,0.25,1599.0147466486978,308.84646545490682,38.282185053032933,307.49187352551166,0.0
100,0.4,108902.7,21034.336327409426,2121.3372814070349,-18912.999046002391,0.66666666666666674,4881.5993495984494,942.87104484201848,32.386086084913366,919.99041801505757,1.1102230246251565e-16
100,0.6,138369.20000000001,26725.731227550656,2707.015226130653,-24018.716001420002,1.5,3333.357610578259,643.83128315857198,25.086908845749686,630.84388112457873,0.0
100,0.8,164268.0,31728.032085805888,3230.4948442211053,-28497.537241584774,4.0,5437.3814285922599,1050.2192297291019,54.632670244618573,1023.3671949739261,0.0
100,0.9,176963.89999999999,34180.219502455395,3474.8660703517585,-30705.353432103635,9.0,4928.3952449047747,951.90957740930503,45.297009077596599,916.39543273334368,0.0
100,1,184323.10000000001,35601.63410375244,3733.6360050251251,-31867.998098727308,1.0,3642.5693528057914,703.55490601088115,50.494758451937692,693.80315847619158,0.0
403,0,26769.099999999999,5170.3975436977762,906.47642211055279,-4263.9211215872219,0.0,933.21985083901859,180.24952742184337,10.341505316060902,176.13767235916609,0.0
403,1e-05,26282.599999999999,5076.43105229504,897.72944221105513,-4178.7016100839846,0.0,852.66818868772157,164.69113673527417,16.934430890059076,158.92082560649496,0.0
623,0.2,100801.10000000001,19469.528667083832,2008.8637839195981,-17460.664883164234,0.54590570719602993,7780.2905787637519,1502.7473952316304,131.83893172256086,1377.6699795149716,1.1102230246251565e-16
843,0.4,126546.5,24442.200625480516,2482.9501407035177,-21959.250484777003,1.0918114143920599,7734.1478166634497,1493.8350140225939,163.96299197687435,1332.6061769322698,2.2204460492503131e-16
1063,0.6,140788.20000000001,27192.956186858395,2714.8501608040206,-24478.106026054378,1.6377171215880892,6707.3857172522894,1295.5179904111369,103.37510879867216,1205.8431629307586,0.0
1100,0.8,164289.10000000001,31732.107508146262,3221.1752211055277,-28510.932287040738,4.0,8432.4458189780253,1628.7098613628607,137.11097663576396,1499.664732218409,0.0
1100,0.9,178760.39999999999,34527.209845322839,3480.937185929648,-31046.272659393202,9.0,7053.316882148426,1362.3338955131953,64.050211563903375,1306.5529232342453,0.0
1100,1,185243.70000000001,35779.446132499317,3723.5867085427135,-32055.859423956608,1.0,4591.2389841958784,886.78852731006475,34.238788693458453,861.54517914415669,0.0
403,0,26392.599999999999,5097.6773298989474,898.75390452261286,-4198.9234253763334,0.0,600.46818400311599,115.97921572403918,10.318497882446955,117.13313555942516,0.0
403,1e-05,26353.299999999999,5090.0866143550056,893.44230653266334,-4196.6443078223438,0.0,847.31470540761893,163.65712226330194,18.37538431805897,153.77575152369496,0.0
823,0.2,122711.60000000001,23701.497443814842,2414.737462311557,-21286.759981503288,1.042183622828784,8094.8730095042256,1563.5083557118489,146.70186109329799,1422.7007315285841,2.2204460492503131e-16
1243,0.4,147972.70000000001,28580.627836360865,2883.3255979899495,-25697.302238370925,2.0843672456575679,6585.3572423977121,1271.9484372080306,97.945800923230209,1185.2980922199076,4.4408920985006262e-16
1663,0.6,158887.10000000001,30688.7221298162,3151.1310100502515,-27537.591119765944,3.1265508684863521,7702.139033411433,1487.6525822522694,133.36373565633815,1372.0380444309035,4.4408920985006262e-16
2083,0.8,165476.0,31961.354843492427,3233.5212864321611,-28727.833557060269,4.1687344913151358,6832.6507740407751,1319.7126828711137,84.580711970732025,1264.3245971982938,8.8817841970012523e-16
2100,0.9,171768.0,33176.64192243592,3423.2113316582909,-29753.430590777636,9.0,7506.0704100081557,1449.7823240500697,72.947577726708275,1392.6903814527514,0.0
2100,1,183546.89999999999,35451.712643060142,3692.9479949748738,-31758.764648085264,1.0,5958.1138198258686,1150.7976382881563,70.394852057693527,1097.0178184533208,0.0
403,0,26339.299999999999,5087.3825426599624,908.9849497487437,-4178.3975929112194,0.0,753.75712931951762,145.5866655949703,13.474795868135129,142.10695796485558,0.0
403,1e-05,26330.900000000001,5085.7600996429373,900.29024120603003,-4185.4698584369071,0.0,489.59972426462821,94.565196877479735,13.747141508471842,91.877452669570005,0.0
1023,0.2,143367.5,27691.14276707438,2752.8984271356785,-24938.244339938705,1.5384615384615385,7579.1820699861801,1463.9036933589384,126.91283452603248,1338.9310205603169,0.0
1643,0.4,158019.20000000001,30521.088999521366,3146.3399447236179,-27374.74905479775,3.0769230769230771,7101.6864166196465,1371.676373303625,157.13724495527731,1247.7096747333803,0.0
2263,0.6,164115.29999999999,31698.538389532092,3250.0382663316586,-28448.500123200436,4.6153846153846141,6268.5925701069455,1210.7659811843912,82.273716906245113,1147.5483560659272,8.8817841970012523e-16
2883,0.8,168523.60000000001,32549.992621907586,3356.698703517588,-29193.293918389994,6.1538461538461542,7161.20008378484,1383.1713177928818,128.88457950837841,1261.6815661957028,0.0
3100,0.9,174117.79999999999,33630.501041651027,3444.0923668341702,-30186.408674816856,9.0,6421.4871766593142,1240.2972653203169,129.77177517084715,1126.9733816349683,0.0
3100,1,186734.10000000001,36067.31387923444,3739.3197839195973,-32327.994095314847,1.0,3715.0993109202341,717.56392078087492,40.50134263893856,701.5021122241028,0.0
403,0,26297.400000000001,5079.2896423726561,894.82112562814075,-4184.4685167445159,0.0,841.50260843327158,162.53452748350361,14.692519473792307,161.58158769708794,0.0
403,1e-05,26386.0,5096.4025532427131,907.58788944723619,-4188.814663795476,0.0,403.55668746782032,77.946158280496178,17.632718727968562,66.934128700297762,0.0
1223,0.2,145717.0,28144.943941896025,2872.3692763819099,-25272.574665514108,2.0347394540942929,6224.0210796558204,1202.1570879176229,99.512026634201078,1146.6342710264792,0.0
2043,0.4,167595.89999999999,32370.809242515366,3250.0897738693466,-29120.719468646013,4.0694789081885858,5032.0915422913358,971.9383075981433,65.64418642408198,928.87586981055597,0.0
2863,0.6,173951.89999999999,33598.457792064772,3400.3642562814071,-30198.093535783362,6.1042183622828787,5744.0039597827572,1109.4427517044294,87.678882061310716,1047.1362652286334,0.0
3683,0.8,174696.89999999999,33742.353035836692,3467.8760000000002,-30274.477035836688,8.1389578163771716,4198.1538430600658,810.8649270324039,93.868635088392622,751.22753888540967,0.0
4093,0.9,176645.10000000001,34118.643926999721,3484.2282763819094,-30634.415650617804,9.1563275434243163,7863.1324858481175,1518.7481420966458,84.940914453467258,1442.6554893321791,1.7763568394002505e-15
4100,1,184997.39999999999,35731.873785464391,3722.0125979899494,-32009.861187474442,1.0,5225.6612251465367,1009.3259004857972,49.983008933308788,974.54297310875666,0.0
403,0,25704.099999999999,4964.6949468963094,875.6211507537688,-4089.0737961425402,0.0,1214.0143697666845,234.48442104723239,10.827916557097945,232.30806575413263,0.0
403,1e-05,26697.0,5156.4715744683053,896.12394472361814,-4260.3476297446878,0.0,781.50841326245495,150.94676998148415,16.265997599369797,152.96909308701228,0.0
1423,0.2,157266.20000000001,30375.648571923713,3092.0194974874371,-27283.629074436274,2.5310173697270466,5359.1243837029942,1035.1040397274783,89.64665935635982,971.66303247837027,4.4408920985006262e-16
2443,0.4,168981.89999999999,32638.512340324593,3315.3642814070358,-29323.148058917555,5.0620347394540932,6592.2499565777998,1273.2797510163446,104.21140502449208,1196.3179722775124,8.8817841970012523e-16
3463,0.6,175345.0,33867.532240519344,3428.4477336683412,-30439.084506851003,7.5930521091811425,5911.206306668716,1141.7375469586475,116.99427625584336,1040.8133237037691,8.8817841970012523e-16
4483,0.8,179025.29999999999,34578.374744752618,3477.0057236180901,-31101.369021134527,10.124069478908186,6771.8613253669037,1307.9713237628077,94.570190228663492,1231.5834745990257,1.7763568394002505e-15
4993,0.9,177964.39999999999,34373.464054661847,3533.6182562814065,-30839.845798380433,11.389578163771715,4158.1143130029504,803.13137275310078,57.793602354327135,767.53238536098479,1.7763568394002505e-15
5100,1,181395.5,35036.174082723352,3707.8936834170854,-31328.28039930627,1.0,5151.7426226472144,995.04867186040269,44.109326342591473,960.98937347050844,0.0
403,0,26518.700000000001,5122.0332899521536,900.28213065326622,-4221.7511592988876,0.0,811.69834914209355,156.77789505914743,13.860762346350231,154.38438525991862,0.0
403,1e-05,26640.599999999999,5145.5780284968478,899.37206532663311,-4246.2059631702141,0.0,1099.2278380754374,212.31363452448738,18.61308367102497,202.67873847561293,0.0
1623,0.2,159289.10000000001,30766.367617059568,3093.2101407035179,-27673.157476356049,3.0272952853598016,5132.6824653391523,991.36724101184552,104.60002247032416,911.77169774653953,0.0
2843,0.4,170570.20000000001,32945.289274127201,3353.5450502512563,-29591.744223875943,6.0545905707196033,7236.1748292865341,1397.6525383038938,98.12983056287959,1321.2946688287491,0.0
4063,0.6,173747.89999999999,33559.05560450843,3462.3331608040207,-30096.722443704413,9.0818858560794062,7075.4250677962809,1366.6040468731317,111.47819479985166,1265.9034215726722,1.7763568394002505e-15
5283,0.8,179654.29999999999,34699.864823051328,3548.3917437185928,-31151.473079332733,12.109181141439207,5953.4326913134746,1149.8934877802103,82.418005959178956,1087.4466434459484,0.0
5893,0.9,181611.60000000001,35077.913360816128,3619.0543718592962,-31458.858988956828,13.622828784119108,6921.3940098798012,1336.8532594538856,61.415971228326676,1291.2936222532912,0.0
6100,1,184733.29999999999,35680.863404417192,3726.4768793969852,-31954.386525020207,1.0,5383.8745537020086,1039.8844850233238,56.159066431190709,1004.3003392799594,0.0
403,0,26357.700000000001,5090.9364654591618,903.48051758793974,-4187.4559478712217,0.0,597.43485837369758,115.39333501144201,15.300041039379474,105.2828451830304,0.0
403,1e-05,26640.299999999999,5145.5200841033811,899.96754271356781,-4245.552541389814,0.0,644.37629534302391,124.45997865668407,12.347081774491336,125.96315215432823,0.0
1823,0.2,159145.70000000001,30738.670196983199,3130.839366834171,-27607.830830149032,3.5235732009925558,7687.8581158863753,1484.8942519052159,150.58547654246794,1362.0898774535704,0.0
3243,0.4,170329.0,32898.701981781182,3355.1352814070351,-29543.566700374144,7.0471464019851116,4665.128722768537,901.0601809263801,41.843477306051362,886.07343191309656,0.0
4663,0.6,177730.89999999999,34328.364001748094,3541.0737537688447,-30787.290247979254,10.57071960297767,9462.2736004619946,1827.6190152685379,110.87936127190339,1743.2882634883167,1.7763568394002505e-15
6083,0.8,181331.29999999999,35023.773982521801,3565.3202562814067,-31458.453726240397,14.094292803970223,5741.3945701371194,1108.9387533699946,78.237648124016431,1059.1006757532882,0.0
6793,0.9,181642.79999999999,35083.939577736506,3576.6638291457289,-31507.275748590782,15.856079404466502,4592.6671292398278,887.06437063790349,106.0543976921923,789.90809011544877,1.7763568394002505e-15
