N,t,S,SH,Epi,D,proportion_cancer,sd_S,sd_SH,sd_Epi,sd_D,sd_in_proportion
100,0,25703.400000000001,4964.5597433115572,882.70551256281396,-4081.8542307487432,0.0,528.16213419744508,102.01344839119157,14.590695752235559,100.62874330290629,0.0
100,1e-05,26132.200000000001,5047.3815963711531,890.93368341708538,-4156.4479129540669,0.0,1144.2487317012854,221.00932910585786,14.219175821009651,212.37790039893278,0.0
100,0.2,53983.5,10426.803882095734,1211.0313266331661,-9215.7725554625667,0.25,2065.1147304689875,398.87273497693047,17.433419353975168,392.36867021354271,0.0
100,0.4,75541.199999999997,14590.630052111665,1489.605326633166,-13101.024725478503,0.66666666666666674,1732.7258756075641,334.67249967846971,23.624360558386144,328.76482267119366,1.1102230246251565e-16
100,0.6,94620.699999999997,18275.796902509388,1773.8374422110555,-16501.959460298334,1.5,2515.8360856780791,485.92865347494563,24.397884150747167,466.4320657888573,0.0
100,0.8,109976.2,21241.680682025744,1976.3463919597987,-19265.334290065941,4.0,2739.04486272131,529.04097748121069,20.2980952428302,521.6631802958799,0.0
100,0.9,116716.0,22543.459425614968,2088.870814070352,-20454.588611544612,9.0,3695.8072731136836,713.83770268284604,30.626286581800329,694.58183033272496,0.0
100,1,119941.5,23166.45822935499,2177.1304221105529,-20989.327807244441,1.0,2765.0792484122403,534.06946644154425,28.437439347098046,511.92811103030243,0.0
403,0,26333.099999999999,5086.1850251950145,895.96637185929649,-4190.218653335719,0.0,618.7711127711118,119.51438941103331,11.151131056860438,118.88281870313175,0.0
403,1e-05,26253.900000000001,5070.8877053202023,891.1307336683418,-4179.7569716518601,0.0,582.96302627182115,112.59812989986384,15.169625956459774,102.20366614359327,0.0
623,0.2,71189.0,13750.011421314161,1447.1845025125629,-12302.826918801598,0.54590570719602993,4256.8800077051737,822.20776700206579,61.575342324323422,764.55112631221277,1.1102230246251565e-16
843,0.4,85190.699999999997,16454.411467919879,1633.4325175879399,-14820.978950331943,1.0918114143920599,4676.5559988093792,903.26733619020149,67.344635521270789,839.80062013990369,2.2204460492503131e-16
1063,0.6,98842.199999999997,19091.171092553886,1828.4312060301509,-17262.739886523737,1.6377171215880892,5778.8709416286501,1116.1772387545054,76.794708962823265,1041.4425403414805,0.0
1100,0.8,108493.39999999999,20955.280859925075,1958.1075628140702,-18997.173297111,4.0,4075.0642743397311,787.09042569442784,45.021158245524603,748.93032910224065,0.0
1100,0.9,116723.5,22544.908035451597,2094.1618442211056,-20450.746191230493,9.0,2534.9654928617865,489.62345979697568,36.566577949934349,461.53717991450418,0.0
1100,1,121764.10000000001,23518.489734453913,2177.1964924623117,-21341.2932419916,1.0,2709.7328078613214,523.37941334760831,39.626565811244312,496.41904584783583,0.0
403,0,26158.700000000001,5052.500017793911,894.61836683417073,-4157.88165095974,0.0,684.16095328511699,132.14430490226781,10.964315109074963,131.92339337649688,0.0
403,1e-05,26074.799999999999,5036.2949024214777,897.8666231155778,-4138.4282793058992,0.0,632.75442313744441,122.21523753707611,12.593761784364368,120.62873226055969,0.0
823,0.2,89138.300000000003,17216.882426730652,1676.1117085427136,-15540.770718187938,1.042183622828784,3609.6650550986028,697.19950743407583,44.366579974405198,658.72317351697723,2.2204460492503131e-16
1243,0.4,101342.3,19574.060352895056,1856.9352412060302,-17717.125111689027,2.0843672456575679,4536.9284113814274,876.29854997512712,58.87932897637414,819.58596769363271,4.4408920985006262e-16
1663,0.6,110013.3,21248.846472017605,1980.8211005025125,-19268.025371515094,3.1265508684863521,4779.8348099071372,923.21542974642318,52.870989818835035,873.85212126257306,4.4408920985006262e-16
2083,0.8,111068.10000000001,21452.578959441256,1981.3067437185932,-19471.27221572266,4.1687344913151358,2685.9049294418446,518.77710680567759,38.063920381220683,500.39231268721772,8.8817841970012523e-16
2100,0.9,116595.39999999999,22520.165779441952,2082.629040201005,-20437.536739240946,9.0,3841.523192693232,741.98243794371547,41.684208373644367,709.96760336634202,0.0
2100,1,121111.60000000001,23392.460678667099,2169.4771608040201,-21222.983517863078,1.0,3291.9579037405688,635.83501348408083,30.459305285982971,609.43949238107268,0.0
403,0,26318.099999999999,5083.2878055217561,890.61346733668347,-4192.6743381850729,0.0,584.31215116579597,112.85871064549765,16.076467780362208,110.50965550224511,0.0
403,1e-05,26199.799999999999,5060.4383996986435,896.03697487437182,-4164.401424824272,0.0,991.19461257615808,191.44723543900375,19.162904748931044,178.76388844716439,0.0
1023,0.2,92970.100000000006,17956.986849663848,1743.8927386934672,-16213.094110970382,1.5384615384615385,3066.3077944002948,592.25115108048624,35.797707536322342,570.57463243914151,0.0
1643,0.4,106400.39999999999,20551.02214151618,1938.4120201005026,-18612.610121415677,3.0769230769230771,3582.6258023968953,691.97693044223251,46.437342498855543,654.2414500426645,0.0
2263,0.6,110945.0,21428.8024433227,1994.7918090452263,-19434.010634277474,4.6153846153846141,2931.4979447374681,566.21290117432727,37.912613266322055,541.00883810030348,8.8817841970012523e-16
2883,0.8,115454.5,22299.803251093796,2051.752587939699,-20248.050663154096,6.1538461538461542,3248.908101193384,627.52003115943671,45.853282508603961,596.56077610196314,0.0
3100,0.9,116062.39999999999,22417.217907052116,2061.3005125628142,-20355.917394489297,9.0,3390.7529016429371,654.91706758690998,53.887329873864871,617.04585988476254,0.0
3100,1,120624.0,23298.281724488326,2162.6727236180905,-21135.609000870238,1.0,2762.3618517493323,533.54460677008944,35.631214541178096,506.24614948393508,0.0
403,0,26677.200000000001,5152.6472444996016,907.70968844221102,-4244.9375560573917,0.0,440.0076817511258,84.986594130328484,9.4260140232795546,83.489229883161485,0.0
403,1e-05,26543.0,5126.7267858228352,901.43948241206033,-4225.2873034107743,0.0,587.9527191875211,113.56187899845669,20.701091433295456,114.63431744779314,0.0
1223,0.2,99019.600000000006,19125.435543889645,1820.6286130653266,-17304.806930824318,2.0347394540942929,3705.6056778885691,715.73024475486977,46.201402964051567,674.92827961589978,0.0
2043,0.4,109853.5,21217.981425098475,1970.5542512562813,-19247.427173842192,4.0694789081885858,2644.1171021722921,510.70587245446762,56.306309407329024,471.37882190084264,0.0
2863,0.6,113632.7,21947.926264377445,2015.2413216080404,-19932.684942769403,6.1042183622828787,2047.2398027588267,395.42022882893184,32.980176078400426,371.71339019415154,0.0
3683,0.8,115573.10000000001,22322.710601310366,2077.0181658291463,-20245.692435481225,8.1389578163771716,4930.6922931775007,952.3532476390501,55.478117184734046,905.30630252460844,0.0
4093,0.9,116752.89999999999,22550.586586011188,2105.0918040201009,-20445.494781991085,9.1563275434243163,1969.4150629057351,380.38853767101733,35.83063932638855,361.14604252537129,1.7763568394002505e-15
4100,1,122940.7,23745.74764562444,2191.6757185929646,-21554.071927031469,1.0,2232.804785466029,431.26173006676328,23.364176404963203,419.21859416497625,0.0
403,0,26363.700000000001,5092.0953533284664,896.65631658291454,-4195.4390367455508,0.0,638.48117435050506,123.32134795563252,15.186344723882678,127.80288381579395,0.0
403,1e-05,26180.900000000001,5056.7879029103369,891.65325125628146,-4165.1346516540552,0.0,807.51810506019001,155.97048936627274,15.86678836951026,158.01392326467271,0.0
1423,0.2,104262.39999999999,20138.071764087505,1892.3898693467338,-18245.681894740777,2.5310173697270466,5476.1898287038957,1057.7149937485146,83.081158814364841,976.12541925566791,4.4408920985006262e-16
2443,0.4,112403.10000000001,21710.431510361403,2025.352467336684,-19685.079043024718,5.0620347394540932,4954.9717345308836,957.04277264870257,67.450345513064576,897.20332061831073,8.8817841970012523e-16
3463,0.6,115442.0,22297.388901366074,2055.6081708542711,-20241.7807305118,7.5930521091811425,4384.8137702757685,846.91791458831278,58.142608842696959,793.06073609967461,8.8817841970012523e-16
4483,0.8,117032.7,22604.629390316397,2074.1316381909551,-20530.49775212544,10.124069478908186,3282.392909144181,633.98755411612876,45.066270318272245,594.82015213246109,1.7763568394002505e-15
4993,0.9,117810.10000000001,22754.782628582558,2103.9138894472362,-20650.86873913532,11.389578163771715,3899.4497675954231,753.17083877112952,51.694492598859142,718.23809468289187,1.7763568394002505e-15
5100,1,120700.60000000001,23313.076859619778,2165.9360402010047,-21147.140819418768,1.0,4482.7411524646395,865.83239047021038,42.73169553453112,826.17275301584516,0.0
403,0,26329.0,5085.3931184843259,893.20458291457271,-4192.1885355697505,0.0,1237.9067816277604,239.0991920929354,14.251587501126528,232.40537512924178,0.0
403,1e-05,26683.5,5153.864076762371,897.87152763819108,-4255.9925491241793,0.0,790.57159701066917,152.69730559866386,9.8308891492433368,150.04763377676562,0.0
1623,0.2,105117.5,20303.232600261159,1913.5694974874373,-18389.66310277372,3.0272952853598016,2477.7753832823505,478.5773057576788,48.853006762497422,438.13473508969162,0.0
2843,0.4,114348.3,22086.142957589771,2061.0699346733672,-20025.0730229164,6.0545905707196033,4622.6300317027317,892.85164467013715,56.901799696102387,840.499820222425,0.0
4063,0.6,116377.39999999999,22478.059520190574,2077.68016080402,-20400.379359386552,9.0818858560794062,4457.5732231787288,860.97125581272007,61.922984956533043,803.78948853777251,1.7763568394002505e-15
5283,0.8,116113.7,22427.126398334662,2087.6266733668344,-20339.499724967827,12.109181141439207,2508.3423629959293,484.48125608956695,18.675173865671358,477.37950229766068,0.0
5893,0.9,117674.89999999999,22728.66902192757,2103.4842462311562,-20625.184775696416,13.622828784119108,2748.7946976811495,530.9241383916559,35.50384652921948,507.04244602655729,0.0
6100,1,118519.8,22891.8597487234,2143.4181708542719,-20748.441577869125,1.0,3259.7528679333959,629.61467592950839,22.557524175694606,616.18533893088011,0.0
403,0,26279.200000000001,5075.7743491690999,900.44515577889433,-4175.3291933902065,0.0,983.81632432075446,190.02213397976789,14.990025843291809,181.72841462194066,0.0
403,1e-05,26659.299999999999,5149.1898956895111,891.46341206030138,-4257.7264836292106,0.0,670.69218722153005,129.54283996800368,15.24224157356419,132.57247679005417,0.0
1823,0.2,109969.8,21240.444534965154,1962.8114974874375,-19277.63303747771,3.5235732009925558,4724.8933490609079,912.60359766366753,59.49975508197636,860.96937461075856,0.0
3243,0.4,114357.2,22087.861974595904,2056.4945226130653,-20031.367451982838,7.0471464019851116,3307.7946973776952,638.89385815653714,54.728118038502473,594.50775982964103,0.0
4663,0.6,116758.5,22551.668214689205,2076.7349849246229,-20474.933229764581,10.57071960297767,2925.8499705213871,565.1220063734678,41.161159623795925,541.79914782071114,1.7763568394002505e-15
6083,0.8,118890.60000000001,22963.47901904639,2116.5322713567843,-20846.946747689606,14.094292803970223,3046.6584383550444,588.45591768707288,43.365213786108335,554.68810316372014,0.0
6793,0.9,118196.10000000001,22829.337748174446,2119.3818442211054,-20709.955903953341,15.856079404466502,3315.4997647413584,640.38207633985712,60.5927296048391,589.39248128287954,1.7763568394002505e-15
7100,1,119798.3,23138.799438874274,2156.5011909547734,-20982.298247919494,1.0,2791.0935509222904,539.09407637609479,49.710560760485961,498.83109043993556,0.0
