N,t,S,SH,Epi,D,proportion_cancer,sd_S,sd_SH,sd_Epi,sd_D,sd_in_proportion
100,0,36532.900000000001,7056.255773416231,1028.518783919598,-6027.7369894966341,0.0,1600.766282128656,309.18477099163664,21.079822147567754,301.61983341438258,0.0
100,1e-05,37483.0,7239.7656675205244,1033.3930703517588,-6206.3725971687663,0.0,1502.0635805451113,290.12054373618582,19.772039151284307,274.17627876210076,0.0
100,0.2,64393.800000000003,12437.532279731697,1376.6885175879397,-11060.843762143759,0.25,1998.7318379412482,386.05101349697844,12.689136842347269,377.69862986945765,0.0
100,0.4,88085.300000000003,17013.497605667792,1708.945552763819,-15304.552052903973,0.66666666666666674,3166.8372566331855,611.66821346204438,39.877045445353566,574.55777218428284,1.1102230246251565e-16
100,0.6,106392.7,20549.534902083906,1979.3868542713565,-18570.148047812552,1.5,3545.6876921127723,684.84240912168593,42.765755605659834,646.18594901092661,0.0
100,0.8,122330.5,23627.888749316211,2225.6062613065324,-21402.282488009681,4.0,2789.4487000122444,538.77637674835012,30.92941337894165,519.12674274673566,0.0
100,0.9,129134.0,24941.971019117882,2343.8400753768842,-22598.130943741002,9.0,1672.0812779287974,322.95911824701221,30.296498102185872,297.83640158631789,0.0
100,1,130559.5,25217.303462066695,2410.1701959798997,-22807.133266086803,1.0,3475.6005020715484,671.30521006628817,31.697594413686758,643.98151759826237,0.0
793,0,37378.699999999997,7219.6203333924586,1037.269055276382,-6182.3512781160762,0.0,1738.2351998506992,335.73661451737519,17.511363271042431,324.4697693372799,0.0
793,1e-05,37088.0,7163.4722161246773,1027.9754020100504,-6135.4968141146273,0.0,1027.9785017207316,198.55196925824887,21.795028642596513,202.15324046536341,0.0
1013,0.2,67423.800000000003,13022.770653730238,1426.7735929648243,-11595.997060765414,0.27742749054224458,3867.8022648527412,747.05818760075294,51.172205072753194,697.6951036929604,5.5511151231257827e-17
1100,0.4,83650.800000000003,16156.982896262998,1655.2195829145726,-14501.763313348425,0.66666666666666674,5112.5908656961783,987.48658916165311,70.527311521955198,917.85884498193946,1.1102230246251565e-16
1100,0.6,102411.89999999999,19780.651430396323,1925.1353015075376,-17855.516128888783,1.5,4484.7351192684728,866.21752112700301,80.112966494740974,791.43043521817663,0.0
1100,0.8,122173.7,23597.603146331734,2228.4369597989944,-21369.166186532741,4.0,5573.9380701618857,1076.5948689604261,60.055382766181573,1021.246370389908,0.0
1100,0.9,127283.89999999999,24584.627944617987,2326.1282160804017,-22258.499728537579,9.0,3232.8060705832636,624.40995650189825,54.254823628638654,571.39086363687215,0.0
1100,1,133236.10000000001,25734.283340563234,2461.470015075377,-23272.813325487856,1.0,3962.6941958722982,765.38637222631905,36.085131403675462,737.0743102985823,0.0
793,0,37435.0,7230.4945645660937,1046.9752462311558,-6183.5193183349384,0.0,1139.3047002448466,220.05439942580392,28.751463696495311,207.54658195373764,0.0
793,1e-05,36954.900000000001,7137.7642202239495,1035.4944522613064,-6102.2697679626426,0.0,1341.0648343760265,259.02396141810067,20.540395607004051,246.07562144218338,0.0
1213,0.2,80321.5,15513.935332384013,1602.5602512562816,-13911.375081127731,0.52963430012610335,5316.659877216146,1026.9021061535461,75.926555297021977,952.53167892897488,0.0
1633,0.4,97681.100000000006,18866.906975045735,1849.9987487437186,-17016.908226302014,1.0592686002522067,4645.4306463448575,897.25553729037688,54.555761380090253,847.86217399602515,0.0
2053,0.6,109351.89999999999,21121.098399224658,2045.6768994974875,-19075.42149972717,1.5889029003783099,3357.9743730409855,648.58596105850415,62.875887264069576,592.52442530018857,2.2204460492503131e-16
2100,0.8,121188.7,23407.352387787658,2224.6292663316581,-21182.723121456002,4.0,6643.7893411817331,1283.2344789511601,77.628607969416876,1211.5070067790857,0.0
2100,0.9,126367.39999999999,24407.607822581791,2329.3122060301512,-22078.295616551641,9.0,4481.408109065721,865.57491583283354,66.985723819463999,800.89612572132614,0.0
2100,1,132618.29999999999,25614.956519620559,2447.8038592964822,-23167.152660324075,1.0,2856.0670177711168,551.64357013571646,24.808419311669756,536.94801965025908,0.0
793,0,36819.099999999999,7111.5347247820346,1037.8310100502513,-6073.7037147317842,0.0,1048.6592821312363,202.54642018249473,22.036076590043503,201.86358098432507,0.0
793,1e-05,37665.199999999997,7274.9572291517252,1045.3013668341709,-6229.6558623175551,0.0,1212.5905986770638,234.20942253982778,25.829565417017346,237.86445252942963,0.0
1413,0.2,91960.100000000006,17761.907391664339,1776.1242060301508,-15985.783185634185,0.78184110970996212,3827.0317597323383,739.183446965847,61.815698687454088,682.76155285913239,0.0
2033,0.4,107839.2,20828.923452575287,2004.3784321608043,-18824.54502041448,1.5636822194199242,5412.6824366482097,1045.4486693711026,80.845882501319366,975.98897173926582,0.0
2653,0.6,113805.10000000001,21981.224975822108,2105.8409648241204,-19875.38401099799,2.3455233291298865,2190.0408877461623,423.0019696814785,35.819451646578919,397.12761374589286,0.0
3100,0.8,123131.89999999999,23782.67753905959,2242.1259849246235,-21540.551554134971,4.0,2836.9912742199258,547.95912883581195,41.419862583593151,515.55578188900108,0.0
3100,0.9,126995.7,24528.962697295749,2327.1142361809048,-22201.848461114841,9.0,3324.6772489972614,642.15468886900669,42.924483210634527,607.54052062676044,0.0
3100,1,131187.39999999999,25338.581077589366,2425.7439547738691,-22912.837122815501,1.0,1838.2395491338989,355.05225239436544,22.593659544826028,348.4379411745644,0.0
793,0,37263.199999999997,7197.3117419083555,1040.2373618090453,-6157.0743800993096,0.0,1711.9467164605328,330.65904710016446,21.882283607637444,314.71915151326237,0.0
793,1e-05,37801.599999999999,7301.3026133805706,1040.4460150753771,-6260.8565983051931,0.0,1086.5651568129729,209.86786323983193,23.937911223172069,205.4737723966484,0.0
1613,0.2,99542.100000000006,19226.355362508202,1900.5635226130657,-17325.791839895137,1.034047919293821,6190.5230546376288,1195.6870121110853,90.626137705632416,1111.2703678496221,0.0
2433,0.4,112217.0,21674.486671615156,2074.4118291457285,-19600.074842469428,2.068095838587642,6190.9323368940159,1195.7660641514267,84.204065727366483,1113.3517981700554,0.0
3253,0.6,118230.5,22835.98203862513,2183.1365226130652,-20652.845516012061,3.1021437578814632,4177.7644560219051,806.92675814889333,61.211183044413005,755.14137195873991,4.4408920985006262e-16
