N,t,S,SH,Epi,D,proportion_cancer,sd_S,sd_SH,sd_Epi,sd_D,sd_in_proportion
100,0,34907.199999999997,6742.2551052283034,1013.7541959798997,-5728.5009092484052,0.0,705.38015282541085,136.24275039286599,18.840195966646462,133.04678113478931,0.0
100,1e-05,34852.5,6731.6899108198149,1011.7225175879397,-5719.9673932318765,0.0,1723.2511859853746,332.84248253370725,20.313532116784703,335.98319720200061,0.0
100,0.1,44288.400000000001,8554.2149184808059,1189.2380100502512,-7364.9769084305563,0.099999999999999992,1081.6786214028639,208.92403880488169,22.942055327345077,198.39298172434368,1.3877787807814457e-17
100,0.2,52181.199999999997,10078.693280954623,1364.4643618090452,-8714.2289191455748,0.19999999999999998,1540.9373640742183,297.62893643049097,23.860795048147235,277.32244451235516,2.7755575615628914e-17
100,0.3,58200.0,11241.212332249142,1508.6687437185931,-9732.5435885305487,0.29999999999999993,1065.9491545097262,205.88592407603574,16.369775909991827,202.63496559965614,5.5511151231257827e-17
100,0.4,62122.0,11998.738702817547,1632.9997889447236,-10365.738913872823,0.39999999999999997,1668.6233247800415,322.29122158756002,22.511739848301392,315.01062402151371,5.5511151231257827e-17
100,0.5,67574.5,13051.878054047591,1767.607035175879,-11284.271018871712,0.5,1995.5937587595326,385.44489984754421,16.027100198309306,382.10369512906271,0.0
100,0.6,70611.5,13638.468463893649,1860.3843115577886,-11778.084152335859,0.59999999999999987,1130.0814351187264,218.27294441413105,16.029531332463232,211.0199156049828,1.1102230246251565e-16
100,0.7,72969.199999999997,14093.853452136671,1938.5511859296482,-12155.302266207022,0.70000000000000007,1769.9989717511139,341.87172284049683,18.815795932806985,340.51014885894369,1.1102230246251565e-16
100,0.8,76422.0,14760.754791325497,2032.1782211055277,-12728.576570219968,0.79999999999999993,2373.4369593481938,458.42455012441297,27.43280749980082,437.89976189139151,1.1102230246251565e-16
100,0.9,76609.399999999994,14796.950722443429,2068.4048190954773,-12728.545903347951,0.90000000000000013,2185.1364808633807,422.0546934077135,25.460513736846874,400.36775389559199,1.1102230246251565e-16
100,1,75892.300000000003,14658.444307263775,2132.2075226130651,-12526.236784650708,1.0,1389.2963722690704,268.33978544845479,21.64633564440318,266.81279173180963,0.0
714,0,35224.199999999997,6803.4830143232011,1019.9615125628141,-5783.5215017603859,0.0,1038.12030131387,200.51083734514913,23.282470725537365,190.34808315009181,0.0
714,1e-05,34895.099999999999,6739.9180146918734,1001.6664773869346,-5738.25153730494,0.0,1127.4452935730408,217.76377900428727,15.890576665739808,210.49187870920682,0.0
824,0.1,47602.699999999997,9194.3652626865332,1258.3221859296482,-7936.043076756886,0.13349514563106799,2306.1854240281723,445.43505204533864,44.212250618733968,406.99338759346614,2.7755575615628914e-17
934,0.2,52913.300000000003,10220.096915807537,1395.4845226130653,-8824.6123931944712,0.23554603854389722,2034.2312085896233,392.90764516570005,64.351811758681933,333.57693473857375,0.0
1044,0.3,58748.300000000003,11347.11536870571,1517.9899648241203,-9829.1254038815896,0.31609195402298856,2963.3194242268246,572.35915560158105,70.207357894487899,506.36591778468556,5.5511151231257827e-17
1100,0.4,63237.300000000003,12214.156642923346,1663.4743819095479,-10550.682261013797,0.39999999999999997,3004.8452888626398,580.37979239971548,70.711228162336155,528.47344937370383,5.5511151231257827e-17
