N,t,S,SH,Epi,D,proportion_cancer,sd_S,sd_SH,sd_Epi,sd_D,sd_in_proportion
100,0,34907.199999999997,6742.2551052283034,1013.7541959798997,-5728.5009092484052,0.0,705.38015282541085,136.24275039286599,18.840195966646462,133.04678113478931,0.0
100,1e-05,34852.5,6731.6899108198149,1011.7225175879397,-5719.9673932318765,0.0,1723.2511859853746,332.84248253370725,20.313532116784703,335.98319720200061,0.0
100,0.1,48546.900000000001,9376.7355837193463,1225.6083517587938,-8151.1272319605514,0.099999999999999992,1620.1572423687771,312.9300957577089,28.902176315962681,290.67051716312187,1.3877787807814457e-17
100,0.2,60601.800000000003,11705.115146331549,1429.1820301507535,-10275.933116180795,0.19999999999999998,1924.6544001456468,371.74310615523751,21.149991300480501,363.31192330369788,2.7755575615628914e-17
100,0.3,72426.100000000006,13988.954785166832,1637.8607336683417,-12351.09405149849,0.29999999999999993,1714.1759798807122,331.08962482268589,25.250407727267987,311.45533158876839,5.5511151231257827e-17
100,0.4,80620.699999999997,15571.725207466641,1794.1050301507535,-13777.620177315886,0.39999999999999997,1731.8302486098341,334.49951113462157,24.814609959496821,318.34655771895495,5.5511151231257827e-17
100,0.5,89439.800000000003,17275.116542163178,1957.5953768844222,-15317.521165278755,0.5,1808.3327569891555,349.27581595664236,24.345091871273539,332.36766953704313,0.0
100,0.6,97565.300000000003,18844.540439168166,2118.018366834171,-16726.522072333995,0.59999999999999987,2368.4909985051663,457.46924778724014,25.67764810548492,437.97545049259571,1.1102230246251565e-16
100,0.7,104658.3,20214.539048663752,2248.566271356784,-17965.972777306968,0.70000000000000007,3231.5197059587922,624.16149777543149,30.377045471787856,599.40157734709737,1.1102230246251565e-16
100,0.8,112002.89999999999,21633.133689478822,2376.8978492462311,-19256.235840232595,0.79999999999999993,2786.4226689431021,538.19190496532292,39.329388177682731,509.03036193823635,1.1102230246251565e-16
100,0.9,117495.0,22693.921700646275,2474.502618090452,-20219.419082555818,0.90000000000000013,4848.4080273838335,936.4602080619054,37.433337180116773,902.53117495823483,1.1102230246251565e-16
100,1,120005.2,23178.761755567433,2593.8338944723614,-20584.927861095079,1.0,3004.484674615599,580.31014048698296,42.189228013581022,558.13829834592889,0.0
714,0,35374.0,6832.4165814601583,1022.1446381909548,-5810.2719432692038,0.0,998.6877389855149,192.89451765549799,28.440099089433389,178.53364882199344,0.0
714,1e-05,34662.300000000003,6694.9531653628774,996.16476884422116,-5698.7883965186575,0.0,986.23750182194954,190.48977951902916,22.583965073703599,186.29305659608127,0.0
824,0.1,53552.0,10343.460529494951,1322.8302110552763,-9020.6303184396747,0.13349514563106799,5133.3896403838271,991.50383044197019,74.85189296883577,923.0619484132244,2.7755575615628914e-17
934,0.2,65042.099999999999,12562.750114010001,1513.3998391959801,-11049.35027481402,0.23554603854389722,4685.1127723887284,904.9200597071158,87.806230741725614,824.16796205745345,0.0
1044,0.3,72802.800000000003,14061.713628561303,1650.3444522613063,-12411.369176299999,0.31609195402298856,3716.3852276102916,717.81229298971391,82.603362256120377,643.48100792622199,5.5511151231257827e-17
1100,0.4,80632.399999999994,15573.985038811783,1803.9973768844222,-13769.98766192736,0.39999999999999997,4355.869125674003,841.3273150032627,91.461897040100169,751.23881063794522,5.5511151231257827e-17
