N,t,S,SH,Epi,D,proportion_cancer,sd_S,sd_SH,sd_Epi,sd_D,sd_in_proportion
100,0,45098.5,8710.6840956346714,1141.8231507537689,-7568.8609448809048,0.0,1327.3984518598777,256.38432726556141,12.11419198889361,248.50003116974969,0.0
100,1e-05,44769.300000000003,8647.0997812055248,1134.8504472361806,-7512.2493339693438,0.0,1132.1446064880581,218.67144179283355,16.564677239899527,217.32860492702929,0.0
100,0.1,53640.099999999999,10360.476866375899,1276.681015075377,-9083.7958513005215,0.099999999999999992,1340.3265609544565,258.88136539935249,20.419994027109116,244.19563594861043,1.3877787807814457e-17
100,0.2,62034.5,11981.838254723531,1414.2993366834171,-10567.538918040113,0.19999999999999998,1490.4910097011657,287.88532507490049,37.70991451797665,260.25837857014602,2.7755575615628914e-17
100,0.3,69874.399999999994,13496.099089149648,1551.0398040201005,-11945.059285129548,0.29999999999999993,1480.1601399848598,285.88993847596913,19.988050648165885,273.9261313692121,5.5511151231257827e-17
100,0.4,73941.5,14281.651231357388,1645.8677286432162,-12635.783502714172,0.39999999999999997,1236.025181782313,238.73576488697296,19.05543321895729,225.58255707568688,5.5511151231257827e-17
100,0.5,78390.800000000003,15141.024530839795,1739.44708040201,-13401.577450437786,0.5,2072.3541589216838,400.27101594601794,27.685318331666437,391.15436783328022,0.0
100,0.6,83977.300000000003,16220.045711150964,1853.6242964824123,-14366.42141466855,0.59999999999999987,2256.4710523292783,435.83282166335215,33.02521900771346,426.01632646694867,1.1102230246251565e-16
100,0.7,85915.100000000006,16594.327863340521,1922.986648241206,-14671.341215099315,0.70000000000000007,1977.5415773125985,381.95815749865625,25.913290874703545,371.90290154860304,1.1102230246251565e-16
100,0.8,88104.5,17017.206046849566,1974.4915728643216,-15042.714473985243,0.79999999999999993,1438.5913422511621,277.86100923677986,13.432696708277508,276.32115880416524,1.1102230246251565e-16
100,0.9,89268.800000000003,17242.088237888012,2013.6147889447234,-15228.473448943289,0.90000000000000013,2622.5882559029351,506.54761932419012,21.094805972710571,499.08636585572327,1.1102230246251565e-16
100,1,88012.600000000006,16999.455747651395,2070.7561758793972,-14928.699571771993,1.0,2735.5102704979927,528.35827813945411,21.983889157357691,513.78014983101787,0.0
1100,0,44592.0,8612.85464466759,1137.4458341708541,-7475.4088104967359,0.0,1260.5748688594422,243.47748731178882,33.654715968167523,215.25444108618674,0.0
1100,1e-05,44215.300000000003,8540.0958012731171,1147.6414472361807,-7392.4543540369368,0.0,2063.5008141505541,398.56101030301335,22.316914074783469,389.4546165697667,0.0
1100,0.1,53723.0,10376.488833770116,1288.5090703517585,-9087.979763418356,0.099999999999999992,2420.9786037881458,467.60712262911693,37.274352284932824,441.60566830904042,1.3877787807814457e-17
1100,0.2,62493.5,12070.493176725289,1426.4668442211055,-10644.026332504181,0.19999999999999998,3534.0233233525778,682.58945987847255,48.795333495721835,638.32030681047866,2.7755575615628914e-17
1100,0.3,67001.399999999994,12941.184947731232,1512.443040201005,-11428.741907530228,0.29999999999999993,4371.5715526570075,844.36020702813528,71.109790625852497,776.43888752980399,5.5511151231257827e-17
1100,0.4,73080.0,14115.25424812315,1633.9132412060301,-12481.341006917122,0.39999999999999997,3560.5489183551458,687.71282492423006,67.584244835555381,625.92101671154569,5.5511151231257827e-17
1100,0.5,78996.899999999994,15258.091520437327,1737.3743768844222,-13520.717143552902,0.5,2573.1012980448322,496.98931346577081,45.556096982613688,461.39761439701334,0.0
1100,0.6,82178.199999999997,15872.553183540145,1821.2181356783919,-14051.335047861754,0.59999999999999987,2108.6480408071893,407.28110585386185,47.778605835997929,388.17825639259854,1.1102230246251565e-16
1100,0.7,86122.199999999997,16634.328809629333,1907.0941457286431,-14727.234663900686,0.70000000000000007,2888.9448523639212,557.99385741548087,45.758330355636453,515.16200197368346,1.1102230246251565e-16
1100,0.8,88587.699999999997,17110.535149924184,1972.8290502512561,-15137.706099672927,0.79999999999999993,2371.2249598045314,457.99730688473664,41.278910554971823,428.9243182809256,1.1102230246251565e-16
1100,0.9,91350.199999999997,17644.106439749583,2033.3193969849247,-15610.787042764656,0.90000000000000013,2614.253805582006,504.9378370951494,27.105224106084513,490.56698188907222,1.1102230246251565e-16
1100,1,88807.300000000003,17152.950445940711,2071.9022512562815,-15081.048194684427,1.0,1308.6786503951228,252.76863546001431,16.030886731656341,247.93380375314393,0.0
1169,0,43906.300000000003,8480.4130760039625,1134.4760150753768,-7345.9370609285834,0.0,1753.2340431328614,338.63361077292353,20.377014356909321,333.32161946218918,0.0
1169,1e-05,42458.699999999997,8200.8120627365406,1131.4478944723619,-7069.3641682641783,0.0,1519.0602390952113,293.40341397158818,24.305332950139835,299.3469382350014,0.0
1379,0.1,56870.0,10984.32552122008,1334.1668040201007,-9650.1587171999818,0.15228426395939088,3035.5683158183083,586.3138829409196,49.687709568510996,543.45262797473129,0.0
1589,0.2,64851.800000000003,12525.994053755239,1473.6693115577887,-11052.32474219745,0.26431718061674003,3679.2585611777813,710.6413524303249,51.638564072363501,665.37403673432527,5.5511151231257827e-17
1799,0.3,71473.899999999994,13805.039280308283,1622.7086683417087,-12182.330611966574,0.35019455252918291,3376.7015695794025,652.20308120757784,41.372833478134773,621.40895372595105,5.5511151231257827e-17
2009,0.4,74083.699999999997,14309.116873859894,1651.0813618090451,-12658.03551205085,0.41811846689895471,4604.8506827040546,889.41759935702248,72.116777388312727,818.91246502423132,0.0
2100,0.5,79105.800000000003,15279.125335265195,1745.6435577889449,-13533.481777476249,0.5,1656.4739539153641,319.94459516843443,31.668380307255489,298.06121710641685,0.0
2100,0.6,82901.800000000003,16012.315060578214,1840.3276130653267,-14171.987447512884,0.59999999999999987,3327.7148555728149,642.74139643769388,54.252727453727218,596.80325796506543,1.1102230246251565e-16
